CAN DOI KE TOAN	 2019	Q1 2019	 2018	 2017	Q3 2017	 2016	 2015
Tài sản ngắn hạn###Current Assets	277089	231070	230037	320331	242682	178410	158207
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	102697	63974	52548	58527	90327	64742	61464
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	35153	34943	34865	11328	9000	9000	7000
Các khoản phải thu ngắn hạn###Short term Account Receivables	135089	123993	132470	246544	138955	98771	89743
Hàng tồn kho###Inventory	2719	3292	3931	1600	2143	177	0
Tài sản ngắn hạn khác###Other Current Assets	1430	4868	6223	2333	2256	5720	0
Tài sản dài hạn###Non-current Assets	12529	26536	33317	67742	72224	102098	88042
Các khoản phải thu dài hạn###Long term Account Receivable	3428	2513	2884	2133	2133	2043	1758
Tài sản cố định ###Fixed assets	8326	23167	29464	63661	68668	98425	81673
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-255720	-241550	-235309	-199344	-189193	-159302	-128471
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	775	601	714	1630	1367	1630	4611
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	289617	257606	263354	388073	314906	280508	246249
Nợ phải trả ###Liabilities	107441	100250	97930	237363	168885	152146	130924
Nợ ngắn hạn###Short term Liabilities	107390	100199	97879	219269	135434	118695	114141
Nợ dài hạn###Long term Liabilities	51	51	51	18094	33451	33451	16783
Dự phòng nghiệp vụ	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	182176	157356	165424	150710	146021	128362	115326
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	182176	157356	165424	150710	146021	128362	115326
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0



KET QUA KINH DOANH	 2019	Q1 2019	 2018	 2017	 2016	 2015	 2014
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	651211	91478	627227	940659	615140	411955	348698
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	651211	91478	627227	940659	615140	411955	348698
Giá vốn hàng bán###Cost of goods sold	596887	79688	567600	867210	548213	349133	294608
Lợi nhuận gộp###Gross profit	54324	11789	59627	73450	66928	62821	54090
Doanh thu hoạt động tài chính###Financial activities Revenues	4947	1032	2851	3059	2377	2189	787
Chi phí tài chính###Financial Expenses	358	110	2492	4478	3675	6479	7185
Chi phí bán hàng###Selling Expenses	2127	909	4202	13795	14062	7713	2415
Chi phí quản lý doanh nghiệp###Managing Expenses	18176	4460	19100	24449	21048	17934	16310
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	38610	7343	36683	33786	30519	32883	28968
Thu nhập khác###Other incomes	265	1	19	36	26	232	23415
Chi phí khác###Other Expenses	24	23	309	106	0	389	4752
Lợi nhuận khác###Other profits	241	-22	-290	-70	26	-157	18662
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	38852	7321	36393	33716	30545	32727	47630
Chi phí thuế TNDN###Corporate Income Tax Expenses	8197	1487	7988	7430	6161	8225	12233
Chi phí thuế TNDN###Corporate Income Tax Expenses	8197	1487	7988	7430	6161	8225	12233
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	30655	5835	28404	26286	24384	24501	35397
---Cac Chi So Tai Chinh---							
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	22.21	0.00	0.00	0.00	0.00	0.00	0.00
