CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	 2010	Q4 2010	Q1 2010	 2009	Q4 2009	 2008	Q4 2008	 2007
Tài sản ngắn hạn###Current Assets	1002774	1150420	735308	1345143	1365762	878423	1013422	780651	1181038	1308629	969103	1086523	841110	966719	862018	559935	620247	600885	670659	615362	507893	586352	586929	600979	651754	626170	705278	617077	725005	751855	794371	848671	917834	916292	893315	905970	959916	929213	995919	1032747	1079111	1028889	1129690	1085517	918231	1057975	927253	927253	856009	501177	593014	401985	401985	434444
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	84553	214173	159422	159826	77067	65452	78859	43431	43430	69028	35983	42370	17518	17518	9206	26000	24445	13217	13217	29906	18729	28652	40430	40430	65983	102543	60682	49237	49237	41091	64460	60453	41159	41159	19841	5387	15991	25537	25537	14303	20442	27848	81346	81346	50651	47321	80138	80138	81320	32101	52050	47763	47763	38366
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	5030	5030	4230	4230	4230	4230	4230	4230	4230	4230	4230	4230	2730	2730	1230	1230	1230	1230	1230	1230	1230	4580	4500	4500	4500	4500	-503	4500	4500	4500	4500	4500	4500	4500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	436630	489294	470731	781248	679046	709771	704329	646029	854216	848178	815745	785287	713920	732580	424518	381470	401754	437298	476930	369896	310626	370742	387486	369652	290880	307920	303769	324222	260329	243798	198413	217777	270993	274584	248236	194174	243051	226399	291219	274559	213195	211034	299317	246814	266196	271577	186997	186997	169571	110057	68682	40152	40152	57958
Hàng tồn kho###Inventory	458173	423479	88035	386958	570811	85523	223920	86569	238599	369904	97238	250654	106675	211459	417863	148754	190855	148833	178974	207730	174408	176227	154128	179367	279343	210320	327930	239052	339243	396691	466300	505983	547603	555567	583204	634736	640584	648092	646426	703607	808322	737274	716345	724713	553438	702624	628757	628757	526688	352481	447974	295363	295363	306146
Tài sản ngắn hạn khác###Other Current Assets	18388	18444	12890	12880	34608	13447	2084	392	40563	17290	15907	3982	266	2431	9201	2481	1962	308	308	6600	2900	6152	384	7030	11048	886	13400	65	71695	65775	60698	59958	53579	40482	42035	71673	60290	29184	32737	40278	37152	52733	32683	32644	47945	36452	31362	31362	78430	6537	24307	18706	18706	31974
Tài sản dài hạn###Non-current Assets	33623	32407	315631	33686	37374	302024	32496	172616	29456	27619	269628	35077	125849	25079	22481	262571	22289	53070	22928	22078	53624	22414	45928	22924	23674	79440	11231	125251	23679	24943	25421	26245	27115	27032	33880	33470	35818	35363	39586	41927	40543	43617	43342	43983	44919	44735	38671	38671	34962	31471	34671	30955	30955	13830
Các khoản phải thu dài hạn###Long term Account Receivable	16021	14739	0	15905	15356	0	12046	0	9915	8079	2000	14824	0	4544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1144	1210	1288	1288	1449	1609	4768	2137	5049	5316	2603	6076	3399	6382	6721	7060	7440	4808	7861	7275	4583	8070	8469	8469	8944	9433	9791	10273	10190	10725	11271	11785	12975	12891	14451	14301	16050	15263	16896	17747	16369	18070	17307	18170	18614	17074	16274	16274	17859	5131	17001	15068	15068	8166
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-21863	-21798	-21719	-21719	-21559	-21398	-21742	-20870	-23515	-23030	-22239	-22269	-24513	-25033	-24694	-23870	-23975	-23104	-23554	-23140	-22330	-22834	-22435	-22435	-21960	-21471	-20978	-20496	-20828	-20293	-19748	-19233	-18626	-18336	-20869	-21019	-14510	-19914	-19040	-18189	-18382	-16669	-16715	-15637	-15390	-15651	-14110	-14110	-11267	-2589	-11644	-9776	-9776	-8832
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	2876	2876	2876	2912	2912	2876	0	2912	0	0	2947	0	2983	0	0	0	0	3054	0	0	3089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	13581	13581	13581	13581	13581	13581	13581	13581	13581	13581	13581	13581	13581	13581	13581	13581	13581	13581	13581	13581	13581	13581	13581	13581	13581	13581	581	13397	13397	13397	13540	13616	13616	13446	18446	18446	19000	18645	19000	18671	17671	16000	15824	16000	16000	15920	5934	5934	5000	21748	5000	5000	5000	2637
Tài sản dài hạn khác###Other long term assets	0	0	0	0	4076	2429	2100	774	910	643	584	596	1102	572	2179	2078	1268	1485	1485	1221	5671	762	737	874	1149	300	859	93	93	157	129	362	523	695	983	722	768	695	3689	5510	6503	9547	9938	9813	10305	11741	16462	16462	12103	4593	12670	10887	10887	3027
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1036396	1182827	1050940	1378830	1403136	1180446	1045918	953267	1210494	1336248	1238731	1121600	966959	991798	884499	822506	642536	653954	693587	637440	561516	608766	632857	623903	675428	705609	716510	742327	748684	776798	819792	874916	944949	943324	927196	939440	995735	964576	1035505	1074675	1119654	1072506	1173032	1129500	963149	1102710	965923	965923	890971	532648	627685	432940	432940	448274
Nợ phải trả ###Liabilities	876336	1015715	883895	1211132	1242606	1019972	879838	787538	1044394	1178117	1080950	947270	792895	817700	715767	653670	467215	478308	517583	463784	389367	429273	453262	443759	491520	523459	537056	564708	571138	601157	645414	697986	769007	770103	758320	771997	809126	778175	841481	879014	927873	872917	972527	928490	778497	940642	804906	804906	815750	463560	545958	382515	384098	409818
