CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-8678	-8275	-7875	-7875	-7480	-7100	-6723	-6350	-6350	-5969	-5587	-5217	-4819	-4819	-4413	-4006	-3604	-3206	-3206	-2799	-2392	-1990	-1587	-1587	-1190	-796	-406	-55	-55	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11140	11140	11140
Tài sản dài hạn khác###Other long term assets	193910	233341	270327	266390	307439	345181	364887	402392	402392	449470	490079	534217	574817	574817	437501	464692	492798	525626	525626	555948	576967	641413	672601	672601	715112	746346	778754	877060	877060	909587	943911	906511	1026661	1026661	1057837	1248482	1479474	919328	14
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	7456155	7575326	7564112	7564402	8360330	7933170	8591517	8852247	8852257	8209485	10004068	10851987	9964110	9964110	10047607	10194930	11984203	12979914	12979914	11382769	11472071	11921984	11644672	11644672	11751929	12036662	12491919	12483549	11759808	11897301	11664075	12454855	12186179	12186179	12392432	13486049	14472794	11502761	5233006
Nợ phải trả ###Liabilities	2924023	3269222	3437173	3432351	4151221	3885881	4729606	5168771	5168760	4520448	6340009	5631698	4978888	4978888	5367242	5261030	6779424	8071480	8071480	6537228	6364406	7190983	6876214	6876214	7166938	7520758	7761800	8236865	8171071	8538329	8780564	9645576	9398503	9398503	9700877	10703599	11695559	8726646	2362432
Nợ ngắn hạn###Short term Liabilities	2923256	2773471	2943847	2939024	3143533	2853894	3181680	3572245	3572235	2325893	4180754	2887486	2283994	2283994	2164664	2102903	3216914	4309602	4309602	2208508	2042441	2269233	2023085	2023085	1748146	2273226	2166981	2376612	2310817	2036675	1982916	2333164	2082537	2082537	1912948	2530331	2412750	1668957	2362432
Nợ dài hạn###Long term Liabilities	767	495751	493327	493327	1007688	1031986	1547926	1596525	1596525	2194554	2159254	2744212	2694893	2694893	3202578	3158126	3562510	3761878	3761878	4328720	4321964	4921750	4853129	4853129	5418792	5247532	5594819	5860253	5860253	6501654	6797648	7312412	7315966	7315966	7787929	8173267	9282809	7057689	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	4532132	4306103	4126939	4132051	4209109	4047289	3861911	3683476	3683497	3689037	3664059	5220289	4985222	4985222	4680365	4933900	5204779	4908434	4908434	4845541	5107665	4731001	4768458	4768458	4584991	4515904	4730119	4246684	3588738	3358971	2883511	2809279	2787676	2787676	2691555	2782450	2777235	2776115	2870574
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	4532132	4306103	4126939	4132051	4209109	4047289	3861911	3683476	3683497	3689037	3664059	5220289	4985222	4985222	4680365	4933900	5204779	4908434	4908434	4845541	5107665	4731001	4768458	4768458	4584991	4515904	4730119	4246684	3588738	3358971	2883511	2809279	2787676	2787676	2691555	2782450	2777235	2776115	2870574
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	1875450	1723429	7653692	1893344	1745528	2125875	1888945	7669729	2018956	1621099	2008183	2021491	6761130	2073835	1137328	1780650	1769316	7983298	3522126	1509985	1563972	1387215	6729438	1708300	1596444	1986103	1758103	7064917	1781216	1484011	1451749	1689995	5880998	1590163	1136451	5450715	951974	0	0
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319512	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	1875450	1723429	7653692	1893344	1745528	2125875	1888945	7669729	2018956	1621099	2008183	2021491	6761130	2073835	1137328	1780650	1769316	7983298	3522126	1509985	1563972	1387215	6729438	1708300	1276932	1986103	1758103	7064917	1781216	1484011	1451749	1689995	5880998	1590163	1136451	5450715	951974	0	0
Giá vốn hàng bán###Cost of goods sold	1577225	1478839	6679293	1598994	1566248	1812654	1701397	6654452	1760375	1488775	1747106	1658195	5368442	1632824	976453	1379582	1379582	6631836	3280070	1246482	1182146	923139	5087665	1186263	917305	1579915	1404182	5413264	1446590	1275164	1202080	1489430	5074176	1298366	1002971	4820085	853174	0	0
Lợi nhuận gộp###Gross profit	298225	244590	974399	294350	179280	313222	187547	1015277	258581	132324	261076	363296	1392688	441011	160875	401069	389734	1351462	242056	263503	381827	464076	1641773	522037	359627	406188	353921	1651653	334626	208846	249669	200565	806822	291797	133480	630629	98800	0	0
Doanh thu hoạt động tài chính###Financial activities Revenues	10460	4682	47778	16253	49818	-12600	21881	73337	23749	7462	36526	16663	62996	15728	14711	15420	17137	103162	58539	15196	15657	13770	65035	-78561	9289	-188451	322758	450492	130070	308379	1200	10843	52970	8855	14196	95425	180022	83015	178598
Chi phí tài chính###Financial Expenses	26335	39597	168157	66004	33731	51508	41651	192479	16329	94434	-19065	111834	489571	78388	120732	193481	96969	249014	45436	68841	16339	118398	359438	-111620	269148	71399	130510	437193	77666	25172	158022	176332	786579	182457	229371	658370	214060	0	0
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	66	-174	210	221	6	45	153	17	306	306	0	241	23	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	20405	16347	86800	21415	25533	22851	17000	101407	27152	19468	33645	21142	113928	41753	18828	23144	30204	56842	18094	36477	-16463	18734	146225	81435	27050	21563	16177	74704	29445	16631	14697	13931	65817	22094	10397	53948	41385	40824	13671
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	261945	193328	767220	223184	169834	226263	150776	794729	238849	25885	283022	246983	852185	336599	36026	199864	279697	1148769	237065	173381	397608	340714	1201043	473660	72651	124949	529783	1590028	357580	475377	77997	21128	7089	95794	-92092	13496	23354	42191	164928
Thu nhập khác###Other incomes	175	209	39340	996	634	607	37103	30904	29360	614	305	624	1454	223	198	166	868	760	205	148	182	225	1303	229	124	704	276	1957	234	123	234	1817	1336	371	718	28340	46	9	0
Chi phí khác###Other Expenses	52	4483	9172	1961	6	7197	8	1804	1156	89	511	47	201	51	49	53	48	1348	50	65	1184	49	537	86	49	387	44	1022	48	39	44	1341	206	45	80	34154	5297	1	0
Lợi nhuận khác###Other profits	123	-4274	30168	-965	628	-6590	37095	29100	28204	525	-206	578	1254	172	149	112	820	-587	155	83	-1003	177	766	142	75	317	232	935	186	83	190	476	1130	326	639	-5814	-5251	7	0
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	262068	189053	797388	222219	170462	219673	187872	823829	267053	26409	282816	247561	853439	336771	36175	199977	280517	1148181	237221	173465	396605	340891	1201810	473802	72727	125266	530015	1590963	357766	475460	78187	21604	8219	96121	-91453	7682	18103	42198	164928
Chi phí thuế TNDN###Corporate Income Tax Expenses	13207	9889	43218	11400	8643	11463	9436	41671	13505	1431	14230	12494	43026	17014	1834	10023	14155	62673	11890	8687	19844	22252	60182	23695	3639	6269	26579	0	0	0	0	0	0	0	0	0	2686	10556	29118
Chi phí thuế TNDN###Corporate Income Tax Expenses	13207	9889	47155	11400	8643	11463	9436	40506	11942	1580	14317	12657	42996	17117	1392	10203	14284	62935	11984	8660	19919	22372	61113	24626	3639	6269	26579	0	0	0	0	0	0	0	0	0	2686	10556	29118
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	-3937	0	0	0	0	1164	1563	-149	-88	-163	29	-103	441	-180	-129	-262	-94	27	-74	-121	-931	-931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	248861	179165	754171	210818	161819	208210	178435	782158	253548	24978	268587	235066	810413	319757	34341	189954	266362	1085508	225331	164778	376761	318639	1141628	450108	69088	118997	503436	1590963	357766	475460	78187	21604	8219	96121	-91453	7682	15417	31642	135810
---Cac Chi So Tai Chinh---																																							
EBITDA	0.64	0.53	0.51	0.51	0.45	0.42	0.39	0.33	0.33	0.47	0.49	0.59	0.53	0.53	0.03	0.33	0.31	0.61	0.61	0.57	0.45	0.55	0.61	0.61	0.70	0.98	0.92	0.61	0.61	0.40	0.64	0.72	0.76	0.76	0.94	0.80	0.28	0.48	0.00
Giá giao dịch cuối quý###Last Price of Quarter	19.73	15.20	19.26	19.26	21.35	23.75	24.02	21.88	21.88	22.59	21.40	21.22	23.08	23.08	17.65	18.98	19.82	17.17	17.17	23.42	20.96	18.52	14.84	14.84	13.43	11.59	11.60	9.98	9.98	5.39	3.58	3.81	2.88	2.88	2.69	2.23	1.53	5.11	0.00
