CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q2 2016	 2015	 2014	 2013
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-10033	-9564	-9094	-9094	-8633	-8034	-7705	-7649	-7649	-7593	-7537	-7481	-7425	-8290	-8234	-8178	-7871	-7564	-7564	-6951	-6338	-5112	-3885
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1072	3331	7848	12366
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	34542	37235	35141	35193	55522	52116	18142	18979	1625	12416	14316	2404	2957	22959	1791	1940	1402	1397	2058	1628	4768	6649	4558
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	3108037	2670288	2448539	2464001	2513473	2464010	2328280	2320859	2304526	2302521	2179659	1806024	1822925	1859533	1645987	1959782	1326158	1295017	1295661	1256076	1458268	1077095	844220
Nợ phải trả ###Liabilities	2128188	1737395	1566647	1582541	1688706	1635439	1507182	1545036	1546705	1518670	1437229	1082259	1130118	1170361	994885	1325300	657896	649448	648065	633181	959537	640675	470553
Nợ ngắn hạn###Short term Liabilities	2128188	1737395	1566647	1582541	1688706	1635439	1507182	1545036	1546705	1518670	1437229	1082259	1130118	1170361	994885	1325300	657896	649448	648065	633181	959537	570269	428030
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70406	42523
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	979849	932893	881892	881460	824767	828571	821098	775823	757821	783851	742430	723765	692808	689172	651102	634482	668261	645569	647596	622895	498731	436021	373575
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	979849	932893	881892	881460	824767	828571	821098	775823	757821	783851	742430	723765	692808	689172	651102	634482	668261	645569	647596	622895	498731	436021	373575
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	399	92
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q2 2016	 2015	 2014	 2013
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	1305433	1380247	5053711	1371435	1253257	1212151	1209201	4276731	1189684	1090278	1052661	963986	3251431	1075065	910621	839852	433046	1678477	548858	455783	1522953	1287380	1289670
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	1305433	1380247	5053711	1371435	1253257	1212151	1209201	4276731	1189684	1090278	1052661	963986	3251431	1075065	910621	839852	433046	1678477	548858	455783	1522953	1287380	1289670
Giá vốn hàng bán###Cost of goods sold	1221793	1292903	4759868	1280165	1170756	1171241	1129177	4017972	1085593	1020453	987427	909936	3045945	1007256	867186	785575	395235	1517539	510718	403868	1369910	1124570	1175763
Lợi nhuận gộp###Gross profit	83641	87344	293843	91270	82501	40910	80023	258759	104091	69825	65235	54050	205486	67808	43436	54277	37812	160938	38140	51915	153043	162810	113907
Doanh thu hoạt động tài chính###Financial activities Revenues	5384	6000	21353	7695	6079	4924	2901	17583	7460	4023	2664	1048	6100	271	4012	830	986	6533	2282	2247	11944	3028	552
Chi phí tài chính###Financial Expenses	949	484	1773	814	13	341	517	488	34255	67	296	221	4157	873	1791	1333	161	11708	978	7895	9185	9856	935
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	238	12	63
Chi phí quản lý doanh nghiệp###Managing Expenses	29520	28519	101088	29077	33783	-2827	41993	104693	29613	25362	25684	21475	88793	15028	24537	33768	15415	54227	10705	17984	51964	74515	43018
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	58556	64341	212334	69074	54783	48320	40415	171161	47682	48419	41918	33402	118635	52179	21120	20006	23223	101536	28739	27976	103601	81456	70444
Thu nhập khác###Other incomes	1056	346	19417	3851	6706	2486	6375	18716	5667	2765	5065	5080	28915	3034	4759	13298	7824	30333	7452	11800	45445	48268	17947
Chi phí khác###Other Expenses	71	170	2105	792	881	168	264	216	399	17	0	0	1476	1	0	0	1423	267	3	0	2798	2004	471
Lợi nhuận khác###Other profits	985	176	17312	3058	5825	2317	6111	18500	5269	2748	5065	5080	27438	3032	4759	13298	6400	30066	7450	11800	42646	46264	17475
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	59541	64516	229646	72133	60608	50638	46526	189661	52951	51168	46984	38481	146074	55211	25879	33304	29623	131601	36189	39776	146247	127720	87919
Chi phí thuế TNDN###Corporate Income Tax Expenses	11915	13762	48739	15788	12911	11181	9117	42703	11502	10728	11000	7887	35186	14496	7870	9263	5407	31779	8806	10366	36226	34220	22389
Chi phí thuế TNDN###Corporate Income Tax Expenses	11964	14481	49971	16204	13521	10946	9524	42823	11633	10811	10729	8063	34503	14407	7820	7558	6512	31506	8897	10227	37429	34261	22389
Chi phí thuế TNDN###Corporate Income Tax Expenses	-49	-719	-1232	-416	-610	235	-408	-119	-131	-83	271	-176	683	89	50	1705	-1105	273	-91	139	-1203	-41	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	47629	50758	180923	56335	47702	39478	37409	147007	41442	40447	35984	30594	110958	40729	18026	24061	24231	99888	27383	29410	110097	93807	65530
---Cac Chi So Tai Chinh---																							
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	37.49	23.25	33.70	33.70	39.43	19.66	18.04	14.44	14.44	16.83	15.91	14.75	16.09	16.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
