CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	 2005
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	293	293	293	293	293	293	301	301	301	301	301	301	301	301	301	301	301	301	301	301	301	301	301	301	301	301	301	301	301	301	301	301	301	20195	5513	5513	5513	5513	5513	5513	5513	4024	3280	3280	3280	3280	3280	3280	3280	3591	4248	4248	4248	4248	4248	1270	4348	901	901	1431	1431	3941	962	962	3941	5961	3941	3941	962
Tài sản dài hạn khác###Other long term assets	28029	31323	35230	35230	29268	33614	32841	32502	32293	31916	36816	39431	43933	43933	36762	40207	42299	43901	44086	32707	35568	37096	31694	31694	16736	19337	24755	11479	285	285	285	947	947	314	314	328	328	342	342	342	371	399	399	399	428	428	456	456	456	456	456	513	513	0	0	7526	1533	8822	8171	1967	1967	3635	3036	3036	2401	2401	2401	2401	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	340375	256292	294831	294831	354839	359215	321190	344931	344763	371176	379750	307055	325494	325514	358340	343124	298404	344772	344695	363289	382996	311749	361475	356684	358473	399358	343407	373794	373701	375491	375886	333453	343299	329452	306798	324456	289588	301348	302669	312334	306808	281446	304321	304321	288809	329943	326207	325422	325383	309726	336273	336307	351698	351481	388704	402814	369373	396361	392196	389376	366178	313431	295072	295072	264858	246768	218622	224904	165875
Nợ phải trả ###Liabilities	211702	120342	145817	145817	204048	214974	175668	193202	193041	209422	219456	155682	167675	107832	138253	129707	96936	124951	125008	144357	169792	110943	140486	117316	118234	169897	127978	135286	135265	139906	154335	127552	117257	109139	93296	120859	97799	90132	90955	111246	113415	99921	103212	103212	96294	146194	153303	134150	134150	134631	168607	180600	181158	169299	210513	224733	204788	206005	214078	209608	193315	128249	132905	118468	94204	90261	84413	113057	73977
Nợ ngắn hạn###Short term Liabilities	199305	108866	134303	134303	192323	203148	165025	182521	182360	198562	208596	145259	157246	97403	126601	117967	85630	113538	113747	132837	158092	98539	128404	105234	105176	154329	113248	134859	134839	139034	153449	126915	116624	98673	82830	112292	96633	88966	88607	108142	110311	97055	100346	100346	87934	133078	139920	116707	116707	116254	146133	148997	146588	134076	178277	186831	163621	157449	165567	160341	146924	106305	110919	96482	73974	69011	75371	104699	73977
Nợ dài hạn###Long term Liabilities	12397	11476	11514	11514	11725	11827	10643	10682	10682	10861	10860	10423	10429	10429	11652	11740	11306	11413	11260	11520	11700	12403	12081	12081	13059	15568	14730	426	426	872	887	638	633	10466	10466	8566	1166	1166	2348	3104	3104	2866	2866	2866	8360	13117	13383	17444	17444	18376	22475	31603	34570	35224	32236	37902	41167	48557	48511	49267	46391	21945	21986	21986	20231	21250	9042	8358	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	128673	135950	149013	149013	150791	144241	145522	151729	151721	161754	160294	151373	157819	217682	220087	213417	201469	219821	219688	218932	213205	200806	220989	239368	240238	229461	215429	238508	238436	235586	221551	205901	226042	220313	213502	203597	191789	211215	211714	201088	193393	181525	201109	201109	192515	183748	172903	191271	191233	175096	167665	155708	170540	182182	178191	174038	164585	177085	164334	175686	168859	181393	158378	172815	170654	156506	134209	111847	91897
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	390	12357	12015	12391	12480	13074	13124	13278	13668	25658	11398	25835	24090	24123	13119	390	4899
Vốn chủ sở hữu ###Owners equity	128283	135560	148623	148623	150401	143851	145132	151339	151331	161364	159904	150983	157429	217292	219697	213027	201079	219431	219298	218542	212815	200416	220599	238978	239848	229071	215039	238118	238046	235196	221161	205511	225652	219923	213112	203207	191399	210825	211324	200698	193003	181135	200719	200719	192125	183358	172513	190881	190843	174706	167275	155318	170150	169826	166176	161647	152105	164011	151210	162408	155190	155735	146980	146980	146564	132384	121091	111457	86997
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4043	0	13270	13784	4082	4004	3789	3789	3789	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375886	333453	329452	329452	306798	324456	289588	301348	302669	312334	306808	281446	304321	304321	288809	329943	326207	325422	325422	309726	336217	336307	351698	351481	388704	402814	386862	396361	392196	389376	0	310453	295072	0	264858	246767	0	224904	165875



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	401510	145632	1174440	330653	340225	312180	191382	611853	107896	222982	206641	74334	580810	114461	198634	201872	65843	582145	128315	200739	201696	51394	534892	122157	180827	191986	81267	701610	156450	217028	236087	93243	627521	151057	182117	200687	93660	522806	111605	182474	178732	50007	519582	519582	180531	160016	66432	572655	139480	188449	172983	71743	654895	125574	212156	210919	116365	619087	149447	207322	187319	78566	540633	147613	151033	137807	104180	489710	351801
Các khoản giảm trừ doanh thu###Deduction revenues	3802	439	7377	1814	2069	1956	1538	2443	2443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233859	52790	70871	78254	31944	225164	53900	65297	71873	34095	161702	34400	56493	55308	15501	160076	160076	55922	49568	19965	172024	41396	57315	51960	21353	251518	49609	80576	75560	45849	228478	52457	74625	63576	29759	193019	44995	54533	49820	43670	187381	132779
Doanh thu thuần###Net Sales	397708	145194	1167063	328839	338157	310224	189844	609410	105453	222982	206641	74334	580810	114461	198634	201872	65843	582145	128315	200739	201696	51394	534892	122157	180827	191986	81267	467751	103660	146157	157833	61299	402356	97157	116820	128814	59565	361104	77205	125981	123424	34506	359506	359506	124609	110449	46467	400631	98083	131134	121023	50391	403377	75964	131580	135359	70516	390609	96990	132697	123743	48807	347614	102618	96500	87987	60510	302328	219022
Giá vốn hàng bán###Cost of goods sold	341576	132514	986070	289796	267243	255783	173249	488671	73645	187240	164338	63409	465831	98033	154453	157475	55780	470385	105069	158982	159443	46790	447716	92606	138171	140884	67968	346507	83668	105907	107027	51104	310202	65783	95481	97023	51914	283205	59599	96969	99004	28106	278893	278893	104933	86173	37111	327762	75205	113171	97363	42023	346874	61647	116382	106647	63646	330260	81385	110329	106644	37645	263495	65866	76600	72502	48526	231903	173577
Lợi nhuận gộp###Gross profit	56131	12680	180993	39043	70914	54440	16595	120739	31807	35742	42303	10925	114979	16428	44180	44397	10063	111760	23246	41758	42253	4604	87176	29550	42656	51102	13298	121245	19992	40250	50806	10195	92154	31374	21339	31791	7651	77900	17606	29012	24421	6400	80613	80613	19676	24276	9357	72869	22878	17963	23660	8368	56503	14317	15198	28712	6870	60349	15605	22369	17099	11162	84120	36752	19899	15485	11984	70425	45444
Doanh thu hoạt động tài chính###Financial activities Revenues	88	95	2371	657	423	628	663	3501	1526	504	965	468	2339	993	492	283	616	4226	1119	1284	1272	552	5225	1514	1194	1480	1072	5764	2338	1426	1484	846	4265	1845	854	1031	535	2777	1497	371	241	26	1462	1462	413	41	47	653	92	294	133	134	3385	1849	719	47	99	2043	1284	306	667	878	7849	2294	1028	3217	1310	2374	8383
Chi phí tài chính###Financial Expenses	0	0	118	0	118	0	118	0	0	0	0	0	133	0	0	0	133	65	38	0	0	27	79	0	0	40	39	0	0	0	0	0	281	0	0	84	197	1439	179	257	297	706	7562	7562	866	3887	2297	6427	1990	651	1277	2509	11989	6112	1580	2076	2271	11426	3207	2870	1295	384	3995	3340	396	70	189	378	1726
Chi phí bán hàng###Selling Expenses	36078	17778	105576	24267	40194	27065	14050	69967	20808	19562	19452	10145	61269	10497	21950	18333	10489	56329	9778	23012	17395	6224	38555	20974	22175	22586	7831	52575	8956	15984	22398	5237	31432	12934	4839	10806	2852	25385	5588	10856	7276	1665	21504	21504	3386	1783	2392	11131	3607	2858	3028	1638	7768	2611	2095	10181	1193	25059	4124	8406	8239	3558	21590	17619	1484	1161	1326	15146	7737
Chi phí quản lý doanh nghiệp###Managing Expenses	13465	7157	52850	16304	12995	14294	9257	44023	10708	12497	13131	7687	42863	9465	13894	12534	6969	45270	13391	12904	13039	6058	36117	10102	8810	11796	5410	31545	8771	8353	9873	4048	26648	12070	5512	6178	2887	16381	3897	7397	1767	1847	16268	16268	5563	4187	2469	15263	4812	4370	4172	1919	14804	2775	4569	4851	1576	12136	3403	3619	3596	2929	15377	7905	2558	2769	2145	12317	9095
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	6676	-12160	24820	-871	18030	13709	-6166	10249	1817	4186	10685	-6440	13054	-2541	8828	13812	-6912	14322	1158	7125	13091	-7154	17650	-11	12865	18160	1091	42889	4603	17338	20019	1756	38058	8214	11841	15752	2250	37471	9439	10873	15321	2209	36741	36741	10275	14460	2247	40702	12561	10379	15316	2437	25327	4669	7673	11652	1929	13770	6156	7779	4637	5169	51005	10181	16489	14702	9634	44959	35269
Thu nhập khác###Other incomes	2874	92	962	173	179	592	18	122	8	114	0	0	600	3202	55	30	77	1405	452	3	746	20	2261	857	2069	175	3	4294	594	3	-3346	6351	5267	2897	0	65	70	957	0	0	27	4	333	333	0	0	478	500	330	14	153	3	25	78	5	28	16	9727	62	9	1064	0	766	766	0	0	0	813	831
Chi phí khác###Other Expenses	969	995	4680	823	3773	25	59	2470	19	2381	64	6	505	2494	350	510	21	553	207	189	136	21	462	21	1034	229	21	337	33	745	40	26	103	103	0	7	0	0	0	0	0	0	19	19	0	0	0	26	158	0	0	0	57	0	0	0	0	2263	2450	0	0	0	0	0	0	0	0	0	0
Lợi nhuận khác###Other profits	1904	-903	-3718	-651	-3594	567	-41	-2348	-11	-2267	-64	-6	95	708	-295	-480	56	853	246	-186	610	-1	1799	836	1035	-54	-18	3957	561	-742	-3386	6326	5164	2795	0	57	70	957	0	0	27	4	314	314	0	0	478	474	172	14	153	3	-32	78	5	28	16	7464	-2388	9	1064	0	766	766	0	0	0	813	0
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	8580	-13063	21102	-1522	14436	14277	-6207	7901	1806	1920	10621	-6445	13149	-1833	8533	13333	-6855	15174	1404	6939	13700	-7154	19449	825	13900	18106	1073	46846	5164	16596	16633	8082	44288	11009	11841	15810	2320	38428	10082	10873	15199	2362	37055	37055	10275	14460	3201	41176	12733	10392	15469	2439	25294	4747	7678	11679	1945	21234	3768	7789	5701	5169	51771	10947	16489	14702	9634	45772	36101
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	5653	256	3759	1638	0	2087	778	459	857	0	3311	-20	1818	1384	0	3313	648	1396	1302	0	4662	436	3088	4074	236	10011	1318	3790	4348	473	10982	2719	2960	3944	0	9943	0	0	0	553	7633	2339	1508	2958	562	6615	3183	2598	3742	610	5942	1097	1920	2875	530	3105	527	0	0	1447	8201	0	2308	3407	1551	7744	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	6287	1100	3759	1428	0	2296	778	459	857	0	3311	-20	1818	1384	0	3313	648	1396	1302	0	4662	436	3088	4074	236	10011	1318	3790	4348	473	10982	2719	2960	3944	559	0	2469	2718	3331	553	0	0	1508	3615	562	6615	3183	0	0	610	5942	1097	1920	2875	486	3398	527	-190	1596	1447	8201	2486	2308	2058	0	6356	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	-634	-844	0	209	0	-209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9943	0	0	0	0	7633	7633	0	0	0	0	0	2598	3867	0	0	0	0	0	0	-293	0	0	0	0	0	-233	0	0	0	1387	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	8580	-13063	15449	-1778	10677	12639	-6207	5814	1027	1461	9764	-6445	9838	-1813	6715	11948	-6855	11861	756	5543	12399	-7154	14788	389	10812	14032	837	36835	3846	12806	12285	7609	33306	8289	8881	11866	1762	28486	7612	8155	11868	1808	29422	29422	8767	10845	2639	34561	9550	7794	11602	1830	19353	3650	5759	8804	1458	18129	3240	7979	4105	3722	43570	8694	14180	12643	9634	38028	36101
---Cac Chi So Tai Chinh---																																																																					
EBITDA	0.44	0.24	0.36	0.36	0.25	-0.07	-0.10	-0.04	-0.04	0.01	0.23	0.55	0.50	0.50	0.78	0.17	1.05	1.33	1.33	1.56	0.58	0.79	0.50	0.50	0.30	0.54	0.26	0.24	0.24	0.33	0.35	0.15	0.24	0.24	0.19	0.22	0.35	0.27	0.27	0.35	0.48	0.50	0.68	0.68	0.62	0.56	0.62	0.66	0.66	1.02	1.11	1.16	1.19	1.19	1.18	1.21	1.17	1.49	1.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	9.27	6.55	10.49	10.49	8.39	6.93	5.05	6.55	6.55	7.81	11.42	11.12	11.72	11.72	10.82	12.08	10.44	10.55	10.55	10.15	10.84	12.59	15.76	15.76	13.13	13.08	17.68	15.49	15.49	12.58	10.14	10.89	8.33	8.33	6.63	6.44	5.60	5.39	5.39	4.51	4.76	4.38	3.73	3.73	3.98	4.20	5.21	5.96	5.96	5.54	6.22	5.80	5.63	5.63	6.77	5.38	3.26	3.60	3.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
