CAN DOI KE TOAN	 2019	 2018	 2017	 2016	Q4 2016	 2015	Q2 2015	 2014	Q4 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q1 2010	 2009	Q4 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	29127	35323	33480	30168	30168	30026	18975	36672	36695	23503	27476	34574	35087	18005	17731	17296	19704	19414	18640	17793	19023	21188	23075	22570	21824	23299	29030	29133	24724	0	46002	46002	58407	59559	41913
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	4042	2058	7884	5480	5480	1551	2446	912	912	1976	684	2541	2545	1139	5480	839	6813	1581	944	4170	980	1968	1927	575	811	1354	1464	1464	1020	0	935	935	1165	4787	1250
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	300	5100	5600	4243	7563	5243	466	5244	4727	0	1100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	19549	27400	18696	15431	15431	19220	10370	27829	27972	12727	15364	16800	16767	7592	7563	6820	8945	8925	8821	10282	13263	16176	18036	16446	15310	17729	23980	24114	17298	29227	39703	39703	49619	44746	33503
Hàng tồn kho###Inventory	5455	5730	6756	9067	9067	9125	5997	5037	5035	6572	8896	8265	8518	3389	3238	2749	2112	2112	2608	2158	2466	1958	2000	3652	3698	2917	2518	2518	4909	0	4947	4947	6805	8192	6650
Tài sản ngắn hạn khác###Other Current Assets	82	134	144	190	190	130	162	2894	2776	2228	2232	1869	1658	1643	1450	1645	1367	1553	1541	1183	1215	1086	1112	1896	2005	1299	1067	1037	1496	0	416	416	818	1834	510
Tài sản dài hạn###Non-current Assets	2605	2522	3054	2365	2365	2751	11183	1955	2027	2718	3074	3193	2688	2861	2956	3639	3364	3842	3608	3844	3970	4211	7141	4401	4619	5245	5458	5458	5215	0	10292	10292	11122	12385	5445
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	8854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2916	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	2140	2398	2890	1953	1953	2227	1599	1571	1571	1738	2207	2338	2355	2514	2679	2742	2924	2924	3124	3346	3514	3733	3740	3690	3910	4150	4390	4390	4295	0	8675	8675	9904	9893	4489
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-7987	-7591	-7253	-7008	-7008	-6952	-6741	-6569	-6569	-6401	-6997	-6865	-7204	-7045	-6880	-7537	-7356	-8365	-8165	-7430	-7725	-7785	-8291	-8083	-7863	-7623	-7383	-7433	-7165	-6577	-6350	-6350	-5402	-3955	-2767
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
