CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	 2009	Q4 2009	 2008	Q4 2008
Tài sản ngắn hạn###Current Assets	331231	318528	392039	392039	333292	324915	325064	377515	377515	368202	226250	238719	251995	251995	277825	252741	270741	277643	277643	233985	308070	341474	996371	996371	953864	1687907	2023997	1794487	1794487	1301035	1287330	1267961	1157872	1157872	1029846	1102510	971325	1024526	1026650	904509	863718	646859	555339	555327	345515	303275	293671	262261	262261	201090	201090	156458	156458
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	46028	40374	91438	91438	55202	58293	40808	133310	133310	55239	39657	39850	38730	38730	34513	23460	30306	26282	26282	18405	29889	8688	47721	47721	21281	67909	496407	503370	503370	50654	45035	59249	56582	56582	42107	13715	35847	11879	11879	50547	8270	15259	31168	31168	10585	3569	5051	2407	2407	9439	9439	27027	27027
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	11000	11000	11000	0	0	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285600	14600	14600	0	0	0	0	0	0	0	22000	0	0	0	23000	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	174112	141311	174530	174530	162048	170196	164894	182172	182172	149065	142698	129060	162727	162727	151041	183163	160608	168676	168676	149326	169818	171488	668008	668008	657243	1202700	883705	944876	944876	896429	686198	604115	621288	621288	623275	732410	611082	745821	746913	526310	402164	418830	434543	434531	193771	170315	178917	177870	177870	105186	105186	102681	102681
Hàng tồn kho###Inventory	109885	123160	112480	112480	114473	93251	116950	61179	61179	155588	41458	66692	47774	47774	89461	44068	77196	80096	80096	64691	107377	161139	265307	265307	262615	328527	347396	307637	307637	327835	524756	574394	455692	455692	341254	327538	258565	232053	232053	309190	402635	160326	77111	77111	128484	127335	104237	79246	79246	50489	50489	25618	25618
Tài sản ngắn hạn khác###Other Current Assets	1207	2683	2590	2590	1569	3176	1862	854	854	8309	2436	3117	2763	2763	2810	2051	2632	2589	2589	1563	987	159	15335	15335	12725	88771	10888	24004	24004	26118	31341	30204	24310	24310	23209	28846	43830	34773	35805	18463	27650	52445	12517	12517	12675	2056	5467	2738	2738	35976	35976	1132	1132
Tài sản dài hạn###Non-current Assets	312012	319329	323875	323875	341184	358551	376883	382429	382429	399604	406324	426219	443505	443505	460133	461349	461854	486513	486513	499197	505108	500015	676652	676652	681833	651926	527442	490093	490093	510816	457041	468484	472343	472343	468901	427244	336151	307586	307799	297916	247164	239778	203583	203432	223800	235808	250906	203596	203596	202210	202210	179749	179749
Các khoản phải thu dài hạn###Long term Account Receivable	2397	2749	2855	2855	2728	2986	2998	4904	4904	5163	7487	7512	6943	6943	7884	3889	8575	11274	11274	11932	9718	9596	6378	6378	6988	117882	7265	7433	7433	8079	8195	7163	7163	7163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	292242	288141	305750	305750	324769	339267	346088	351933	351933	365555	376819	393891	411787	411787	423755	432146	437104	457986	457986	463852	464404	471756	522537	480246	488908	443955	459782	462542	370814	364368	344845	362590	448058	448058	450631	412035	321348	292755	292956	290666	239968	232778	196583	196432	213480	225816	239709	194443	194443	200496	200496	179562	179562
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-576960	-572789	-555599	-555599	-535902	-526242	-513406	-480173	-480173	-465280	-436162	-420656	-432377	-432377	-417344	-407782	-392428	-468584	-468584	-455330	-446529	-430895	-431475	-431475	-415216	-401497	-385117	-395333	-395333	-389205	-387613	-374686	-357358	-357358	-338841	-320385	-243947	-229037	-228836	-215424	-200672	-154759	-142293	-142444	-132767	-120413	-103135	-97019	-97019	-57800	-57800	-32577	-32577
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	-14829	-14829	-12868	-24579	-22842	-20979	-20979	-19242	-17494	-15768	-14086	-14086	-12316	-10590	-8864	-8776	-8776	-6512	-4252	-2018	-1098	-1098	-274	0	0	0	0	0	0	0	0	0	0	0	-31288	-29996	-29996	-27126	-27126	-25188	-24255	-24255	-18513	-18513	-12772	-12772
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-632	-571	-509	-509	-446	-379	-312	-246	-246	-213	-185	-158	-130	-130	-108	-93	-88	-83	-83	-78	-73	-67	-1981	-1981	-1822	-1662	-1503	-1343	-1343	-1186	-1032	-877	-723	-723	-569	-415	-19	-18	-18	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-17	-16	-16
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	4520	4520	4520	4520	2520	2520	2520	2520	2520	0	0	0	0	0	0	0	0	0	0	0	2644	1502	112252	112252	112252	1502	10500	13279	13279	13279	13279	13279	13279	13279	15692	13279	13279	13279	13279	7000	7000	7000	7000	7000	7000	7000	7000	7000	7000	0	0	0	0
Tài sản dài hạn khác###Other long term assets	12526	13571	10641	10641	10908	13517	14814	17781	17781	20220	19465	22262	22410	22410	23682	20512	13998	14655	14655	10320	14875	14593	35485	35485	31065	9789	7227	6839	6839	5590	4981	4684	3843	3843	2577	1930	1525	1552	1564	249	196	0	0	0	3320	2993	4197	2153	2153	1714	1714	187	187
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	643242	637857	715914	715914	674477	683466	701947	759944	759944	767806	632574	664938	695501	695501	737958	714090	732595	764156	764156	733183	813178	841489	1673023	1673023	1635697	2339833	2551439	2284580	2284580	1811851	1744371	1736444	1630215	1630215	1498747	1529754	1307476	1332111	1334449	1202425	1110882	886637	758922	758758	569314	539083	544577	465858	465858	403300	403300	336207	336207
Nợ phải trả ###Liabilities	112591	106479	175812	175812	141939	152205	173365	231400	231400	248708	104529	137459	165380	165380	208881	187434	207869	253089	253089	222469	261830	285069	401151	401151	391261	443830	659117	854888	854888	781797	788205	773901	678760	678760	565052	606449	602952	634667	635253	608635	578026	352546	383149	334708	254985	235229	247516	176490	176490	356883	356883	329338	329338
