CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q1 2006	 2005
Tài sản ngắn hạn###Current Assets	550707	549912	549580	446485	418879	491909	480874	480873	434027	360159	325745	293225	300089	287732	230918	242689	244914	246637	225771	205824	212858	211345	211345	222278	223026	224278	229159	229159	227579	240106	222592	239927	239927	221997	217286	213418	186097	186082	185068	181660	181955	166222	166222	164155	150239	146435	145592	145368	140386	129583	125012	117925	117928	138418	132571	133822	131892	122679	107689	117828	122337	146753	146753	145442	144580	144498	117105	144498	100725
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	73322	95235	149086	39286	43453	38436	75917	75917	71429	44223	30139	35231	35231	26176	28323	51461	44975	43433	49798	16534	46884	71240	70983	68465	66055	69814	64083	64083	75450	65850	40625	24283	24283	23538	31661	32233	10436	10421	2971	3181	4634	4896	4896	5897	5807	9104	18477	18352	30241	37041	30553	20035	20035	7505	1698	5083	981	981	1784	8714	8910	48047	48047	39191	33985	28157	29182	28157	11574
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	61200	55200	200	200	200	200	200	200	200	0	0	0	0	0	0	3542	11000	12542	4542	5000	4891	21	278	11329	7425	355	813	813	172	250	287	827	827	63	63	226	213	213	234	281	281	76	76	60	0	0	4	4	4	4	4	4	4	821	1133	687	702	702	1126	1098	2037	4679	4679	4000	14000	13000	13500	13000	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	111656	107313	108393	97137	94684	118953	107213	107213	113757	88237	94808	61997	61997	50250	46486	47278	23509	25216	32985	32097	27773	33329	33329	26736	28491	33939	39748	39479	26704	26559	26686	44119	44119	31883	40921	36742	33674	33674	44450	40442	44021	41620	41620	41176	29885	53850	46863	46765	43186	27828	28723	29349	29352	46400	43204	42307	44997	40255	38990	39593	36713	37346	37346	36776	37777	31847	31119	31847	36356
Hàng tồn kho###Inventory	303099	292104	291846	305517	277593	332678	297481	297481	241985	223861	199190	194633	201497	210183	156045	139811	162209	162141	136464	150791	132761	106634	106634	115712	120968	120087	124505	124505	125082	147095	154869	170396	170396	164845	144048	143590	141324	141324	136470	136816	132526	119398	119398	116532	113718	82379	79898	79898	65601	63058	62881	65664	65664	82618	85230	84714	84548	80484	65178	68283	74200	56193	56193	65232	58716	71422	43023	71422	48886
Tài sản ngắn hạn khác###Other Current Assets	1430	60	55	4346	2948	1642	62	62	6657	3838	1609	1365	1365	1122	64	596	3221	3306	1981	1401	549	121	121	36	86	83	11	280	170	351	126	302	302	1667	594	627	450	450	943	940	493	232	232	489	830	1103	350	350	1355	1652	2850	2873	2873	1074	1306	1031	663	256	610	140	477	489	489	244	103	72	282	72	3910
Tài sản dài hạn###Non-current Assets	153733	153870	154041	156557	156402	61191	60893	60893	61873	61883	50427	50621	50621	44463	60986	32300	32647	32615	62527	54386	55750	63441	63441	64544	64578	64309	63519	63519	63567	63520	74484	74630	74630	84920	74778	74569	74681	74667	74232	75440	74456	95567	94627	75295	78515	78719	79342	79342	78036	77620	75755	75344	75344	75936	76636	75862	75890	80446	81070	83442	84697	58022	58022	47799	47493	58345	53682	58345	29048
Các khoản phải thu dài hạn###Long term Account Receivable	30115	30134	30134	30228	29668	31843	31639	31639	30869	30888	31504	31498	8967	8970	8970	8968	8998	8998	8434	28	28	28	28	28	8	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	13118	13279	13279	13396	13555	13724	13893	13893	14109	14308	14507	14708	14708	14910	15120	15183	15390	15529	15545	15750	15793	15936	15936	16021	16110	16168	15387	15387	15530	15517	15727	15882	15882	16037	16320	16501	16613	16600	16154	16323	16421	16543	11878	11996	16833	18246	19415	19472	19530	19521	21817	21889	21889	22057	22178	22419	22593	22593	22579	22763	22512	2475	2475	2445	1739	0	1926	0	1176
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-3676	-3601	-3601	-3525	-3451	-3367	-3282	-3282	-3196	-3235	-3123	-3010	-3010	-2896	-2774	-3159	-3086	-3105	-2986	-2868	-2756	-2649	-2649	-2547	-2520	-2490	-2899	-2899	-2841	-2790	-2760	-2692	-2692	-2624	-3217	-3123	-3031	-3038	-2977	-2919	-2821	-2729	-2424	-2404	-2321	-2296	-2217	-2217	-2139	-2067	-3137	-3069	-3069	0	0	0	-2653	0	0	0	0	-1871	-1871	-1580	-1842	0	-1751	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-4284	-4200	-4200	-4115	-4030	-3946	-3861	-3861	-3776	-3689	-3601	-3513	-3513	-3425	-3337	-3250	-3162	-3162	-3074	-2986	-2898	-2810	-2810	-2753	-2668	-2583	-2498	-2498	-2414	-2327	-2240	-2153	-2153	-2065	-1978	-1891	-1804	-1811	-1724	-1637	-1543	-1456	-1057	-996	-1340	-1330	-183	-183	-178	-174	-169	-154	-154	0	0	0	-90	0	0	0	0	-34	-34	-22	-11	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	518	550	550	581	700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	76	76	149	352	414	524	524	544	969	995	21590	26312	5899	1216	1259	1296	1296	1334	1372	1261	1308	1308	1185	1223	1261	1298	1298	1336	1374	1411	1449	1449	1487	1524	0	1599	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	4384	4384	4384	4384	4350	4350	4350	4350	4350	4350	4350	4350	26881	20451	36764	7806	7806	7806	37915	37915	39148	46704	46704	47806	47806	47384	47384	47384	47572	47572	58311	58311	58311	68421	57800	57378	57378	57378	57383	57979	57027	56877	55937	57386	60453	59112	58372	58372	56779	56279	52479	51979	51979	51979	52499	52099	51999	56555	57155	59305	60749	54099	54099	43618	43556	0	48556	0	24854
