CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	 2008	 2007
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3795	-3333	-3333	-2871	-2409	-1947	-1485	-1485	-1047	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	14679	33679	33679	33679	33679	33679	33679	33679	33679	14679	14679	14679	14679	14679	14679	11371	11371	16871	11371	16871	16871	16871	14371	14371	14371	14371	14371	14371	14371	14371	14371	14371	14371	14371	14371	14371	14371	8871	8871	8871	8871	8871	8861	8861	8861	0	0
Tài sản dài hạn khác###Other long term assets	1	2	2	2	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	14	0	0	304	304	304	304	304	304	430	430	430	430	430	435	366	340	240	231	245	245	17	17	17	17	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	166723	155980	155491	154062	138664	127774	123654	102536	102536	77299	82223	100915	120806	115635	81728	84505	84027	62458	64687	21668	21724	25901	25986	26137	24797	24873	26904	27220	29864	29981	30055	30775	30864	28709	33943	34255	52396	52120	52673	51076	50741	50681	51152	51834	59364	54628	63419	39956	48822	20460	16112	17228	16331	16331	4813	1905
Nợ phải trả ###Liabilities	12006	14370	14487	14190	13750	19932	17568	1506	1506	1249	6399	24870	45080	39908	57401	60716	61646	40591	41682	310	305	3208	3208	3220	3234	3205	4554	4775	5487	5499	5470	6061	6019	3523	8635	8828	12990	12721	13274	11717	11583	11570	12050	12370	19944	15521	24748	23649	32284	4147	2850	4915	5155	5155	2554	3226
Nợ ngắn hạn###Short term Liabilities	1317	1328	1445	1148	708	6890	7728	1506	1506	1223	6373	24843	45053	39882	57374	60716	61646	40591	41682	310	305	3208	3208	3220	3234	3205	4554	4775	5487	5499	5470	6061	6019	3523	8635	8828	11822	11903	10714	9158	9023	6383	6378	6698	14651	15521	24748	23649	32284	4147	2850	4915	5155	5155	2554	2314
Nợ dài hạn###Long term Liabilities	10689	13042	13042	13042	13042	13042	9840	0	0	26	26	26	26	26	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1168	818	2560	2560	2560	5187	5673	5673	5294	0	0	0	0	0	0	0	0	0	0	913
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	154717	141610	141004	139872	124915	107842	106086	101029	101029	76049	75824	76045	75726	75726	24328	23789	22382	21867	23004	21358	21419	22692	22778	22917	21563	21667	22350	22445	24377	24483	24586	24714	24845	25186	25308	25427	39406	39399	39399	39358	39159	39111	39101	39464	39420	39107	38671	16306	16537	16313	13263	12312	11175	11175	2259	-1321
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	154717	141610	141004	139872	124915	107842	106086	101029	101029	76049	75824	76045	75726	75726	24328	23789	22382	21867	23004	21358	21419	22692	22778	22917	21563	21667	22350	22445	24377	24483	24586	24714	24845	25186	25308	25427	39406	39399	39399	39358	39159	39111	39101	39464	39420	39107	38671	16306	16537	16313	13263	12312	11175	11175	2259	-1321
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30055	30775	30864	28709	33943	34255	52396	52120	52673	51076	50741	50681	51152	51834	59364	54628	63419	39956	48822	20460	16112	17228	16331	0	4813	1905



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	32400	10919	211655	42200	137999	14507	21750	59577	35520	639	3249	20168	82354	49196	9898	17635	5625	11264	11264	0	0	0	0	0	0	0	0	0	0	0	0	0	880	0	36	845	733	5530	2515	1035	1310	669	11833	3853	2585	2468	2926	24816	3836	10701	4825	5454	19919	7684	7470	0
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	32400	10919	211655	42200	137999	14507	21750	59577	35520	639	3249	20168	82354	49196	9898	17635	5625	11264	11264	0	0	0	0	0	0	0	0	0	0	0	0	0	880	0	36	845	733	5530	2515	1035	1310	669	11833	3853	2585	2468	2926	24816	3836	10701	4825	5454	19919	7684	7470	0
Giá vốn hàng bán###Cost of goods sold	17571	6433	156726	30750	120697	-5251	16590	34646	11079	614	3235	19717	77843	47664	9051	16065	5063	10312	10312	0	0	0	0	0	0	0	0	-519	0	0	0	0	734	0	34	701	461	3837	2455	461	536	184	10293	2717	1650	1779	1990	16592	3213	6091	3671	3599	13719	5494	4802	0
Lợi nhuận gộp###Gross profit	14829	4486	54929	11450	17301	19758	5160	24931	24441	25	14	452	4510	1532	847	1570	562	952	952	0	0	0	0	0	0	0	0	519	0	0	0	0	146	0	2	144	272	1692	60	575	774	485	1540	1137	935	689	936	8224	624	4610	1153	1855	6200	2189	2668	0
Doanh thu hoạt động tài chính###Financial activities Revenues	0	0	1312	2	4	5	1	179	0	500	0	178	877	157	267	85	369	1090	1090	0	0	0	0	0	0	0	0	75	0	0	74	0	1	0	0	1	0	392	390	1	1	0	317	118	18	102	44	208	9	1	193	0	315	17	63	3845
Chi phí tài chính###Financial Expenses	2692	3506	1430	-3058	0	4615	0	2175	2035	0	60	-5	533	-46	378	-2	203	148	148	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	111	110	850	124	158	320	248	456	768	222	415	109	455	50	0	149	0	31	-39	31	2336
Chi phí bán hàng###Selling Expenses	0	0	6223	0	0	6223	0	0	0	0	0	0	20	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	681	374	1480	774	233	369	105	-1843	-2635	300	175	316	925	336	194	183	213	2099	175	61	727	85	-316	96	104	683	95	3144	105	103	167	131	1287	122	123	916	153	837	271	150	191	225	1143	427	477	478	500	1195	285	608	-9	340	1351	575	338	1484
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	11456	606	47108	13736	17073	8556	5056	24778	25041	225	-221	319	3909	1399	542	1454	515	-204	1719	-61	-727	-85	316	-96	-104	-683	-95	-2550	-105	-103	-93	-130	-1252	-122	-121	-883	9	397	54	267	265	13	259	59	254	-102	371	6781	290	4004	1207	1516	5133	1670	2362	25
Thu nhập khác###Other incomes	2353	0	182	1422	0	19	0	527	27	0	0	0	0	0	0	0	0	237	0	0	2805	0	16	1450	0	0	0	951	0	0	241	0	6404	0	1	6400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	915
Chi phí khác###Other Expenses	22	0	201	201	0	0	0	1	1	0	0	0	50	0	3	47	0	280	73	0	3352	0	0	0	0	0	0	800	0	0	277	0	19706	0	0	19489	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	1709	704	1005	660
Lợi nhuận khác###Other profits	2331	0	-19	1221	0	19	0	525	25	0	0	0	-50	0	-3	-47	0	-42	-73	0	-546	0	16	1450	0	0	0	150	0	0	-36	0	-13303	0	1	-13089	0	0	0	0	-202	0	0	0	0	0	0	0	0	0	0	0	-1709	-704	-1005	255
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	13787	606	47089	14957	17073	8575	5056	25303	25066	225	-221	319	3860	1399	539	1407	515	-247	1646	-61	-1273	-85	332	1354	-104	-683	-95	-2400	-105	-103	-129	-130	-14555	-122	-120	-13972	9	397	54	267	63	13	259	59	254	-102	371	6781	290	4004	1207	1516	3424	966	1357	281
Chi phí thuế TNDN###Corporate Income Tax Expenses	740	0	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	3	64	15	64	14	93	1650	73	1001	257	379	271	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	740	0	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	99	14	67	16	3	64	15	64	0	93	1650	73	1001	257	379	271	-69	339	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	13047	606	46793	14957	17073	8575	5056	25303	25066	225	-221	319	3860	1399	539	1407	515	-247	1646	-61	-1273	-85	332	1354	-104	-683	-95	-2400	-105	-103	-129	-130	-14555	-122	-120	-13972	6	298	41	200	48	10	195	44	191	-102	278	5131	218	3003	950	1137	3154	1035	1018	281
---Cac Chi So Tai Chinh---																																																								
EBITDA	0.37	0.39	0.68	0.68	-0.90	-0.27	0.03	-0.22	-0.22	0.09	0.06	0.16	1.52	1.52	1.89	2.08	1.36	2.16	2.16	1.97	1.99	1.73	1.66	1.66	1.77	1.72	2.06	2.18	2.18	2.47	2.68	2.77	1.95	1.95	1.18	0.97	0.77	0.43	0.43	0.41	0.32	0.19	0.32	0.32	0.41	0.58	0.80	1.03	1.03	1.47	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	13.20	7.60	11.70	11.70	9.90	13.40	18.80	17.70	17.70	4.30	7.60	7.60	7.50	7.50	5.20	4.10	2.70	2.80	2.80	2.00	2.10	2.40	2.30	2.30	1.80	2.20	2.40	3.00	3.00	3.00	2.90	5.50	2.60	2.60	1.70	3.80	4.20	6.20	6.20	8.30	6.30	23.00	26.90	26.90	25.90	33.60	26.00	17.26	17.26	20.10	0.00	0.00	0.00	0.00	0.00	0.00
