CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q2 2013	 2012	 2011	 2010	 2009
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-10023	-9344	-8665	-7986	-7986	-7307	-6627	-5948	-5269	-5269	-4484	-3812	-3139	-2466	-2466	-1121	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-210	-180	-153	-153	-126	-99	-72	-45	-45	-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1215	-1215	-1214	-1214	-1213	-1212	-1212	-1210	-1209	-1206	-1202	-1199
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	28	42	56	56	70	84	99	113	113	127	141	155	169	169	183	197	211	225	225	244	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	1091	1283	1476	2228	605	670	735	0	0	0	0	0	0	0	3154	3000	0	0	0	1148	0	0	0	0	635	1271	5289	5924	5924	6775	7626	8477	9328	9328	11349	3383	0	124	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	528185	527724	535560	536312	596769	629462	509689	564646	564335	518485	413975	425015	437528	437589	355434	462019	442006	365164	365241	308663	428595	300800	299292	299292	464227	419703	438001	349544	349544	403802	410130	412062	373762	373762	337787	198083	180040	207667	183258
Nợ phải trả ###Liabilities	337711	329380	341447	341301	405195	436270	328930	375630	375433	335303	245396	251249	265774	265835	187356	300467	264823	186539	186615	133780	193071	72373	71485	71485	247794	217114	257651	178138	178138	233773	246633	248487	211644	211644	166528	77132	40965	55323	42892
Nợ ngắn hạn###Short term Liabilities	330194	321746	333813	333666	394621	429040	324071	375630	375433	333881	243974	248406	262930	262991	181669	294780	259136	179557	179634	127707	186998	66300	65412	65412	235096	204416	244953	165234	165234	214245	227104	228959	192115	192115	144160	56771	40754	55063	42626
Nợ dài hạn###Long term Liabilities	7518	7634	7634	7634	10574	7230	4859	0	0	1422	1422	2844	2844	2844	5687	5687	5687	6981	6981	6073	6073	6073	6073	6073	12698	12698	12698	12904	12904	19529	19529	19529	19529	19529	22368	20361	211	260	267
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	190474	198344	194112	195011	191574	193192	180759	189016	188902	183182	168579	173766	171754	171754	168078	161552	177182	178626	178626	174883	235524	228426	227807	227807	216433	202588	180350	171406	171406	170029	163496	163574	162118	162118	171258	120951	139075	152344	140365
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	190474	198344	194112	195011	191574	193192	180759	189016	188902	183182	168579	173766	171754	171754	168078	161552	177182	178626	178626	174883	235524	228426	227807	227807	216433	202588	180350	171406	171406	170029	163496	163574	162118	162118	171258	120951	139075	152344	140365
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	 2012	 2011	 2010	Q3 2010	Q2 2010	 2009
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	444621	460031	1992763	500779	472023	510841	509119	2115944	549565	430944	615483	519952	1738797	544311	429503	327479	437504	1492659	415525	354376	334891	387868	1251579	264345	319030	386627	281578	1175224	311773	287040	284387	292024	846245	581758	1067592	855593	207026	156107	1060752
Các khoản giảm trừ doanh thu###Deduction revenues	8761	5784	30555	13007	7839	4815	4895	16982	6826	4278	3449	2429	22014	12954	3329	4226	1504	17890	5700	3931	4082	4177	16973	6363	4319	3928	2362	13668	6302	2795	2534	2037	6361	1717	2815	1547	40	0	643
Doanh thu thuần###Net Sales	435860	454247	1962208	487773	464185	506026	504224	2098961	542739	426665	612034	517523	1716784	531357	426174	323253	436000	1474770	409825	350444	330809	383692	1234606	257981	314711	382699	279216	1161556	305471	284244	281853	289987	839884	580041	1064777	854045	206987	156107	1060109
Giá vốn hàng bán###Cost of goods sold	417342	427442	1860325	462988	445273	475458	476606	2032778	517903	410219	602605	502051	1644877	516512	402873	313159	412334	1424049	394311	347567	316131	366039	1115352	234806	282595	342434	255517	1118004	292687	271359	271006	282952	822302	566081	1039808	801669	194005	141491	985920
Lợi nhuận gộp###Gross profit	18518	26805	101883	24785	18912	30568	27618	66183	24837	16446	9429	15471	71906	14845	23302	10094	23666	50720	15513	2877	14678	17652	119254	23175	32116	40265	23698	43551	12784	12885	10847	7035	17582	13960	24969	52377	12982	14615	74189
Doanh thu hoạt động tài chính###Financial activities Revenues	341	437	521	39	64	347	71	1480	683	319	240	288	620	117	145	163	195	1223	345	234	403	261	4654	706	961	2897	90	1465	700	85	270	410	964	2079	3086	3452	1578	492	81
Chi phí tài chính###Financial Expenses	866	6826	16952	4117	5037	1972	5825	11463	4189	2371	2463	2491	9414	1555	2129	3184	2547	3927	1550	1271	-55	1181	9411	-1405	4117	2857	3843	14389	3729	3649	3501	3510	10726	7877	6861	4749	127	5512	5911
Chi phí bán hàng###Selling Expenses	2018	5673	17992	1946	5627	3351	7068	19785	7406	3398	5041	3939	16816	2568	6159	2694	5395	13167	955	4418	2493	5301	11382	1808	2664	4477	2433	6612	2510	1559	1522	1021	4530	1924	1874	989	357	108	310
Chi phí quản lý doanh nghiệp###Managing Expenses	7279	9130	38533	11028	10095	9597	7813	32646	10348	7544	8280	6475	32824	8008	8690	7962	8165	32164	9648	7537	7388	7591	33878	8821	8553	9697	6808	26705	6934	6496	7236	6039	23785	20609	13465	13048	2730	1982	12585
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	8696	5613	28927	7733	-1783	15995	6982	3769	3576	3452	-6115	2856	13472	2832	6469	-3583	7754	2685	3705	-10115	5254	3841	69237	14657	17744	26132	10704	-2690	310	1266	-1142	-3124	-20493	-14371	5855	37044	11347	7505	55464
Thu nhập khác###Other incomes	84	89	400	93	128	82	96	14351	-245	14111	326	159	2744	1166	57	1050	471	9017	1038	4307	3639	32	401	82	79	80	160	13497	1225	5000	1566	5706	16290	6474	2135	240	102	1	269
Chi phí khác###Other Expenses	136	413	2965	1399	368	446	0	356	353	3	0	0	14813	0	0	14741	72	26	0	0	15	11	1990	-11	73	7	1921	1994	633	-266	912	715	10630	4823	677	766	168	229	1202
Lợi nhuận khác###Other profits	-51	-324	-2566	-1306	-240	-364	96	13995	-597	14108	326	159	-12069	1166	57	-13690	399	8991	1038	4307	3624	21	-1589	93	6	73	-1760	11503	593	5266	654	4991	5660	1651	1458	-526	-66	-228	-933
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	8645	5289	26361	6427	-2023	15631	7078	17764	2979	17560	-5790	3015	1403	3998	6527	-17274	8152	11676	4743	-5808	8878	3862	67648	14750	17749	26205	8944	8814	903	6532	-488	1867	-14833	-12721	7313	36518	11281	7278	54532
Chi phí thuế TNDN###Corporate Income Tax Expenses	1841	1058	7366	2989	-405	3219	1416	3490	648	2957	-603	603	466	322	0	-1630	1774	2462	1001	-1167	1781	848	11247	3376	3905	3966	0	0	0	0	-411	411	0	0	1858	9327	2820	1819	7286
Chi phí thuế TNDN###Corporate Income Tax Expenses	1841	1058	7366	2989	-405	3219	1416	3490	648	2957	-603	603	466	322	0	-1630	1774	2462	1001	-1167	1781	848	11247	3376	3905	3966	0	0	0	0	-411	411	0	0	1734	9451	2820	1819	7286
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	-124	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	6804	4231	18995	3437	-1618	12412	5663	14274	2331	14603	-5187	2412	937	3676	6527	-15643	6378	9213	3743	-4641	7097	3014	56401	11374	13845	22239	8944	8814	903	6532	-78	1456	-14833	-12721	5455	27191	8460	5458	47246
---Cac Chi So Tai Chinh---																																							
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	13.90	11.17	10.33	10.33	6.52	5.68	4.91	4.44	4.44	4.04	5.47	4.20	4.51	4.51	4.75	5.54	5.06	5.50	5.50	6.51	6.15	9.26	5.79	5.79	4.85	3.33	2.75	2.68	2.68	2.89	2.53	3.18	1.95	2.75	3.42	7.87	9.55	16.46	0.00
