CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-20276	-18084	-16010	-16010	-13878	-11964	-42577	-39325	-39325	-36198	-33931	-31653	-29356	-29356	-27931	-26506	-25082	-23657	-23657	-22157	-20657	-19157	-8527	-8527	-8301	-8079	-7869	-7678	-7678	-7488	-7297	-7106	-6915	-6915	-6725	-6534	-6343	-6153	-6153	-5962	-5772	-5581	-5391	-5391	-5200	-5009	-4819	-4628	-4628	-4438	-4247	-4057	-3866	-3866	-3676	-3485	-3294	-3104	0	-2807	-2696	-2585	-2475	-2475	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	169743	268628	368744	368744	218655	168071	67831	67831	67831	66834	66248	67190	67019	67019	66367	66155	66538	66566	66566	13315	13201	13369	13552	13267	12963	12948	13067	13056	13056	12957	12954	13458	13363	13363	13451	13436	12387	26713	26611	22218	23063	23193	21373	6305	7605	8125	8125	8125	8125	8125	8125	8155	8155	8155	6465	6465	6465	6465	8155	8155	8155	30	30	30	22030	19030	15030	15030	15030	30	30	30	30
Tài sản dài hạn khác###Other long term assets	321380	317008	311293	311293	314606	308832	63729	67155	67155	77434	75008	56566	44966	42183	16198	11327	10995	10718	10056	8850	9442	10926	247779	223526	220405	218198	246294	218328	218331	218271	218026	218258	218428	218416	215135	96635	97591	63017	63014	72335	72434	72480	72383	72383	72277	48364	48327	196	301	298	263	201	257	222	197	-34	33	57	57	14611	15180	0	0	0	16902	17013	17124	17234	17234	17420	18587	19754	20921
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	3006204	2948951	2849907	2849907	2839262	2770884	2799753	2812199	2810584	2781279	2739396	2767715	2872248	2865236	2906453	2769966	2756895	2891075	2885483	2699586	2506530	2356746	2438335	2419776	2289278	2089906	2011417	1928518	1954501	1840223	1764285	1737256	1681282	1681350	1614445	1639008	1465195	1422668	1424867	1339520	1364630	1273000	1166487	1166702	1241208	1173071	1107181	982153	981204	1007335	899411	804512	824250	824411	713488	676897	592979	566011	565487	645595	630077	561515	497737	497737	464770	429014	402225	418235	423145	265429	249170	231049	269464
Nợ phải trả ###Liabilities	566158	377299	380624	380623	300817	352445	254544	358546	356457	291895	365414	232056	423168	409500	451232	434768	359386	593702	501921	399011	400199	165525	423056	355034	335214	249829	185309	210258	235955	194072	197658	170687	192209	192352	153249	259644	115294	148569	153429	152322	158016	148935	117156	117161	198165	197440	200546	129663	127573	157525	119075	87304	152345	146435	77762	81519	68110	77655	76129	148957	163783	119798	83727	76150	63472	34186	35185	49261	31852	37692	42431	47434	83995
Nợ ngắn hạn###Short term Liabilities	542251	354253	357538	357538	300817	352445	254544	358546	356457	291895	365414	232056	423168	409500	451232	434768	359218	593534	501753	398843	399863	165189	422719	354698	335214	249829	124159	210258	235955	194072	197658	170687	192209	192352	153249	259644	115294	148569	153429	150582	156275	147016	115351	115356	196513	195828	199041	128258	126168	156220	117869	86214	151306	145397	76801	80635	58450	76899	75374	148262	163148	119219	83203	75627	63472	34186	35185	49261	31852	35688	40127	35462	71994
Nợ dài hạn###Long term Liabilities	23908	23046	23085	23085	0	0	0	0	0	0	0	0	0	0	0	0	168	168	168	168	336	336	336	336	0	0	61150	0	0	0	0	0	0	0	0	0	0	0	0	1740	1740	1919	1805	1805	1652	1612	1505	1405	1405	1305	1207	1090	1038	1038	962	884	9660	755	755	695	636	579	524	524	0	0	0	0	0	2004	2304	11971	12002
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	780	8	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	2440046	2571652	2469284	2469284	2538444	2418439	2545208	2453653	2454127	2489383	2373982	2535659	2449080	2455736	2455221	2335198	2397509	2297374	2383563	2300575	2106331	2191221	2015279	2064742	1954064	1840077	1826108	1718260	1718546	1646150	1566627	1566569	1489073	1488998	1461196	1379364	1349901	1274099	1271438	1187198	1206614	1124065	1049330	1049541	1043043	975630	906636	852491	853632	849810	780335	717208	671905	677976	635726	595377	524869	488356	489358	496638	466293	441717	414010	421587	401297	394829	367041	368974	391293	227737	206739	183615	185468
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1251	0	5518	7083	10816	4685	8126	8126	5693	8860	4512	0	7576	5949	7505	6804	0	8490	2727	3167	4247	6010
Vốn chủ sở hữu ###Owners equity	2440046	2571652	2469284	2469284	2538444	2418439	2545208	2453653	2454127	2489383	2373982	2535659	2449080	2455736	2455221	2335198	2397509	2297374	2383563	2300575	2106331	2191221	2015279	2064742	1954064	1840077	1826108	1718260	1718546	1646150	1566627	1566569	1489073	1488998	1461196	1379364	1349901	1274099	1271438	1187198	1206614	1124065	1049330	1049541	1043043	975630	906636	852491	853632	849810	780335	715956	671905	672457	628643	584561	520184	480230	481232	490945	457433	437205	414010	414010	395349	387323	360237	368974	382803	225010	203572	179368	179458
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1764285	1737256	1681282	1681350	1614445	1639008	1465195	1422668	1424867	1339520	1364630	1273000	1166487	1166702	1241208	1173071	1107181	982153	981204	1007335	899411	804512	824250	824411	713488	676897	592979	566011	565487	645595	630076	561514	497737	491848	464769	429014	402225	418235	418234	265429	249170	231048	269464



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	1256369	1020368	4342955	1161231	1070108	1179759	931857	4129973	1229378	1069869	1167438	663288	4056608	1248431	966785	1009833	831558	3678351	977193	959561	1019077	722519	2970287	834577	788619	746538	600605	2500609	686332	663735	636265	514277	2131858	546053	534244	608472	443089	1924194	527198	475911	507011	413585	1852672	488308	499127	487039	378198	1441655	412792	374727	379366	274770	1156150	345900	313791	302294	193844	831578	182785	216972	230537	201251	680231	217903	178169	166709	117450	503621	127534	142335	136075	97677	423166
Các khoản giảm trừ doanh thu###Deduction revenues	5492	588	5616	2222	372	2460	562	210335	59493	50662	63173	37007	231949	42870	84892	31101	73085	369607	147091	80023	124384	18111	178673	51941	23988	23621	19123	85056	31749	22580	17742	12985	43714	10062	10876	14285	8490	33448	12066	6802	5886	8693	26248	6428	7718	6471	5632	24795	8295	9715	3082	3181	12996	4775	3947	2476	1797	10614	5150	3396	2067	1	231	16	81	27	107	196	45	45	100	5	389
Doanh thu thuần###Net Sales	1250877	1019780	4337339	1159009	1069736	1177298	931295	3919637	1169885	1019207	1104264	626281	3824659	1205561	881893	978731	758473	3308744	830103	879538	894693	704408	2791614	782636	764631	722917	581482	2415553	654583	641155	618522	501292	2088145	535990	523368	594187	434600	1890746	515132	469109	501124	404892	1826423	481880	491409	480568	372566	1416860	404497	365012	376283	271589	1143154	341125	309844	299818	192047	820964	177635	213575	228470	201251	680000	217887	178088	166683	117342	503425	127489	142290	135974	97672	422777
Giá vốn hàng bán###Cost of goods sold	896613	774100	3349335	905036	819292	904020	720987	3047591	941053	795632	855063	455843	2901884	922309	668118	725582	585930	2248176	631589	567673	618181	432920	1901884	535840	558635	463280	404268	1746458	471639	473215	442326	359293	1466115	373816	371076	416800	304423	1301575	366465	320626	341557	272422	1355892	347961	374653	361927	272202	1035351	296930	266095	273207	199952	806603	278033	214161	184822	129330	633927	142861	162199	174099	154757	538023	184081	140216	126010	87716	374679	96291	108714	98286	71388	326397
Lợi nhuận gộp###Gross profit	354264	245680	988005	253973	250444	273279	210309	872047	228832	223575	249202	170438	922775	283252	213775	253149	172543	1060567	198514	311865	276512	271488	889730	246797	205995	259637	177215	669095	182944	167940	176197	141998	622030	162175	152292	177387	130177	589171	148666	148483	159567	132469	470531	133919	116756	118641	100364	381510	107567	98917	103076	71637	336550	63092	95683	114996	62716	187037	34774	51377	54371	46494	141977	33806	37872	40673	29626	128746	31198	33576	37688	26284	96380
Doanh thu hoạt động tài chính###Financial activities Revenues	20575	17506	37121	15935	9727	10949	510	25107	13952	753	3654	5688	24482	11540	5334	5506	2103	48978	18771	4405	14524	6332	28435	10285	2030	13252	2829	27160	11771	4418	6637	4723	30522	4907	5885	7925	11804	14680	5634	5286	3266	1416	14595	2756	3109	5446	1140	10402	3656	2863	2318	1564	4174	1366	1734	731	342	1633	228	502	616	287	8121	989	1225	1590	1684	1472	833	306	106	227	575
Chi phí tài chính###Financial Expenses	33300	25860	110971	30161	27817	30501	22491	105485	32087	27359	29619	16420	97838	34352	26319	26113	11054	41507	11220	8965	9839	11505	29603	7986	9335	8149	4133	20317	7327	4194	5432	3363	17504	4255	8678	865	3706	6822	1140	3109	3150	-562	8787	3383	2370	1311	1723	7239	1992	1572	1472	1295	3348	712	1196	1097	1715	23774	7332	4553	10209	652	510	61	35	116	122	858	119	155	112	472	4361
Chi phí bán hàng###Selling Expenses	124714	88461	270352	72250	73950	66914	57238	165854	65009	43362	30460	27023	135640	59124	24763	30255	21498	166922	65966	36672	34365	29919	125938	38862	31728	28051	26436	123640	32215	47746	20182	23497	68631	14123	17726	16556	20227	64096	14687	15341	19129	14938	52309	12815	13906	10904	14674	39348	10085	9903	11366	7994	25271	6258	6682	5704	6620	25476	4336	4615	7050	9351	19645	6196	5056	4878	3514	11567	4094	2582	3866	1025	7213
Chi phí quản lý doanh nghiệp###Managing Expenses	23519	20905	116704	48362	10226	40666	17451	97833	35262	13915	19030	27973	124418	48167	19382	44362	19492	115282	32518	24209	38909	19645	95995	30152	23622	26564	12532	73250	19623	19802	20740	12715	67049	28515	15692	14939	12086	59866	11309	15341	18859	13177	41308	9102	9920	10989	11108	33046	8301	7500	8368	8929	28448	8098	5373	7413	7427	27526	7278	5683	8705	5829	19528	4433	7016	4443	3635	19479	1983	5035	4443	8018	18601
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	194421	127845	528596	119224	149348	146386	113638	529053	110253	141707	172805	104881	589814	153802	148857	157542	122574	786328	107792	247058	207571	216859	667125	180385	143353	210006	136954	479049	135648	100619	136690	107242	499367	120190	116080	152952	105961	477487	127164	119977	121695	106332	382722	111376	93669	100883	74000	312279	90845	82804	84189	54983	283657	49391	84167	101512	47297	111895	16055	37028	29023	30948	110416	24105	26990	32826	24039	98312	25833	26110	29373	16995	66780
Thu nhập khác###Other incomes	617	168	973	187	84	484	218	1133	101	344	169	532	566	93	131	278	65	385	61	97	129	75	2428	753	627	568	528	1284	418	359	310	197	1570	425	483	332	311	1989	848	231	684	248	1564	711	322	274	257	1503	225	616	475	187	1528	2377	292	270	78	2239	147	746	1204	141	893	172	184	182	166	466	34	232	166	33	143
Chi phí khác###Other Expenses	1	23	291	184	20	84	4	265	25	42	0	211	7423	83	2	249	59	2728	0	8481	3	38	4431	7744	0	93	0	34	32	0	2	0	986	81	0	194	30	7	0	6	1	0	4	0	1	0	0	50	0	0	50	0	21	0	0	0	0	0	0	0	0	0	38	27	0	0	0	1	0	0	0	1	1
Lợi nhuận khác###Other profits	616	145	682	3	64	400	214	867	75	301	169	321	-6857	10	129	29	5	-2343	61	-8384	126	36	-2002	-6992	627	475	528	1250	386	359	308	197	584	344	483	138	281	1982	848	225	683	248	1560	711	321	274	257	1453	225	616	425	186	1508	2377	292	270	78	2238	147	746	1204	141	856	144	184	182	166	465	34	232	166	32	142
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	195037	127990	529277	119227	149412	146786	113852	529921	110328	142009	172974	105202	582957	153811	148985	157571	122579	783985	107852	238675	207698	216896	665122	173394	143981	210481	137482	481097	136035	100978	136998	107438	499475	120445	116578	152483	106447	479469	131431	120203	122378	106580	384283	112087	93989	101158	74257	313731	91070	83420	84614	55169	285164	51767	84459	101782	47374	114133	16203	37774	30227	31089	111272	24249	27174	33008	24205	98777	25868	26343	29539	17028	66922
Chi phí thuế TNDN###Corporate Income Tax Expenses	38784	25621	106511	24666	29407	29667	22770	102310	22794	26607	34405	18623	118262	30505	28962	29687	22440	156580	24864	44431	60497	18584	146222	62254	29210	44377	29349	104285	29510	21099	29783	23943	129544	32564	29518	36425	0	118943	0	0	0	25580	89753	26894	22781	22930	16287	38434	10715	10345	10055	6721	35245	5887	9624	12946	6468	18210	2624	6198	6246	4352	15262	3394	3804	4621	3388	13829	13828	0	0	2383	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	39183	25284	109649	27759	28947	29440	23501	89704	9496	26781	34312	19234	144928	54760	28669	29424	22626	133538	25161	44017	14518	42075	168986	62310	29697	44525	29070	104185	29570	21345	29551	23773	129692	32774	29382	-26647	26583	119132	33734	30125	-25727	25676	-527	27000	22824	-17023	16645	38373	10718	10380	10116	6664	35446	5905	9821	12921	6501	18266	2118	6233	5720	4353	15262	3395	3804	4621	3389	13829	0	0	4135	2384	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	-399	337	-3137	-3093	460	227	-731	12606	13298	-173	93	-612	-26667	-24256	294	264	-186	23042	-297	414	45979	-23491	-22765	-56	-488	-149	279	100	-60	-245	232	170	-148	-210	137	63071	62	-189	-234	99	59089	-97	90280	-106	-43	39953	-358	61	-3	-35	-62	56	-201	-17	-197	25	-33	-57	506	-36	-526	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	156253	102369	422766	94561	120005	117118	91082	427610	87535	115401	138569	86579	464695	123306	120023	127883	100139	627404	82988	194244	147201	198312	518901	111140	114771	166104	108133	376812	106525	79879	107215	83496	369931	87882	87060	116058	79802	360526	97930	89978	89016	81000	294530	85192	71208	78228	57970	275298	80356	73075	74559	48449	249919	45880	74834	88836	40906	95923	13579	31576	25033	26737	96010	20854	23369	28387	20816	84948	25868	26343	25404	14644	66922
---Cac Chi So Tai Chinh---																																																																									
EBITDA	0.83	0.65	0.61	0.61	0.81	0.71	0.62	0.49	0.49	0.68	0.66	0.92	1.12	1.12	0.32	0.96	1.31	1.23	1.23	1.11	0.63	0.52	0.45	0.45	0.42	0.40	0.64	0.84	0.84	0.98	1.24	1.14	1.09	1.09	1.01	0.93	1.09	0.53	0.53	0.48	0.42	0.20	0.43	0.43	0.47	0.28	0.44	0.75	0.75	1.00	1.15	1.18	1.18	1.18	1.21	1.22	1.17	1.11	1.11	1.09	0.91	0.93	1.10	1.10	1.22	1.17	1.10	0.95	0.95	0.79	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	48.58	30.42	40.50	40.50	44.07	36.67	39.55	42.85	42.85	50.38	46.49	51.99	64.69	64.69	57.59	73.56	83.99	77.99	77.99	78.31	59.00	56.78	51.29	51.29	42.97	30.19	29.35	27.30	27.30	25.23	25.78	28.23	25.01	25.01	27.11	22.36	17.18	11.76	11.76	9.91	10.16	10.65	8.63	8.63	8.13	8.39	10.07	11.07	11.07	11.18	11.63	13.20	14.65	14.65	12.75	7.06	2.95	3.23	3.23	4.98	4.01	6.41	14.11	14.11	15.73	16.58	18.71	12.32	12.32	6.66	0.00	0.00	0.00
