CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005	Q4 2005	Q3 2005	Q2 2005	Q1 2005
Tài sản ngắn hạn###Current Assets	226585	242624	237803	234883	244099	177858	173594	179642	177108	159993	109916	147537	155843	171414	141678	127892	136035	157901	158025	181126	174296	169198	170043	168327	176701	133147	136038	136657	137414	132716	111090	118216	121759	121188	103366	78715	158767	161089	162442	166535	163354	165891	179220	179220	191119	167675	147230	132664	85142	132630	116690	130497	119906	119966	116906	122554	115983	111759	117891	113194	111517	113616	93704	93859	88890	85341	86916	65227	65722	60500	60737	59554	61563	61646	55786	53409	59045
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	13708	11957	13681	12481	9974	11483	13192	8109	8109	12902	11549	33413	48333	48333	45460	27000	25507	11549	11549	6488	10006	10253	16888	16888	28622	15229	20121	14128	14128	24605	17943	8647	22228	22228	18793	8308	7531	8717	8717	9352	9828	8840	6673	6673	12616	5147	15034	11203	10696	17712	9560	9230	11425	11425	8088	11863	6682	4668	4664	6784	8284	7697	7985	7985	12692	14812	19836	9246	9246	5337	7220	10308	12861	12861	5588	4817	6353
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	1200	0	0	0	0	0	5477	5477	5649	5386	5326	4821	4875	2587	2362	2210	2202	2297	2565	2364	2364	2392	2364	2079	2079	2079	2289	2289	1742	1742	1742	1852	1852	1771	1771	1771	1865	1925	1529	1529	1529	1979	2230	2216	2318	2493	2292	2394	2889	2889	2889	4563	4724	6173	6244	6244	6609	8922	10962	10962	10962	11334	5155	5105	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	45091	53255	36834	37166	49030	28396	26144	16652	17765	24429	17965	25840	16024	30744	16120	14090	23510	35878	36918	26686	35637	19464	27174	25045	19987	16296	17535	17425	19560	17824	20261	8210	9792	9792	15894	14557	39123	35919	36066	41959	37633	46294	45253	42662	37624	54923	42326	55695	25905	56657	43398	34151	29631	29691	27289	28951	30132	22998	28853	20806	31939	34374	25643	25636	27759	27373	21000	17534	17703	11988	13835	12309	14955	15035	15878	13633	15721
Hàng tồn kho###Inventory	163515	172051	182294	178667	179651	135447	131109	153177	149336	114729	71878	79236	84076	82226	72440	78720	80028	105547	104644	142902	123811	135051	121611	122095	123343	97008	93505	99622	98613	86182	68136	96931	87391	86820	65464	52151	105198	112543	113117	107210	112555	101695	124121	124121	130329	98899	83640	57851	44649	50840	57393	81538	74494	74494	76024	75566	71385	76783	76907	79448	62122	59832	48389	48389	35272	30462	38610	37600	37552	41368	38609	36309	32957	32981	34087	34863	36660
Tài sản ngắn hạn khác###Other Current Assets	4271	5361	4994	5368	5444	2532	3150	1704	1898	2457	3046	3399	2024	4786	2836	3207	4403	2565	2704	2849	2546	1865	2006	1934	2358	2250	2798	3403	3034	1815	2461	2686	606	606	1364	1847	5144	2139	2772	6149	1413	7532	1644	4235	8571	6475	4013	5596	1399	5130	3945	2688	1467	1467	942	1451	1612	1066	1223	-453	249	751	726	887	1832	7539	2365	847	1222	1808	1073	628	790	769	235	96	311
Tài sản dài hạn###Non-current Assets	62898	53758	55593	55218	59801	61830	62880	62658	62464	60866	61718	63043	64280	54025	59857	60703	64001	65185	66020	63580	65569	67063	64085	67214	63018	64773	63811	59564	59564	59225	60322	59196	57577	57577	59141	59658	64865	67305	67305	68959	70893	73853	75987	75987	77219	73176	62739	64226	67064	48578	48132	46814	45349	45358	47145	44813	43579	44741	44581	44471	30750	30372	30532	30532	25826	23571	24742	20367	20494	22779	22651	19347	20499	20499	20543	21928	23547
Các khoản phải thu dài hạn###Long term Account Receivable	606	597	597	597	597	597	597	597	597	597	597	181	381	-3588	1216	381	381	360	360	360	360	306	296	3352	306	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	53903	49563	51169	51169	52825	54532	55474	54980	54980	53132	53810	55429	56121	56121	57599	58946	60374	62326	62326	60218	62041	58812	60218	60218	58972	60732	60319	58456	56843	56749	57315	57239	56948	56948	58826	59203	64423	65323	66746	68383	70205	73020	50292	75022	76863	72752	62108	44236	58226	48053	47674	46447	44906	44915	46682	44247	43180	42940	44219	44104	30378	29898	30442	30442	23737	22990	21281	17296	16985	15993	16278	15915	17070	17070	16773	18321	19776
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-95632	-94041	-92496	-92496	-90901	-89255	-87587	-85934	-85934	-93406	-91866	-87971	-90536	-90536	-88894	-86876	-84918	-83420	-83420	-81500	-79622	-77861	-76031	-76168	-76261	-90428	-88592	-86772	-86772	-84993	-83715	-81677	-79617	-79445	-77430	-75409	-80829	-82941	-83063	-80656	-78271	-75360	-73090	-73090	-71104	-68847	-66666	-64519	-61609	-62643	-61084	-61038	-59385	0	0	-56949	-56874	-54922	0	0	-52727	-52050	-50615	-50615	-49310	0	-47161	-46478	-46789	-47778	-48091	-46726	0	0	0	0	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-494	-415	-354	-354	-293	-232	-175	-137	-137	-100	-62	-2220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1274	0	0	0	0	0	0	0	-14	-14	-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	501	451	0	498	3498	3498	498	498	498	498	498	498
Tài sản dài hạn khác###Other long term assets	3367	3552	3782	3407	6334	6701	6810	7082	6887	7096	7269	7391	7148	861	559	893	2764	2015	2851	1169	1335	1524	1738	1810	2127	2122	1879	1108	1108	863	676	565	628	628	315	456	442	559	559	576	688	834	965	965	356	424	631	837	837	525	458	367	443	443	463	566	399	549	362	367	372	475	90	90	90	80	3010	3070	3010	3288	2875	2935	2931	2931	3272	3109	3273
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	289483	296381	293395	290101	303900	239688	236475	242300	239572	220860	171633	210579	220123	225439	201535	188594	200036	223086	224045	244706	239866	236261	234129	235540	239720	197920	199849	196221	196978	191941	171412	177412	179336	178765	162507	138373	223632	228394	229747	235494	234247	239744	255207	255207	268338	240851	209968	196890	152205	181208	164822	177311	165255	165324	164051	167367	159563	156500	162472	157665	142267	143989	124236	124390	114716	108912	111658	85594	86216	83279	83388	78902	82062	82145	76330	75337	82592
