CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-895	-889	-882	-882	-876	-870	-864	-858	-858	-886	-845	-835	-824	-824	-787	-750	-714	-677	-677	-640	-603	-567	-530	-530	-525	-494	-463	-433	-433	-386	-356	-358	-344	-344	-331	-300	-262	-219	-835
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	7726	7815	7905	7905	7995	8085	8175	7642	7642	7725	7807	7889	7971	7971	8053	8135	8217	8299	8299	3579	3600	3621	3642	3642	3663	3684	3706	3727	3727	3748	3769	1382	1403	1403	1424	1487	1572	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	19407	19407	19407	19407	19407	19407	19407	19407	19407	19407	976	976	976	976	976	976	976	976	976	976	976	976	976	976	976	976	976	976	976	976	976	976	976	976	2596	4904	11369	11804	11804
Tài sản dài hạn khác###Other long term assets	57859	52683	57029	57029	56552	59242	60779	62017	62017	64333	67153	64661	65172	65172	58293	60729	55016	54026	52582	51195	53062	49335	49469	49469	45294	46371	46812	48114	48114	53041	55388	59893	64106	64106	67554	65332	68380	61239	61229
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	863816	759656	797475	797475	805453	805436	793086	838815	838815	830325	804871	818435	758517	758366	766236	746577	649677	646648	645353	641886	642192	654117	705600	708558	698267	705610	736025	752818	752818	801653	787505	833672	847577	847577	864583	934903	1014627	1118619	1162975
Nợ phải trả ###Liabilities	362930	299654	325464	325464	277099	330598	382164	395496	395496	350295	366870	356927	281289	281285	336866	354315	195242	201086	199123	227398	258688	233417	297059	300017	307024	344062	344187	361331	366078	428524	438177	463722	483284	483284	511520	583034	684045	726640	844030
Nợ ngắn hạn###Short term Liabilities	338663	280701	301982	301982	242029	295991	335642	349027	349027	280223	297012	287777	212174	212170	318494	336199	175930	180603	180454	208073	238350	172724	236360	252780	230549	267931	217860	236756	241503	264090	282950	270852	290409	290409	224575	269446	288721	228705	266399
Nợ dài hạn###Long term Liabilities	24268	18954	23482	23482	35070	34607	46523	46469	46469	70071	69858	69150	69116	69116	18372	18116	19312	20483	18670	19326	20338	60693	60700	47237	76476	76132	126327	124574	124574	164434	155228	192870	192875	192875	286945	313588	395324	497936	577631
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	500886	460002	472010	472010	528354	474838	410921	443319	443319	480030	438000	461508	477228	477081	429370	392263	454434	445562	446230	414488	383504	420700	408541	408541	391243	361548	391838	391488	386741	373129	349328	369950	364293	364293	353063	351869	330582	391979	318944
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	500886	460002	472010	472010	528354	474838	410921	443319	443319	480030	438000	461508	477228	477081	429370	392263	454434	445562	446230	414488	383504	420700	408541	408541	391243	361548	391838	391488	386741	373129	349328	369950	364293	364293	353063	351869	330582	391979	318944
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	320936	237195	1505258	363468	372196	387294	382300	1539616	447483	390348	392045	309740	1123981	383047	326801	241709	172585	821540	221911	243090	245853	184239	757680	194556	206828	205736	150560	1220978	289632	357932	476144	97270	1204083	526634	93809	1101621	942832	1168145	890443
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	1064	0	0	568	496	1905	498	457	601	350	1851	785	486	437	143	1134	155	313	557	109	532	154	112	242	24	458899	108977	133324	179592	37007	458606	200320	35084	402969	350668	440127	377118
Doanh thu thuần###Net Sales	320936	237195	1504195	363468	372197	386726	381803	1537711	446985	389891	391444	309390	1122130	382262	326315	241272	172442	820406	221756	242777	245296	184130	757148	194402	206716	205494	150536	762079	180656	224608	296552	60263	745477	326314	58725	698652	592164	728018	513325
Giá vốn hàng bán###Cost of goods sold	235350	195923	1166916	281691	287684	289346	308195	1267051	386578	316646	313089	250738	886395	306235	257556	180046	142720	615023	169424	187065	190202	141885	573346	144388	153639	154844	120477	592965	135526	171531	236206	49701	578221	256034	46555	535072	456256	491974	425780
Lợi nhuận gộp###Gross profit	85586	41272	337279	81777	84513	97380	73609	270659	60408	73245	78355	58651	235735	76028	68760	61226	29721	205383	52332	55712	55094	42245	183802	50014	53077	50650	30060	169114	45130	53077	60346	10562	167256	70280	12170	163580	135907	236044	87545
Doanh thu hoạt động tài chính###Financial activities Revenues	88	6	1150	542	576	21	11	522	263	16	151	92	7538	7324	12	193	9	389	26	25	300	38	189	15	14	138	21	269	53	33	176	6	976	511	39	4609	3521	4521	14996
Chi phí tài chính###Financial Expenses	594	1252	4750	1056	992	1186	1516	7790	1768	1728	2207	2087	3948	1172	751	1167	858	5623	603	588	2272	2256	13189	2497	2914	3556	4222	24746	4415	5876	11837	2618	47732	16722	3298	69968	95311	77353	40472
Chi phí bán hàng###Selling Expenses	12366	6364	41053	11120	11833	10753	7347	43803	10996	12406	12273	8127	38626	11125	11395	9207	6899	35014	9872	10069	9563	5493	22686	4201	6007	7914	4725	23513	4811	9583	11790	2075	41787	21318	5897	26208	21333	11613	6256
Chi phí quản lý doanh nghiệp###Managing Expenses	22158	13968	71427	19426	17360	15421	19220	75263	26527	15945	15545	17247	65262	16769	18012	15771	14651	59507	10883	13125	20169	15721	47739	12387	9677	12880	12634	46924	11266	17271	15167	3220	37266	18207	2010	34871	33447	31380	27634
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	50557	19695	221200	50718	54904	70042	45536	144325	21380	43182	48481	31283	135437	54286	38614	35275	7323	105628	30999	31955	23390	18813	100376	30944	34493	26439	8501	74200	24691	20381	21727	2654	41447	14543	1004	37141	-10663	120219	28179
Thu nhập khác###Other incomes	-4272	11756	52600	13564	17462	13293	8281	40730	10960	11679	11418	6673	34927	9661	10262	9069	5726	31583	11766	10701	9400	5161	20392	5615	5478	5180	3505	19369	8133	8127	9077	1689	33007	15571	1413	7636	12562	5839	4207
Chi phí khác###Other Expenses	-4820	7559	14706	3843	5471	3438	1954	9849	3439	2323	2469	1618	10357	3357	2487	2553	1959	6666	3243	3927	3632	1100	17737	14166	1448	594	916	9022	7110	4706	4186	677	21634	11306	199	4491	7978	2683	1347
Lợi nhuận khác###Other profits	548	4197	37894	9720	11991	9855	6327	30881	7521	9355	8949	5055	24570	6304	7775	6517	3768	24917	8523	6774	5768	4060	2654	-8551	4030	4586	2589	10347	1024	3421	4891	1012	11374	4265	1215	3145	4584	3156	2860
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	51104	23892	259094	60439	66895	79897	51864	175206	28900	52537	57430	36338	160007	60590	46389	41791	11091	130545	39523	38729	29158	22874	103031	22393	38524	31025	11089	84547	25714	23801	26618	3666	52821	18808	2219	40286	-6079	123376	31039
Chi phí thuế TNDN###Corporate Income Tax Expenses	10221	4778	52051	12319	13379	15980	10373	35200	5918	10507	11486	7288	32749	12880	9278	8370	2218	26868	7780	7746	5837	4575	23269	5095	8829	9345	0	18844	12103	0	6741	0	10488	3038	0	4410	0	17110	6308
Chi phí thuế TNDN###Corporate Income Tax Expenses	10221	4778	52290	12559	13379	15979	10373	35384	6103	10507	11486	7288	32421	12553	9278	8370	2218	26434	7348	7746	5837	4575	26080	7906	8829	9345	0	20119	13378	0	6741	0	10488	3038	0	4410	0	17110	6396
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	-240	-240	0	1	0	-184	-184	0	0	0	327	327	0	0	0	434	432	0	0	0	-2811	-2811	0	0	0	-1276	-1276	0	0	0	0	0	0	0	0	0	-88
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	40883	19114	207043	48119	53516	63917	41491	140006	22982	42030	45944	29050	127259	47710	37111	33421	8873	103677	31743	30983	23321	18299	79762	17298	29695	21680	11089	65703	13612	23801	19877	3666	42333	15771	2219	35876	0	106265	24731
---Cac Chi So Tai Chinh---																																							
EBITDA	0.17	0.27	0.00	0.00	0.32	0.28	0.09	0.08	0.08	0.01	-0.02	0.09	0.21	0.21	-0.10	1.07	0.64	0.55	0.55	0.59	0.07	0.00	-0.11	-0.11	-0.11	0.00	0.08	0.64	0.64	0.75	0.46	0.40	-0.13	-0.13	0.02	0.82	0.39	-0.36	0.00
Giá giao dịch cuối quý###Last Price of Quarter	31.30	28.50	39.40	39.40	35.51	30.74	29.44	28.05	28.05	28.41	27.31	24.50	23.08	23.08	22.33	20.62	20.79	20.59	20.59	20.86	14.41	12.38	12.06	12.06	10.15	11.74	10.50	9.26	9.26	9.61	8.16	8.06	6.45	6.45	5.91	5.33	3.66	6.05	0.00
