CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	 2014	 2013	 2012	 2011
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-65	-65	-65	-65	-65	-65	-65	-65	-65	-65	-65	-65	-65	-65	-65	-65	-65	-65	-65	-65	-65	-65	-650	-65	-65	-65	-65	-49	-27
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180000	180000	180000	180000	160000	160000	0
Tài sản dài hạn khác###Other long term assets	42070	38179	34283	34283	30387	26491	22595	18699	18699	11762	2711	2911	3111	3111	3311	3511	3851	4322	4322	4793	5296	5860	6425	6425	5402	1384	2556	156	5850
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	2578581	2611263	2597258	2597258	2796467	2839808	2769198	2853492	2847416	3016845	2981022	2978285	2943209	2943209	3019291	2976079	3148086	3159198	3159198	3261120	3258346	3392804	3316768	3316639	3440181	3130797	3113865	2448967	2628081
Nợ phải trả ###Liabilities	1214279	1275985	1276962	1277478	1530471	1590820	1473986	1583752	1574703	1831776	1831308	1852405	1850758	1850758	1957695	1928058	2108102	2135234	2135234	2241279	2249924	2402700	2352099	2352571	2520002	2182025	2180223	1566738	1763702
Nợ ngắn hạn###Short term Liabilities	664027	717567	686523	476344	603899	617931	619931	697994	697312	829837	805745	712124	679190	679190	632933	603213	631971	659014	575230	547708	598760	627220	588109	592135	623264	387441	368054	427798	412823
Nợ dài hạn###Long term Liabilities	550252	558418	590439	801135	926572	972890	854055	885759	877391	1001939	1025564	1140281	1171568	1171568	1324762	1324845	1476130	1476220	1560004	1693572	1651164	1775479	1763990	1760436	1896738	1794584	1812169	1138940	1350879
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	1364302	1335278	1320296	1319780	1265996	1248988	1295212	1269740	1272713	1185069	1149713	1125879	1092451	1092451	1061596	1048020	1039985	1023964	1023964	1019840	1008421	990104	964669	964068	920179	948772	933642	882229	864379
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	1364302	1335278	1320296	1319780	1265996	1248988	1295212	1269740	1272713	1185069	1149713	1125879	1092451	1092451	1061596	1048020	1039985	1023964	1023964	1019840	1008421	990104	964669	964068	920179	948772	933642	882229	864379
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	 2014	 2013	 2012	 2011
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	389785	309490	1601950	367283	402210	466237	366219	1488514	487340	322672	378550	293876	960411	289126	225477	204741	241068	1101489	286910	277441	276286	263098	940287	282698	244503	750761	871969	581739	281431
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	389785	309490	1601950	367283	402210	466237	366219	1488514	487340	322672	378550	293876	960411	289126	225477	204741	241068	1101489	286910	277441	276286	263098	940287	282698	244503	750761	871969	581739	281431
Giá vốn hàng bán###Cost of goods sold	379673	269235	1449618	319978	375360	423109	331171	1280062	418632	301242	324520	237150	829148	240041	201545	182931	204632	947060	246762	249748	237143	215653	804808	225262	212264	721094	783921	475349	239435
Lợi nhuận gộp###Gross profit	10112	40255	152331	47306	26850	43128	35047	208452	68707	21429	54030	56726	131263	49084	23932	21810	36436	154429	40148	27693	39144	47445	135479	57436	32239	29667	88048	106389	41996
Doanh thu hoạt động tài chính###Financial activities Revenues	29612	10075	88010	31935	12875	30621	12579	82302	40624	11600	26909	11774	46136	12141	11531	11640	10825	43803	10918	12349	11038	9497	39741	9837	9987	53646	53839	72063	117758
Chi phí tài chính###Financial Expenses	-9517	27138	33406	5276	13763	2364	12003	40296	719	28043	6628	13509	73449	19058	16755	19616	18019	101860	37622	21078	21924	21235	147077	26113	70987	56833	63785	158195	154336
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	3637	4688	19496	6724	4651	4489	4578	18609	5624	4204	5005	3776	15880	7070	3716	2134	2960	17945	5783	4662	3888	3613	12872	3264	3370	11293	26689	87589	1943
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	45604	18504	187438	67240	21311	66896	31045	231850	102989	782	69306	51215	88070	35097	14991	11700	26281	78427	7660	14302	24371	32094	15272	37896	-32131	15187	51413	-67332	3475
Thu nhập khác###Other incomes	332	234	1258	0	0	0	1258	0	0	0	0	0	468	0	1	452	14	0	0	0	0	0	8476	7899	0	3237	0	0	0
Chi phí khác###Other Expenses	172	0	29	0	0	0	29	273	273	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	85	0
Lợi nhuận khác###Other profits	159	234	1229	0	0	0	1229	-273	-273	0	0	0	468	0	1	452	14	0	0	0	0	0	8385	7899	0	3237	0	-85	0
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	45763	18738	188667	67240	21311	66896	32274	231577	102716	782	69306	51215	88538	35097	14993	12152	26296	78427	7660	14302	24371	32094	23657	45795	-32131	18424	51413	-67417	3475
Chi phí thuế TNDN###Corporate Income Tax Expenses	9201	3756	37894	13456	4304	12903	6801	50188	15073	-2890	9688	17787	16528	4242	1417	594	10275	17977	3536	2884	4898	6659	6561	1907	0	423	0	381	3164
Chi phí thuế TNDN###Corporate Income Tax Expenses	13292	7852	54277	17552	8399	16999	10897	66577	22209	192	15857	17787	16528	4242	1417	594	10275	17977	3536	2884	4898	6659	6561	1907	0	423	0	381	3164
Chi phí thuế TNDN###Corporate Income Tax Expenses	-4091	-4096	-16384	-4096	-4096	-4096	-4096	-16388	-7137	-3082	-6169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	36562	14982	150773	53784	17008	53992	25472	181388	87643	3672	59618	33428	72010	30856	13576	11558	16021	60450	4124	11419	19472	25435	17096	43888	-32131	18001	51413	-67798	311
---Cac Chi So Tai Chinh---																													
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	5.90	4.70	5.80	5.80	7.00	7.60	5.87	6.04	6.04	5.44	6.04	5.44	4.23	4.23	4.49	7.77	7.68	13.81	13.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
