CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	1126478	1170572	1169655	1168802	1168928	1235614	1259821	1176777	1176777	1117120	1133345	1132676	1172999	1067897	1075760	1102744	959724	983608	983608	1029976	979652	843245	896166	896166	863737	1031083	1010288	1004168	1004168	992895	976082	874782	974676	974676	993619	868841	873006	816220	816220	802241	784732	788533	745939	744914	723349	680238	663885	541576	410576	511711	505005	437224	436389	436076	447559	442342	428863	379096	377947	429498	389244	323771	379709	379709	241992	209081	175904	173309	172219	178906
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	14213	5117	37435	37269	35430	45982	15093	17732	17732	25625	24159	35828	28883	28883	30851	40356	38724	25594	25594	13292	71328	43424	67586	67586	55205	39692	22984	72867	72867	44683	64951	16882	159336	159336	165029	14197	25765	33809	33809	26960	15416	25514	108454	108454	64646	48003	31778	61038	50084	54412	18694	33028	36010	36010	39723	30512	32659	59893	59893	30977	30826	24991	168374	168374	11232	10650	5239	39784	39784	30583
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53820	101820	31286	36286	12364	30000	10000	20000	20000	4580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	520035	500843	549024	549024	523311	557251	583134	551273	551273	493516	531173	543241	652875	553525	511618	522725	399651	439381	439381	503357	414659	325977	415715	415715	302180	472931	472498	454609	454609	481368	521641	427598	449919	449919	423357	417061	298758	330356	330356	293267	279022	272396	218277	217802	225474	172950	131715	149490	117837	85181	97192	99134	107167	110303	103298	121046	153668	116428	116792	114205	93612	73191	52653	52653	33648	42414	49864	31871	31907	49968
Hàng tồn kho###Inventory	589195	658633	578541	577519	605960	627345	656148	602921	602921	593660	574678	550830	488774	481174	532889	534710	514168	510893	510893	508532	491635	468491	409452	409452	500534	514713	503600	463167	463167	452932	377847	419695	357413	357413	392229	425917	531988	440444	440444	471646	476501	471102	401633	401157	411992	386392	378744	288636	199957	343168	345837	285982	266920	264535	290378	285348	238107	198840	197691	280010	260019	219014	155124	155124	191891	150238	115654	94471	93431	95879
Tài sản ngắn hạn khác###Other Current Assets	3035	5980	4655	4990	4227	5037	5447	4850	4850	4319	3334	2776	2467	4315	402	4954	7181	7741	7741	4796	2030	5353	3413	3413	5818	3747	11205	13525	13525	13912	11642	10607	8009	8009	13004	11667	16495	11612	11612	10367	13792	19522	17575	17501	21237	19073	19829	11126	6413	16587	13283	9080	6292	5228	9581	5436	4430	3935	3571	4306	4787	6575	3559	3559	5221	5779	5146	7183	7097	2476
Tài sản dài hạn###Non-current Assets	290356	300910	294853	295069	288508	275706	287570	315152	315152	317592	301411	317995	302052	413563	429260	412482	499225	469881	469881	497842	497915	490800	504630	504630	506885	273161	276300	294915	294915	339221	354081	328247	363598	363598	358044	317272	329920	339030	339030	369753	373292	341139	373648	361639	354891	353086	311470	280361	238000	264620	269252	255087	259060	259060	276363	307057	274852	253737	254237	232771	208299	196956	126624	126624	83927	81772	77877	79937	79800	87876
Các khoản phải thu dài hạn###Long term Account Receivable	177678	179684	176673	176673	163006	165918	171254	199306	199306	193044	174736	190854	168112	277935	284898	261282	297936	253358	253358	278151	266949	250546	241376	241376	233101	0	0	0	59	59	160	165	0	165	165	0	165	180	180	208	0	269	326	326	267	231	291	291	96	222	209	196	0	163	0	3	0	0	19	19	20	0	14	14	16	7	7	0	0	0
Tài sản cố định ###Fixed assets	89991	94961	91224	91224	89387	75201	80399	85936	85936	91347	97198	103488	109846	109846	114841	121290	152888	169120	169120	164089	173376	181246	189428	189428	192942	199886	208798	217719	217719	231999	238577	227713	236978	236978	259676	209405	212898	202243	220737	229470	233206	238714	232843	251429	249625	240863	200757	145094	139405	160529	164309	150642	155395	152643	153129	226682	195957	175631	175631	150601	122617	110912	96973	96973	71294	68632	66753	68347	68205	76649
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-371418	-367130	-362531	-362531	-368093	-363070	-357920	-352382	-352382	-347284	-343568	-341500	-335018	-335018	-332791	-325674	-339258	-328636	-328636	-321025	-318708	-310804	-305612	-305612	-304701	-295797	-287277	-279661	-279661	-260772	-252082	-246082	-238769	-238769	-234284	-233895	-228827	-221519	-221519	-215780	-209981	-203774	-195130	-197077	-190893	-182508	-172788	-167731	-133669	-164009	-154415	-150228	-142484	0	-135940	0	-136040	-133163	0	0	0	-115089	-110818	-110818	0	0	0	-100311	0	0
