CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	911835	851396	632428	632423	1252296	1214502	1170338	1042274	1042274	1277925	1157323	1225148	1175390	1176177	1359946	1364295	1393724	976417	976519	1168638	1064693	1145029	1107847	1083924	1207615	1173326	1115521	1265908	1281127	1185123	1282767	1312211	1156834	1179468	1208896	1308996	1367454	1211189	1211189	1277483	1345637	1274366	1182628	1191143	1244901	1213061	1160528	964037	964160	1103404	2862070	2806861	2784400	2785395	2777652	2804976	2737009	2737009	2747071	2561840	2304028	2346133	1251134	1251134	853324	726394	651238	680966	680966	468436
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	36777	36883	122117	122117	39872	47293	81677	115897	115897	116997	35920	63682	112446	112446	21957	46360	36609	162263	164763	47197	39539	55524	158034	158034	64073	105932	75672	352260	352260	129570	174371	76252	131894	131894	49634	83502	218940	91443	91443	95781	88697	47127	67027	156027	29605	68009	226040	61187	51197	33844	50621	39723	93577	93577	58987	52066	84825	84825	84828	22137	26383	137129	85554	85554	29584	39686	82194	119421	119421	116140
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	5000	5000	5000	5000	5000	5000	5000	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	0	6832	13432	28432	143032	88032	88032	84032	84532	64000	130000	130000	76000	129971	139000	89000	0	1238	1140	2084	33458	33458	865	3795	20000	40000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	415151	387413	130308	130302	390728	352667	326705	117016	117016	394048	364998	335511	148610	149267	424106	500458	464939	191256	188756	479115	451218	557465	345238	343752	499042	440535	472840	449984	434826	517123	540165	534826	430774	443896	588021	644860	652247	527865	527865	595183	555828	432774	402255	434425	582360	518750	363295	280608	285706	480904	332845	288076	231920	273925	268170	331400	340214	340214	338332	446251	455458	446207	369579	369579	354688	337790	293005	286556	286556	82975
Hàng tồn kho###Inventory	436649	414608	353129	353129	806049	790006	725984	775940	775940	747918	732569	788182	887773	887773	894230	788475	865641	605912	606230	629824	557175	509486	584128	561690	614391	614513	549699	445263	461478	496185	510107	530470	475336	475762	452276	464692	424897	454130	454130	490488	551983	637549	611450	587704	604706	602698	556234	558856	558583	537214	2447642	2424817	2400481	2400333	2425871	2389937	2285712	2285712	2298510	2078581	1808598	1753891	786419	786419	467785	344558	275566	272524	272524	265961
Tài sản ngắn hạn khác###Other Current Assets	23258	12492	21875	21875	10647	19537	30971	28420	28420	13962	23837	37773	26561	26692	19653	29003	26534	16987	16771	12503	16761	22553	20448	20448	30109	12345	12309	18401	25730	28812	29691	27631	30798	39885	34933	31411	7370	7751	7751	20030	19157	17917	12896	12987	26991	22464	12875	29928	35216	50577	27168	34244	18423	17561	24625	31572	26258	26258	25401	14871	13589	8907	9583	9583	1267	4359	473	2465	2465	3360
Tài sản dài hạn###Non-current Assets	3756095	3837404	3906502	3906502	3445560	3476561	3494470	3508943	3508943	3529674	3578276	3606320	3664838	3666305	3670243	3705324	3761560	3764911	3762758	3821445	3889696	3962024	4021813	4063373	4133315	4193408	4247273	4347195	4328828	4408544	4455336	4536238	4628046	4647355	4700905	4707980	4441677	4516426	4515557	4538271	4599000	4678906	4870156	4874075	4947759	5038198	4856821	4751109	4751169	4828520	2853339	2773870	2585615	2584302	2429948	2183106	1898695	1898695	1907896	1529042	1340915	1206454	1090214	1090214	1115287	1118325	1122763	1144141	1144141	1208122
Các khoản phải thu dài hạn###Long term Account Receivable	5555	5470	4979	4979	2364	2364	2364	2120	2120	2120	2120	2120	1885	1885	1885	1885	1885	1657	1657	1657	1657	1657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	3574436	3626373	3699535	3699535	2945074	3007095	3070222	3135077	3135077	3199875	3260838	3326761	3390098	3391564	3457912	3520496	3599770	3666295	3666295	3723681	3780557	3848820	3908873	3908873	3965191	4034559	4106024	4178753	4180969	4240436	4277081	4358317	4510847	4523222	4611861	4617130	4370527	4430228	4435988	4531648	4592307	4669712	4661320	4863590	4935677	5024565	4842391	4675693	4734652	4801288	2852663	2768740	2580533	2578465	2424612	2177985	1893675	1893675	1902395	1523608	1335778	1201454	1084944	1084944	1110053	1113131	1117738	1138206	1138206	1202808
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-4029813	-3953380	-3881573	-3881573	-3813680	-3758077	-3701898	-3637066	-3637066	-3590326	-3529930	-3520795	-3397416	-3395950	-3391071	-3267447	-3256457	-3189750	-3189750	-3116013	-3051258	-2982849	-2916332	-2916332	-2850460	-2781815	-2709237	-2645470	-2645470	-2570904	-2488323	-2406051	-2323186	-2320997	-2233828	-2158352	-2108627	-2086668	-2086668	-2003083	-1924856	-1853023	-1771796	-1767579	-1683932	-1605457	-1528588	-1462088	-1462318	-1392299	-1323221	-1283735	-1252117	0	0	0	0	-1124706	0	0	0	0	-954064	-954064	0	0	0	-778785	-778785	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-1978	-1923	-1849	-1849	-1811	-1788	-2112	-2090	-2090	-2067	-2044	-2021	-1998	-1998	-1975	-1952	-1950	-1950	-1950	-1950	-1950	-1950	-1950	-1950	-1950	-1950	-1950	-1950	-1950	-1950	-1939	-1891	-1819	-1819	-1742	-1662	-1775	-1671	-1671	-31548	-36427	-37547	-36161	-36155	-34740	-33380	-32062	-31293	-31293	-29897	-28618	-27345	-26074	0	0	0	0	-21474	0	0	0	0	-16213	-16213	0	0	0	-12631	-12631	0
Lợi thế thương mại	4718	5134	5551	5551	5967	6383	6800	7216	7216	7632	8049	8465	8881	8881	9298	9714	10130	10547	10547	10963	11379	11795	12212	12212	12628	13044	13461	13877	13877	14293	14710	15126	0	15542	15959	16375	16375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
Tài sản dài hạn khác###Other long term assets	126107	132996	135122	135122	84926	97467	88172	89016	89016	85617	67591	52026	53989	53989	54885	55654	56895	59064	59064	60493	64857	57737	69471	57259	70134	62666	48438	92806	58345	85838	94315	90443	101657	108591	73086	74475	71150	79569	79569	6623	6694	9194	10735	10484	12082	13633	14430	16228	16517	27232	677	131	83	836	336	121	19	19	501	435	137	0	270	270	234	194	25	934	934	314
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	4667930	4688800	4538931	4538925	4697856	4691063	4664808	4551217	4551217	4807599	4735600	4831468	4840229	4842482	5030189	5069619	5155284	4741328	4739278	4990083	4954388	5107053	5129660	5147297	5340930	5366734	5362793	5613103	5609955	5593667	5738103	5848449	5784880	5826823	5909801	6016976	5809131	5727615	5726746	5815754	5944637	5953272	6052784	6065217	6192659	6251260	6017349	5715147	5715329	5931924	5715409	5580731	5370015	5369697	5207599	4988082	4635704	4635704	4654966	4090882	3644942	3552588	2341348	2341348	1968611	1844718	1774001	1825106	1825106	1676558
Nợ phải trả ###Liabilities	2636345	2677603	2532293	2532346	2718081	2737985	2760652	2669447	2668490	2975730	2926665	3036195	3038648	3041994	3285875	3289422	3205815	2801703	2799747	3139601	3157041	3384179	3427487	3426032	3724140	3741378	3765601	4141981	4138361	4257949	4482550	4651348	4636147	4647413	4666052	4778895	4632480	4584021	4583530	4731482	4862810	4883118	5017885	5026572	5185966	5236407	4956128	4706842	4785608	4874043	4617709	4396485	4228610	4215618	3952579	3790162	3454354	3454354	3479740	2874374	2467485	2465334	1325160	1312480	944197	843733	780698	856701	857536	773376
Nợ ngắn hạn###Short term Liabilities	2606985	2648454	2503334	2503387	2679541	2699652	2684752	2631473	2630517	2935795	2888085	2638240	2652900	2656246	2921004	2943949	2880466	2726020	2742653	2741361	2759614	2632517	2689124	2687669	2641775	2683907	2416986	2703091	2689250	2748491	2579557	2394527	2391654	2446483	2110833	2276616	1932631	1884172	1883681	1651307	1769020	1720396	1697455	1781545	1635597	1826716	1561708	1496656	1505302	1711847	1468632	1293707	1159956	1146458	539132	531642	518844	518844	489599	407652	363013	486095	322067	309387	254550	276724	309466	389454	390288	413138
Nợ dài hạn###Long term Liabilities	29360	29149	28960	28960	38540	38333	75900	37974	37974	39934	38580	397956	385748	385748	364871	345473	325348	75683	57094	398240	397427	751662	738363	738363	1082365	1057471	1348615	1438890	1449112	1509457	1902993	2256821	2244493	2200931	2555219	2502279	2699849	2699849	2699849	3080175	3093790	3162722	3320430	3245027	3550369	3409691	3394419	3210186	3280306	3162195	3149077	3102778	3068654	3069160	3413447	3258519	2935510	2935510	2990141	2466723	2104471	1979238	1003093	1003093	689648	567008	471232	467247	467247	360237
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	8	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	2031585	2011197	2006638	2006579	1979775	1953078	1904156	1881770	1882727	1831869	1808935	1795273	1801580	1800488	1744314	1780197	1949469	1939625	1939531	1850482	1797347	1722874	1702173	1721264	1616790	1625356	1597193	1471122	1471593	1335719	1255553	1197101	1124853	1153776	1216718	1209432	1176652	1143594	1143216	1084272	1081827	1070154	1034899	1038646	1006693	1014853	1061221	1008305	929721	1057882	1097700	1184246	1141406	1154079	1255020	1197920	1181350	1181350	1175227	1216508	1177458	1087254	1016188	1028868	1024419	1000986	993303	968405	967571	903183
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13153	19461	24152	10054	10054	10235	13701	17393	6771	0	12680	17820	21509	-2626	0	-834	3099
Vốn chủ sở hữu ###Owners equity	2031585	2011197	2006638	2006579	1979775	1953078	1904156	1881770	1882727	1831869	1808935	1795273	1801580	1800488	1744314	1780197	1949469	1939625	1939531	1850482	1797347	1722874	1702173	1721264	1616790	1625356	1597193	1471122	1471593	1335719	1255553	1197101	1124853	1153776	1216718	1209432	1176652	1143594	1143216	1084272	1081827	1070154	1034899	1038646	1006693	1014853	1061221	1008305	929721	1057882	1097700	1184246	1141406	1140926	1235559	1173768	1171296	1171296	1164992	1202807	1160064	1080483	1016188	1016188	1006598	979477	995929	968405	968405	1009898
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24159	24214	22856	23042	23879	25634	27032	28649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5738103	5848449	5784880	5826823	5909801	6016976	5809131	5727615	5726746	5815754	5944637	5953272	6052784	6065217	6192659	6251260	6017349	5715147	5715329	5931924	5715409	5580731	5370015	5369697	5207599	4988617	4868531	4635704	4654966	4090882	3644942	3552587	2341348	2338921	1968616	1844718	1774000	1825106	1830094	1676558



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	1085206	1050946	3826942	992386	919249	991629	923678	3680581	960848	932897	996961	787801	3475367	877761	688186	979820	929600	4280230	1069883	1012972	1123188	1076321	4153080	1242394	978289	1010724	921674	4264332	1254863	1040686	1154875	1004800	3893350	1071992	914083	976885	930441	3747499	1145662	881469	941236	779131	3287091	911658	738254	843538	825859	2720759	772538	675552	667124	605545	2422519	759375	533804	569335	560004	1936157	548659	452438	473436	461614	1547001	465201	335852	404958	347474	1593690	408718	0
