CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	 2011	 2010	 2009
Tài sản ngắn hạn###Current Assets	58939	52060	49490	49490	46045	48806	36835	46946	44850	40567	42986	39777	56983	56425	44577	40449	38684	42848	41320	42135	45213	34660	38245	38421	33799	24119	28111	36363	36829	32270	29600	27903	33659	31651	28813	26116	22066	25422	26685	28345	28810	25662	21647
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	6437	4028	5426	5426	3129	3222	1227	3669	3669	1199	1175	1641	2925	2925	584	1808	373	4613	4613	2464	622	264	2862	2862	452	388	477	3991	3991	682	1049	651	3619	3619	859	986	899	4114	4114	315	831	608	877
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	1200	500	500	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	18731	11464	22168	22168	17466	17821	14121	20540	18680	16585	26927	17624	39827	39291	24841	24017	21673	25123	23810	19445	30993	23584	29969	30476	24974	19323	20610	27991	27390	20621	18136	17408	22755	21155	14755	12946	9024	12162	12150	13954	14783	12581	7580
Hàng tồn kho###Inventory	32527	34454	20697	20697	24250	26512	20198	21524	21300	21239	13648	18994	13009	13009	17825	14080	16066	12611	12397	20152	13597	10812	5414	5083	8373	4408	4239	4324	4293	7477	7443	6708	4840	5110	9832	8342	9062	7172	8604	11431	9833	9017	10765
Tài sản ngắn hạn khác###Other Current Assets	44	914	0	0	0	51	89	13	0	343	35	318	22	0	126	44	72	0	0	74	0	0	0	0	0	0	2785	57	1155	3490	2973	3136	2446	1767	3367	3841	3081	1974	1816	2646	3362	3457	2425
Tài sản dài hạn###Non-current Assets	8999	9377	9646	9646	9128	9501	9867	9378	9390	9587	9988	10005	10134	10157	9623	9955	9465	9711	9711	10593	10908	7903	8212	7915	8240	8558	8931	9661	8804	9144	9422	9853	9216	9613	9406	9506	9699	9774	9774	9701	11245	12529	14079
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	412	688	688	382	382	382	382	880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	8297	8655	8896	8896	8259	8525	8847	8272	8272	8559	8863	8995	8986	8986	8865	8779	7785	8078	8078	8367	8666	5997	6228	6228	6429	6666	6861	7014	7018	7260	7388	8721	8647	8647	8776	9022	9356	8200	9582	9693	9238	10420	11579
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-16497	-16139	-15783	-15783	-16108	-15790	-15469	-15160	-15160	-14874	-14570	-14508	-14188	-14188	-13875	-13569	-13293	-13001	-13001	-12713	-12415	-12139	-11909	-11909	-11678	-11441	-11201	-10957	-10953	-10711	-10454	-10407	-10154	-10154	-9908	-9662	-10380	-10105	-10105	-9828	-8981	-8170	-6708
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-21	-20	-19	-19	-18	-17	-16	-15	-15	-14	-13	-12	-11	-11	-10	-9	-8	-7	-7	-7	-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	950	2000	2500
Tài sản dài hạn khác###Other long term assets	621	640	669	669	787	894	938	1024	1037	946	1043	928	968	990	578	602	681	701	701	603	399	286	365	373	498	578	757	836	856	953	1103	1132	569	966	629	484	343	192	192	0	23	109	0
