CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	 2015	Q4 2015	 2014	Q4 2014	 2013	Q4 2013	 2012	 2011
Các khoản giảm trừ doanh thu###Deduction revenues	6219	69855	19473	20362	16566	14744	77484	27159	29601	16150	4563	39932	16235	16196	7185	317	35575	21911	29375	8788	15059	6796	32643	15278	2587119	2453182	2157540
Doanh thu thuần###Net Sales	773774	9335205	2768953	2674683	2432301	1564097	9100267	2533254	2440512	2912064	1425576	9801760	2596982	2977335	2950964	1274823	9996274	3722401	3574514	2770195	9638446	3066061	3356487	9172584	6446569	6466123	6069972
Giá vốn hàng bán###Cost of goods sold	625352	6878041	2105296	1885931	1768065	1230184	6852694	1975895	1826921	2213339	1042930	7234212	1961663	2179223	2178940	907946	7209064	2926976	2617826	2016039	7020511	2497808	2419496	6814526	3895037	4021930	3817554
Lợi nhuận gộp###Gross profit	148422	2457164	663657	788753	664236	333912	2247573	557359	613592	698725	382646	2567548	635319	798112	772024	366878	2787210	795424	956688	754156	2617935	568253	936991	2358057	2551532	2444193	2252419
Doanh thu hoạt động tài chính###Financial activities Revenues	29236	149853	38354	54009	43381	36051	140195	41396	34237	33884	29263	134982	38998	35571	30853	29788	145839	22466	29560	45898	168784	45621	25303	224329	86709	57021	70167
Chi phí tài chính###Financial Expenses	6283	31272	7366	6639	8292	8638	46399	9793	10066	12594	13292	69948	15591	18696	17964	17607	74578	19656	22324	19207	82108	21313	17369	103207	100056	121028	157985
Chi phí bán hàng###Selling Expenses	184540	1439147	372788	576014	310067	189744	1344299	469056	312889	352889	200144	1262191	383960	303222	364054	205870	1186034	422929	315862	319806	1162132	491764	264742	970404	913608	842632	860048
Chi phí quản lý doanh nghiệp###Managing Expenses	81245	503118	179011	117372	117285	77869	429927	121727	92792	113134	80826	471586	104881	112974	149050	87654	506090	172520	112815	152127	407745	127068	119774	372842	401027	350393	283367
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-95613	650534	152213	148012	271645	96544	611305	9451	238494	261326	136793	902291	150296	409905	272499	96811	1193757	202785	535246	318868	1170576	-17611	569286	1162863	1223549	1166339	1003129
Thu nhập khác###Other incomes	8088	37040	-47553	64628	16753	5635	45373	16042	7845	13363	7972	91549	20903	21799	7498	42975	60412	14192	9636	7886	54818	19538	20660	70358	59604	190300	31441
Chi phí khác###Other Expenses	8862	18050	2132	6168	6149	4642	30226	10612	7438	5094	1465	124374	8241	32455	5195	4182	188041	187294	7150	3481	18420	47049	3310	45809	34242	18544	11467
Lợi nhuận khác###Other profits	-774	18990	-49685	58459	10604	993	15147	5430	407	8270	6506	-32824	12662	-10655	2304	38793	-127630	-173102	2487	4405	36398	-27511	17350	24549	25362	171757	19974
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-96387	669523	102527	206471	282249	97537	626452	14880	238901	269595	143300	869467	162958	399250	274803	135604	1066128	36470	544003	323273	1206974	-45123	586636	1187412	1256533	1338095	1023103
Chi phí thuế TNDN###Corporate Income Tax Expenses	1945	146396	35301	37083	41392	33772	142120	4983	55204	54861	33036	211416	39541	81730	60020	37202	262162	52249	107843	60964	255428	4954	118305	293324	425727	356663	229986
Chi phí thuế TNDN###Corporate Income Tax Expenses	76	147050	43036	38595	32873	32660	166068	13627	80397	52340	25087	199355	39443	83291	54982	28715	245449	55361	110662	62929	263532	2489	120758	292321	431183	367426	240877
Chi phí thuế TNDN###Corporate Income Tax Expenses	1869	-655	-7734	-1513	8518	1113	-23948	-8644	-25193	2521	7949	12061	98	-1561	5038	8487	16713	-3112	-2819	-1965	-8104	2465	-2454	1004	-5456	-10763	-10890
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-124906	506116	56404	190018	244567	29258	469672	-821	187596	214735	89155	755114	120282	336197	226362	73988	817242	-15780	436160	262308	1015922	-50077	468332	956412	830805	981433	793117
---Cac Chi So Tai Chinh---																											
EBITDA	0.70	0.31	0.31	0.36	0.59	0.54	0.68	0.68	1.13	1.00	1.42	1.96	1.96	0.93	1.58	2.16	9.64	9.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	44.95	75.60	75.60	73.80	87.34	75.39	74.47	74.47	79.07	84.12	119.06	117.31	117.31	114.65	70.40	73.20	113.27	113.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
