CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008	 2007	 2006
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-40	-40	-40	-40	-40	-40	-40	-40	-40	-40	-40	-40	-40	-40	-38	-36	-34	-32	-32	-30	-28	-26	-24	-24	-22	-20	-18	-16	-16	-14	-12	-10	-8	-8	-6	-4	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	32256	32257	32243	31267	31267	33383	33955	12758	12707	12695	12695	12674	12674	12711	17340	17340	17373	17319	17333	17252	20244	22153	22061	22061	21744	21744	21614	21414	21414	21586	30086	23911	24451	24451	25361	25361	25361	25361	25361	25917	25917	25917	25917	25917	25377	25377	25377	23951	24837	24610	25127	15150	15150	15377	15377	14929	12634	9834
Tài sản dài hạn khác###Other long term assets	1224	1353	1529	1546	1245	1178	1745	1067	2313	2356	1320	1987	1856	1856	1963	2494	1665	3172	3172	3038	2975	1283	1126	1403	764	883	253	203	203	191	164	218	192	194	212	281	3	3	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	989	989	1	31	24
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	234540	246973	254866	256684	257975	259301	262662	244580	244586	252507	238879	239974	238680	238453	246972	238461	232282	230857	230760	220991	208777	199475	198494	198281	131751	117697	111250	115820	116010	104942	108837	101453	101215	103552	102355	98517	103239	107784	107777	105346	106374	105155	106451	105941	107197	125605	114925	131914	124768	139398	116164	108262	108952	109246	116000	145268	164622	64325
Nợ phải trả ###Liabilities	55843	63095	63424	65293	69140	73475	70306	56541	56605	68028	55928	59071	60521	60405	77019	71339	56516	51870	51859	46630	43400	41120	43670	43365	44567	31358	29430	37479	37588	30141	34594	27642	27871	30415	30692	27625	31412	36340	36381	34007	36442	34807	36177	35695	38994	58183	48234	62447	54424	67739	62373	53299	54032	54316	61849	92765	145973	51219
Nợ ngắn hạn###Short term Liabilities	55843	63095	63424	65293	69140	73475	70306	56541	56605	68028	55773	58242	59692	59575	74922	69725	51868	49121	46560	41097	40590	39510	42060	40579	41571	30742	27270	36863	36546	30051	34504	27552	27781	30235	30489	27400	31142	36340	36381	33946	32792	31009	32378	35547	38887	58076	48127	62331	54325	67303	61934	52796	53529	53442	61133	91072	108006	43505
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	0	0	0	0	0	156	829	829	829	2098	1614	4648	2749	5299	5533	2810	1610	1610	2786	2996	616	2159	616	1042	90	90	90	90	180	202	225	270	0	0	60	3650	3798	3798	148	108	108	108	116	99	436	439	503	503	874	716	1693	37967	7714
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	178697	183878	191442	191391	188835	185825	192356	188040	187980	184479	182951	180903	178159	178049	169953	167122	175767	178987	178901	174361	165377	158355	154824	154916	87184	86339	81820	78341	78421	74801	74242	73811	73344	73137	71663	70893	71827	71443	71396	71339	69932	70347	70274	70246	68203	67422	66691	69467	70344	71305	53791	54499	54452	54931	54151	51851	18649	13106
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-15	-12	73	0	0
Vốn chủ sở hữu ###Owners equity	178697	183878	191442	191391	188835	185825	192356	188040	187980	184479	182951	180903	178159	178049	169953	167122	175767	178987	178901	174361	165377	158355	154824	154916	87184	86339	81820	78341	78421	74801	74242	73811	73344	73137	71663	70893	71827	71443	71396	71339	69932	70347	70274	70246	68203	67422	66691	69467	70344	71305	53791	54499	54452	54946	54163	51779	18649	13106
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	353	0	463	467	0	0	652	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108837	101453	101215	103552	102355	98517	103239	107784	107777	105346	106374	105155	106451	105941	107197	0	0	131914	125982	139398	116769	108262	108952	109246	0	145268	164622	64325



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008	 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	21240	30611	157119	33196	41296	35115	47512	180668	47807	46812	38184	47866	195217	45202	56377	46391	47246	182772	48349	54175	41887	38295	135066	38130	35044	29984	31908	108761	27421	32251	26278	22811	83371	22594	22630	17864	20452	77602	23585	24088	18337	15470	91284	19053	23852	19949	32903	66391	19992	18891	12498	10735	121063	26136	19845	159479	122943	65824
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	145	0	211	0	211	0	0	24	0	1	7	16	144	35	34	28	47	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2914	0	0	0	0
Doanh thu thuần###Net Sales	21240	30611	157114	33191	41296	35115	47512	180668	47807	46812	38184	47866	195217	45202	56377	46391	47246	182627	48349	54175	41742	38295	134855	38130	34833	29984	31908	108737	27421	32250	26271	22795	83227	22559	22597	17837	20406	77554	23585	24088	18337	15470	91284	19053	23852	0	32903	66391	19992	18891	12498	10735	121063	23222	19845	159479	122943	65824
Giá vốn hàng bán###Cost of goods sold	20015	25741	131153	25817	34803	30161	40399	149897	39157	38523	33012	39199	160131	38937	46864	38740	35577	145511	39473	42299	34652	29246	106406	30523	29491	22917	23464	88435	22769	26665	20644	18336	68009	18108	19284	14314	16518	68569	19931	22627	16047	13132	83358	13986	21702	0	34011	59838	18791	16784	10935	8691	108127	21106	16558	138540	104795	57551
Lợi nhuận gộp###Gross profit	1226	4870	25960	7374	6493	4954	7113	30771	8650	8289	5172	8667	35086	6265	9513	7651	11669	37116	8876	11877	7090	9049	28450	7608	5341	7067	8444	20302	4652	5585	5626	4459	15219	4451	3313	3523	3888	8985	3654	1461	2290	2338	7926	5066	2150	0	-1108	6554	1201	2108	1562	2044	12935	2115	3287	20939	18147	8273
Doanh thu hoạt động tài chính###Financial activities Revenues	410	8	7041	235	1544	1601	3594	2005	355	17	1485	72	8724	8164	52	378	55	14564	2762	4804	6709	124	5247	3387	4	1622	172	4906	3430	12	78	1368	2400	1909	179	184	21	4368	3577	168	262	535	1973	499	607	0	102	1356	460	307	338	258	1340	337	154	1572	258	59
Chi phí tài chính###Financial Expenses	426	531	2193	444	449	598	568	1951	428	630	451	421	2099	648	530	526	355	1313	281	381	521	86	1292	668	315	96	135	284	178	57	33	6	590	377	19	62	30	4489	4407	0	33	64	1762	226	412	0	337	2009	444	604	490	487	2142	500	336	9136	4907	1413
Chi phí bán hàng###Selling Expenses	104	161	638	127	140	154	217	928	243	235	201	249	1127	271	363	224	269	1128	253	247	331	297	1499	374	337	462	326	2026	434	448	556	588	1453	489	286	193	485	1693	530	213	665	434	1775	594	447	0	410	2027	429	474	505	624	2879	253	1008	4192	2109	1373
Chi phí quản lý doanh nghiệp###Managing Expenses	1747	4312	15700	3822	3809	3502	4567	15957	3905	3605	3774	4673	20869	4063	5171	5937	5706	19719	6249	4936	4083	4259	14749	4352	3751	3313	3320	17526	3996	4379	4380	4829	14788	4719	2637	4368	2867	10327	2584	3002	2829	1783	7117	3034	1117	0	1144	4702	778	1037	1165	1130	4532	1249	1298	5589	3210	3050
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-640	-126	14470	3217	3639	2301	5355	13941	4429	3838	2230	3395	19715	9447	3502	1343	5394	29521	4855	11117	8864	4531	16156	5602	944	4818	4834	5373	3474	713	736	405	789	774	551	-914	526	-3157	-289	-1587	-975	594	-755	1711	780	71	-2897	-828	10	300	-259	60	4723	450	799	3594	8180	2496
Thu nhập khác###Other incomes	11	165	406	15	127	135	58	976	1621	437	19	63	821	347	80	19	252	669	862	188	333	11	1161	147	539	675	276	364	279	19	4	62	1744	652	493	144	5	12366	390	7310	3299	420	1776	678	1	0	1	1325	981	6	1	0	913	831	0	27089	161	3270
Chi phí khác###Other Expenses	0	20	80	42	4	3	30	1868	1734	1293	0	43	853	91	44	52	660	175	700	75	21	40	309	220	399	160	5	285	269	16	0	0	617	162	63	297	0	7046	44	3322	2739	941	378	340	0	0	9	1387	970	10	91	0	2448	818	40	25901	309	1
Lợi nhuận khác###Other profits	11	146	327	-27	123	132	28	-892	-113	-856	19	20	-32	256	36	-33	-407	494	162	113	313	-29	852	-73	140	515	271	80	11	3	4	62	1126	490	430	-153	5	5320	346	3988	560	-521	1398	339	1	0	-8	-62	11	-3	-91	0	-1535	13	-40	1187	-148	3268
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-630	20	14797	3189	3762	2432	5383	13050	4316	2982	2249	3415	19683	9703	3538	1310	4986	30014	5017	11230	9177	4502	17009	5528	1083	5333	5105	5452	3485	716	740	467	1915	1264	981	-1067	531	2164	57	2402	-415	73	643	2050	781	671	-2905	-890	21	296	-350	60	4113	462	758	5051	8032	5764
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	4	2751	633	752	320	1067	2313	815	598	201	671	3604	1607	708	256	997	5134	476	2246	1438	971	2682	483	238	814	1096	147	22	158	0	0	0	0	210	0	0	994	0	0	0	0	0	7	0	0	0	0	5	91	-17	17	813	116	0	1335	1162	807
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	4	2751	633	752	320	1067	2313	815	598	201	671	3604	1607	708	256	997	5134	476	2246	1438	971	2682	483	238	814	1096	147	22	158	0	0	0	0	210	-133	133	994	0	994	0	0	0	7	0	0	0	0	5	91	0	17	813	116	190	1335	1162	807
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-630	16	12046	2556	3009	2113	4316	10736	3501	2384	2048	2745	16079	8096	2830	1053	3989	24880	4540	8984	7738	3531	14327	5045	845	4519	4009	5306	3463	558	740	467	1915	1264	771	-935	398	1169	57	1407	-415	73	643	2043	781	671	-2905	-890	16	205	-350	43	3299	347	569	3717	6869	4957
---Cac Chi So Tai Chinh---																																																										
EBITDA	0.61	0.74	0.41	0.41	0.47	0.27	0.06	-0.03	-0.03	-0.05	-0.05	0.02	0.08	0.08	0.15	0.37	0.62	1.23	1.23	1.48	1.23	1.13	0.95	0.95	0.75	0.66	0.77	0.86	0.86	1.04	0.92	0.75	0.44	0.44	0.39	0.55	0.74	0.66	0.66	0.75	1.07	1.19	1.70	1.70	2.08	1.93	2.39	1.70	1.70	1.19	0.85	-1.43	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	5.00	4.90	5.39	5.39	5.30	6.12	5.41	6.26	6.26	6.17	6.28	6.52	6.60	6.60	6.20	6.88	6.65	6.37	6.37	7.73	7.87	7.61	6.89	6.89	6.69	7.23	8.30	6.87	6.87	4.30	3.64	4.24	2.99	2.99	2.35	2.13	2.08	1.87	1.87	1.76	2.19	2.19	2.03	2.03	2.35	2.51	4.48	6.45	6.45	7.73	11.69	9.15	5.83	5.83	0.00	0.00	0.00	0.00
