CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	 2016	 2015	 2014
Tài sản ngắn hạn###Current Assets	24056048	17845168	22987033	23001179	23278905	23187175	16272325	16407546	16406182	16789379	17299126	11418384	10987002	8273707	5320990	4540600
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	317476	348556	5576441	5576793	680705	2225461	523211	341531	342339	3495244	4703816	3352931	2488042	3798608	1029862	1242702
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	14353700	12749554	11264866	11265224	14253503	10150914	10342141	9649923	9649923	5240619	2692060	2496360	2152017	304074	482000	74858
Các khoản phải thu ngắn hạn###Short term Account Receivables	7617567	2885416	4186124	4179810	6247104	8640848	2980504	4010621	4013730	4703891	6481212	1832528	2610008	1688275	1668560	1304393
Hàng tồn kho###Inventory	1653385	1730442	1825858	1847897	1984329	2060523	2199744	2305796	2302319	3150161	3212140	3500311	3503002	2371798	2023680	1802145
Tài sản ngắn hạn khác###Other Current Assets	113920	131200	133745	131456	113263	109428	226726	99675	97872	199465	209898	236255	233933	110951	116888	116502
Tài sản dài hạn###Non-current Assets	6052676	11398858	10301987	10299913	7765214	6123033	11133581	9998435	10004942	7986109	7700987	11431767	12373899	12102297	11751925	11075668
Các khoản phải thu dài hạn###Long term Account Receivable	12183	12473	12158	4953	15434	22402	150790	156564	156472	189143	183184	131016	116518	116041	164112	143733
Tài sản cố định ###Fixed assets	2207208	2280839	2153246	2151679	2191438	2265048	2271759	2347137	2347104	2335328	2274955	2316377	2333040	2390118	2284257	2086254
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-2930886	-2849445	-2774999	-2775057	-2698501	-2620633	-2524495	-2440563	-2440941	-2361809	-2283531	-2209100	-2132784	-1840597	-1661224	-1375069
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-39697	-39168	-38581	-38577	-37876	-37178	-34804	-34175	-34175	-33614	-33117	-32680	-32016	-27334	-24973	-23495
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	39264	39624	39624	40016	40428	40883	41368	43588	44303	36704
