CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-53	-53	-53	-53	-53	-53	-53	-53	-53	-53	-53	-53	-53	-53	-53	-53	-53	-53	-53	-53	-53	-53	-53	-53	-53	-53	-53	-53	-53	-53	-53	-53	-53	-53	-53	-53	-46	-36	-25
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	180968	182152	183336	183336	184520	185704	186888	188071	188071	189255	190439	191623	192807	192807	193990	195174	196358	197542	197542	198726	199909	201093	202277	202277	203461	204645	205829	207012	207012	208196	209380	210564	211748	211748	212931	216483	221218	225693	130605
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10530	10530	10530
Tài sản dài hạn khác###Other long term assets	2102	1488	1192	813	651	397	449	590	590	759	925	989	1171	1171	1108	1288	1207	1344	1344	1449	774	384	430	430	309	246	171	215	215	242	252	334	439	439	339	68	0	11	151
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	780246	778767	779661	779282	788231	794846	794150	798631	798631	788351	804816	804118	806081	806079	803908	795579	811053	819119	818506	807385	816409	818401	851889	851889	816524	816840	813297	812507	811711	805183	806190	810319	813920	813448	813065	816684	832239	807904	699535
Nợ phải trả ###Liabilities	218744	217405	218469	218469	227602	233531	233270	237768	237768	227767	244380	243881	245949	245949	243926	235701	251276	259336	258722	248189	257439	260869	293074	292168	256473	255259	253792	251333	250537	244219	245427	249879	253951	254301	255807	254772	259464	258402	149196
Nợ ngắn hạn###Short term Liabilities	15785	13349	13316	13316	21166	26420	25079	28498	28498	17417	32952	31374	32362	32362	29260	19956	34452	41433	40819	29207	37378	39728	70854	69948	33173	25677	16130	19592	14148	6498	11529	12569	17894	17425	12556	13800	14230	36278	149194
Nợ dài hạn###Long term Liabilities	202959	204056	205153	205153	206436	207112	208191	209270	209270	210349	211428	212508	213587	213587	214666	215745	216824	217903	217903	218983	220062	221141	222220	222220	223299	229582	237662	231740	236389	237722	233899	237310	236057	236877	243251	240971	245234	222125	2
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	561502	561362	561191	560812	560629	561315	560880	560864	560864	560584	560436	560237	560133	560130	559983	559878	559777	559783	559783	559195	558970	557532	558814	559721	560051	561581	559505	561174	561174	560964	560763	560440	559969	559147	557258	561913	572775	549502	550339
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	561502	561362	561191	560812	560629	561315	560880	560864	560864	560584	560436	560237	560133	560130	559983	559878	559777	559783	559783	559195	558970	557532	558814	559721	560051	561581	559505	561174	561174	560964	560763	560440	559969	559147	557258	561913	572775	549502	550339
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	 2012	 2011	 2010	 2009
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	25728	28713	181403	30928	46306	51920	52249	198883	68940	57053	48428	24461	124079	53574	33741	25729	11034	160197	54394	21805	57785	26212	200778	127655	19170	47812	6140	56119	16905	11423	24575	3215	58427	28154	8479	28427	291429	15002	550
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	25728	28713	181403	30928	46306	51920	52249	198883	68940	57053	48428	24461	124079	53574	33741	25729	11034	160197	54394	21805	57785	26212	200778	127655	19170	47812	6140	56119	16905	11423	24575	3215	58427	28154	8479	28427	291429	15002	550
Giá vốn hàng bán###Cost of goods sold	24556	27557	177062	29860	46209	50897	50096	191287	64333	55941	47523	23490	120579	51717	32457	26214	10191	150492	50647	19668	55490	24687	189022	121942	18091	43628	5361	50583	14829	10344	22578	2832	55944	27021	7949	24704	283974	14311	473
Lợi nhuận gộp###Gross profit	1172	1157	4341	1069	97	1022	2153	7596	4607	1112	905	971	3500	1857	1284	-485	842	9705	3747	2137	2296	1525	11756	5713	1080	4185	779	5536	2076	1079	1997	383	2483	1132	530	3723	7455	691	77
Doanh thu hoạt động tài chính###Financial activities Revenues	6040	6174	24690	5865	6200	6399	6226	26019	6298	6368	6748	6607	27063	6735	6989	6684	6658	26139	6661	6581	6318	6580	27025	6556	6159	7290	7465	33250	7922	7681	8663	9156	40349	9411	9692	59900	70050	57749	42069
Chi phí tài chính###Financial Expenses	0	0	17	17	1	-10	10	37	1	16	15	6	251	250	0	-1	4	188	10	132	0	46	104	100	449	0	0	0	0	171	0	0	2	1	1	10536	8512	0	0
Chi phí bán hàng###Selling Expenses	353	499	2494	623	623	623	623	2494	623	623	623	623	2522	623	652	623	623	2491	623	623	622	622	2007	574	478	478	478	1911	478	478	478	478	1911	478	477	1968	1349	837	0
Chi phí quản lý doanh nghiệp###Managing Expenses	6426	6226	26283	5840	6708	6363	7371	27829	9559	6391	5317	6561	27175	8329	7180	5253	6413	32222	9020	8424	6280	8498	33538	9213	7606	8719	9169	34675	9094	7688	9638	8255	28740	6201	7605	40329	33494	24301	18643
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	434	606	239	454	-1035	445	374	3256	721	450	1697	388	616	-611	441	323	460	943	754	-461	1711	-1061	3131	2382	-1295	2278	-1403	2200	427	423	544	806	12179	3863	2141	10790	34150	33303	23503
Thu nhập khác###Other incomes	4	3	1393	204	968	211	10	-76	0	-79	0	3	1032	979	0	1	52	1584	60	1474	-14	0	190	0	68	20	101	8	5	0	0	3	133	16	0	74	2406	0	700
Chi phí khác###Other Expenses	35	216	331	253	19	0	59	470	0	1	455	15	305	-1	114	2	190	608	4	503	37	0	2276	118	82	0	0	0	0	0	0	0	9603	889	0	128	2900	0	0
Lợi nhuận khác###Other profits	-31	-213	1062	-49	949	211	-50	-546	0	-79	-455	-12	727	980	-114	-1	-138	976	56	971	-51	0	-2086	-118	-14	20	101	8	5	0	0	3	-9469	-874	0	-55	-494	0	700
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	403	393	1301	405	-85	657	324	2710	721	370	1243	376	1343	370	327	322	322	1919	810	510	1660	-1060	1045	2264	-1309	2298	-1302	2208	432	423	544	809	2710	2989	2141	10735	33656	33303	24203
Chi phí thuế TNDN###Corporate Income Tax Expenses	222	222	887	222	222	222	222	1929	442	222	1043	222	887	222	222	222	222	950	222	284	222	222	900	234	222	222	222	887	222	222	222	222	1654	1100	547	3839	8659	8187	4000
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	1041	220	0	822	0	0	0	0	0	0	62	0	62	0	0	12	12	0	0	0	0	0	0	0	0	1364	823	270	2730	7550	7416	4000
Chi phí thuế TNDN###Corporate Income Tax Expenses	222	222	887	222	222	222	222	887	222	222	222	222	887	222	222	222	222	887	222	222	222	222	887	222	222	222	222	887	222	222	222	222	289	277	277	1109	1109	771	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	181	171	413	183	-307	435	102	781	279	148	199	155	456	148	105	101	100	969	588	226	1438	-1282	145	2030	-1530	2076	-1523	1321	210	201	323	587	1056	1889	1593	6896	24997	25115	20203
---Cac Chi So Tai Chinh---																																							
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	5.80	2.80	3.30	3.30	3.10	3.00	3.30	3.30	3.30	3.50	3.60	3.70	6.00	6.00	5.00	6.50	4.60	3.80	3.80	3.20	3.60	5.20	4.90	4.90	6.40	8.80	5.60	5.80	5.80	6.20	4.10	4.90	3.60	3.60	2.70	3.00	2.89	7.76	0.00
