CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006	 2005
Tài sản ngắn hạn###Current Assets	171806	193415	180283	180283	151132	166608	163989	161085	161085	181944	172220	206773	204008	187448	224138	268109	173969	182729	183961	202870	220638	190337	189079	201404	172228	176002	154470	158142	158690	180730	188913	178118	127021	134185	146219	145691	133530	123354	125447	134417	176463	180889	107946	108035	159762	173244	122166	103474	103774	89615	116484	117556	84600	84627	69166	83189	46976	46283	47495	62035	82008	85623	48507	48560	39880	0
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	24748	9132	36402	36402	10200	23085	13423	25317	25317	16043	6608	36137	17326	17326	2497	16607	14233	22878	19878	7501	9918	40941	25674	25674	3817	9603	38069	46286	46286	38825	37333	54269	44241	44239	41783	38831	43523	49762	49762	12641	13342	4916	23160	23205	642	8016	25435	51080	51080	4467	4725	4553	42235	11199	12483	4133	9052	4375	4375	3214	5791	6847	14185	14185	7275	0
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	64	64	44	44	33	227	227	189	189	152	152	152	213	213	269	269	269	14186	199	176	176	176	176	176	176	176	176	377	440	200	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	18178	16693	36465	36465	18456	31737	44515	43514	43514	34157	35621	41099	54363	69096	54827	42419	65503	58481	60808	41905	80190	62369	74369	86365	26963	37520	29780	26210	27265	29302	29889	34477	30094	38484	24580	45740	9153	17899	19992	24233	29318	19924	20905	20869	40405	17314	13927	13944	14270	19519	18445	13062	15141	15141	9581	14056	6657	7802	14407	12903	12061	9842	8158	11774	5809	0
Hàng tồn kho###Inventory	126114	165030	105367	105367	119916	110156	104311	90543	90543	129180	127390	128155	131066	99778	165060	207465	92593	100490	101445	148950	127962	85856	88678	88785	139323	127841	86081	84046	84046	110450	118703	86027	50514	50146	76997	59749	78411	55208	55208	96538	132612	152287	63316	63396	115778	146525	79308	37938	37912	51027	92137	96821	26798	26825	41582	59059	30652	28710	28537	45539	63704	66205	22592	22601	26469	0
Tài sản ngắn hạn khác###Other Current Assets	2766	2559	2050	2050	2560	1629	1740	1710	1710	2564	2602	1382	1254	1249	1754	1618	1640	880	1830	4513	2567	1171	357	580	2124	1038	540	1600	1093	2154	2989	3280	2108	1252	2814	1326	2411	258	258	816	1002	3611	414	414	2724	1176	3228	243	243	416	979	2944	250	31286	5344	5765	439	5221	0	3	12	2529	3572	0	327	0
Tài sản dài hạn###Non-current Assets	72306	70950	71135	71135	69477	65499	64103	56654	56654	57309	55867	56541	56654	56664	53846	54281	47391	47231	48334	45268	41746	30098	24027	23459	23455	22233	22959	23536	22829	23740	23892	13233	14360	12728	15316	14923	15287	16164	16117	15895	15959	15553	16409	16390	14681	14822	14907	15745	15665	12991	13949	8996	9306	9306	7632	7620	7161	8035	7985	7566	8478	5914	6409	6409	8453	0
Các khoản phải thu dài hạn###Long term Account Receivable	60	180	60	60	180	182	182	62	62	17	153	183	183	183	183	182	182	182	190	190	182	182	167	167	136	279	0	0	0	0	0	0	0	179	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	50849	50127	37359	37359	38391	39787	40307	39109	39109	39206	39489	40409	41811	46354	44556	41544	39836	40386	39707	38436	36815	20442	18786	18786	20144	20801	22083	22593	22674	21844	21950	11260	12348	12277	13264	12834	13340	14235	14235	14125	14220	13998	14896	14896	13721	13917	14061	14967	14887	12222	13245	8352	8722	8722	7098	7156	6757	7686	7636	7263	8238	5786	6409	6409	8442	0
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-66951	-69185	-67472	-67472	-65339	-63499	-62216	-61487	-61487	-59301	-59287	-57916	-56141	-55457	-53964	-53438	-51246	-50161	-50161	-49466	-47691	-46257	-45521	-45564	-44138	-42881	-41068	-40350	-40371	-39310	-37776	-36663	-35575	-24306	-23253	-33885	-33815	-32807	-32807	-31837	-30962	-30109	-28936	-29048	-28850	-27881	-26737	-25649	-25649	-26350	-25524	0	-22842	0	0	-21088	0	-19144	0	0	0	0	-15359	0	-11737	0
