CAN DOI KE TOAN	 2019	 2018	 2017	 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006	 2005
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-491	0	550	550	1041	1044	1044	1044	1044	3	38	38	38	38	0
Tài sản dài hạn khác###Other long term assets	0	0	0	114	1005	1301	1301	1796	2151	2178	2497	2497	2349	2310	2661	2831	2831	3218	4418	6184	4752	5211	5195	4622	4861	6070	6070	3851	3836	3392	4200	4200	3156	3447	2918	2733	2722	2394	2228	2600	2934	2934	2156	1829	1399	467	467	443	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	315412	350520	411537	493438	558160	573233	578491	571025	586226	623890	644273	661687	651411	667845	664802	654293	655637	618544	665392	677604	692055	692966	698824	668120	708735	730333	745215	730489	713747	652749	619512	628470	517544	517011	521365	521023	521305	517180	485194	488470	499653	509386	508217	498855	407773	434377	434350	331154	0
Nợ phải trả ###Liabilities	526001	551851	552718	555681	548603	558834	559051	552284	560442	561847	577755	575409	571546	583706	573355	563486	563451	527059	569233	580539	589894	587879	597360	568282	610691	624400	638251	627805	615303	558403	519235	527607	424878	426702	435645	426526	420764	431177	402796	407926	412931	422103	424999	420095	333759	357308	355852	300799	0
Nợ ngắn hạn###Short term Liabilities	525092	550942	534473	390765	436777	452010	425970	414664	388361	491689	507598	573710	568790	580950	568519	558650	558615	519308	561397	570432	579872	577892	582036	552935	592115	605719	619261	597590	594966	508927	499136	513509	407527	409586	425541	410189	409635	422189	393340	398060	401709	410880	412657	405873	317437	338961	337506	294704	0
Nợ dài hạn###Long term Liabilities	909	909	18245	164916	111827	106824	133080	137620	172081	70157	70157	1699	2756	2756	4836	4836	4836	7751	7836	10108	10022	9987	15324	15347	18577	18681	18991	30215	20337	49476	20099	14098	17351	17116	10104	16337	11129	8989	9457	9866	11222	11222	12343	14222	16322	18346	18346	6095	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	8	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	-210589	-201331	-141181	-62243	9557	14400	19440	18741	25784	62043	66518	86278	79865	84139	91447	90806	92186	91485	91507	90520	95634	97650	94196	91974	90754	105933	100174	96246	91148	88580	100278	93106	87940	86017	82457	91237	100541	86003	82398	80544	86722	87283	83218	78760	74014	77070	78498	30354	0
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5015	5287	5453	5747	3674	3674	4168	3892	4299	0	1433	0	0
Vốn chủ sở hữu ###Owners equity	-210589	-201331	-141181	-62243	9557	14400	19440	18741	25784	62043	66518	86278	79865	84139	91447	90806	92186	91485	91507	90520	95634	97650	94196	91974	90754	105933	100174	96246	91148	88580	100278	93106	87940	86017	82457	91237	95526	80716	76945	74798	83048	83609	79050	74868	69714	77070	77065	30354	0
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4651	6545	6527	7436	7268	7864	7290	7987	6789	6438	7296	5766	6879	7758	4726	4292	3264	3260	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	667845	664802	654293	655637	618544	665392	677604	692055	692966	698824	668120	708735	730333	745215	730489	0	652749	619512	628470	517544	517011	521365	521023	521305	517180	481912	488470	499653	509386	508217	498855	407773	434377	434377	331154	0



KET QUA KINH DOANH	 2019	 2018	 2017	 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	4288	16133	14390	122892	21025	174098	59913	41362	45032	27790	293281	137175	41547	56065	58506	418748	157541	57642	93259	110306	626624	183064	120037	162931	162243	823632	284994	150695	285003	96940	561201	255110	80029	150567	80873	559327	198434	129523	141031	84677	501787	192821	106120	145102	48822	336045	178439	322750	0
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	0	0	379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	4288	16133	14390	122892	21025	174098	59913	41362	45032	27790	293281	137175	41547	56065	58506	418369	157541	57642	92879	110306	626624	183064	120037	162931	162243	823632	284994	150695	285003	96940	561201	255110	80029	150567	80873	559327	198434	129523	141031	84677	501787	192821	106120	145102	48822	336045	178439	322750	240362
Giá vốn hàng bán###Cost of goods sold	5984	29604	54990	156408	18268	184547	48925	40292	64907	25143	248409	112984	37905	48563	47794	372778	141093	51319	77394	102605	565455	165501	104511	144948	148567	747138	264594	137420	268667	87934	522664	237871	74376	141048	74478	516249	181884	120371	133855	77485	467621	182085	98728	132947	41589	315049	172387	305844	0
Lợi nhuận gộp###Gross profit	-1696	-13470	-40600	-33517	2756	-10449	10988	1070	-19875	2648	44872	24191	3642	7502	10712	45591	16448	6323	15485	7702	61169	17563	15526	17984	13676	76494	20400	13275	16336	9007	38538	17239	5654	9519	6394	43078	16550	9152	7176	7192	34166	10736	7391	12155	7233	20996	6053	16907	0
Doanh thu hoạt động tài chính###Financial activities Revenues	182	1	89	29	2	23	1	7	9	6	59	6	8	13	32	1791	16	1654	51	69	729	258	56	273	143	910	154	726	183	225	670	147	407	138	208	830	1619	738	436	99	663	76	321	132	133	10132	8065	7400	0
Chi phí tài chính###Financial Expenses	2503	30049	32010	36307	6007	41602	11920	8704	13742	7366	47694	11734	6094	7925	7236	34088	9488	5926	12865	5809	35919	7732	8779	10504	8905	38056	5646	4703	6890	3259	8714	2905	275	2751	2783	8979	2395	2371	2964	2868	9850	2578	2399	4540	3589	10875	3384	11476	0
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	2566	4492	4652	7530	1825	7016	1501	806	2732	2087	17442	5984	1977	2818	2686	13928	6015	1087	4543	811	18998	8214	2896	5908	4216	24823	10970	4147	6135	3027	13123	4146	3137	3182	2512	12126	4138	3535	2287	1680	9051	3124	1751	1927	1760	7524	3321	5418	0
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-6583	-48010	-77173	-77325	-5074	-59044	-2432	-8433	-36340	-6799	-20205	6479	-4420	-3228	822	-635	961	964	-1871	1151	6981	1874	3907	1845	698	14524	3938	5152	3494	2946	17370	10335	2648	3723	1307	22803	11635	3984	2361	2743	15929	5110	3563	5821	2017	12729	7413	7412	2179
Thu nhập khác###Other incomes	1202	5603	1287	696	285	4669	3272	1389	80	68	810	36	20	753	0	3628	5	629	2994	0	2679	2071	20	538	50	3959	1868	1	2079	12	1543	211	3	369	960	98	65	0	26	6	1545	191	969	172	214	2001	190	175	0
Chi phí khác###Other Expenses	3876	17744	3040	14	54	0	140	0	0	0	96	5	76	14	0	346	13	0	332	0	825	0	0	0	0	456	66	0	17	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Lợi nhuận khác###Other profits	-2674	-12140	-1753	682	231	4669	3132	1389	80	68	714	31	-56	739	0	3283	-8	629	2661	0	1854	2071	20	538	50	3503	1801	1	2062	12	1538	211	3	364	960	98	65	0	26	6	1545	191	969	172	214	2000	189	175	263
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-9257	-60150	-78926	-76643	-4843	-54375	700	-7044	-36259	-6731	-19491	6511	-4477	-2489	822	2648	954	1594	790	1151	8835	3946	3926	2384	748	18028	5739	13666	5556	2957	18908	10546	2651	4087	2268	22902	11701	0	2388	2749	17474	5301	4531	5993	2230	14729	7602	7586	5442
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	12	0	0	0	0	0	0	0	0	99	0	-181	181	881	242	367	0	0	2065	0	0	0	187	4507	1435	1164	1389	739	4727	2573	661	1154	565	2503	1445	498	-45	687	2446	742	634	838	312	2062	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	12	0	0	0	0	0	0	0	0	99	0	-181	181	881	242	367	449	284	2065	986	982	318	187	4507	1435	1164	1389	739	4727	2573	661	1154	565	2503	1463	498	-45	687	2446	742	634	839	312	2062	1064	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-9257	-60150	-78938	-76643	-4843	-54375	700	-7044	-36259	-6731	-19491	6412	-4477	-2309	641	1767	712	1227	341	866	6078	2959	2945	2066	561	13521	4305	3989	4167	2218	14181	7973	1990	2933	1702	20398	10238	3486	2433	2062	15027	4559	3897	5154	1918	12667	6537	7586	5442
---Cac Chi So Tai Chinh---																																																	
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	0.60	1.00	1.40	1.40	3.90	2.70	2.70	2.10	3.00	4.40	4.40	4.40	6.20	6.13	6.73	5.52	5.52	4.83	4.92	5.01	4.14	4.14	3.84	5.14	5.41	3.13	3.13	4.66	5.25	7.67	9.96	9.96	14.27	23.32	13.42	12.19	12.19	15.19	7.16	6.25	5.71	5.71	7.16	4.67	9.93	0.00	0.00	0.00	0.00
