CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	14633	15773	13866	13866	15097	23788	21030	20238	20113	23627	23576	21364	21537	21537	21416	21740	20290	21470	21471	23057	23857	23682	24183	24341	26250	24981	25313	25016	25016	25547	26375	25680	23823	23823	25582	25457	28648	27533	27533	29662	27728	29895	29999	29999	40155	45313	50297	41321	41221	32684	40699	43644	44469	44588	34636	29967	40173	33901	33484	24659	17370	13036	10298	10291	11474	13553	14545	12120	12120	6539
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	1936	2890	2423	2423	8532	3077	2938	2603	2603	2449	6625	3629	3072	11072	11755	3452	2352	1560	1559	7888	3655	5759	5408	5408	8860	7191	6895	8285	8285	8265	7813	10803	14015	14015	14687	5914	16362	14221	14221	16345	13201	12119	11078	11078	929	950	3016	2331	2331	3981	4908	713	879	879	1824	1070	2025	1017	1017	2996	2061	511	2646	2646	2202	784	325	3639	3639	468
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	3500	3500	3500	0	10500	8000	12000	12000	14500	8000	8000	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	7900	0	7900	7900	7900	0	0	0	0	7900	0	0	0	0	0	0	0	0	14300	9200	5800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	9436	2989	2734	2734	4183	7379	5921	2674	2674	4863	5679	3971	5081	5081	6745	15190	13470	14961	14963	12259	16642	13783	13567	13567	14144	14200	5628	11696	3163	5533	5091	8091	1516	1516	4470	4561	5433	4680	4680	6026	7490	10027	11240	11240	15637	12740	12381	14268	14168	5981	7161	9408	5190	5098	5134	5663	10997	4634	4216	3391	6294	2995	728	728	4440	5161	6204	777	777	444
Hàng tồn kho###Inventory	3174	6138	4694	4694	1909	2746	4171	2743	2743	1814	2848	5763	5385	5385	2871	3098	4468	4860	4860	2906	3547	4140	5148	5148	3120	3546	4252	5012	5012	3212	4892	6094	7718	7718	5814	6439	6268	8009	8009	6894	6701	7553	7491	7491	8895	22227	28909	24627	24627	22116	27418	31500	35526	35699	25163	20727	24566	25479	25479	16145	7885	8579	6203	6203	4403	7035	7554	7177	7177	4764
Tài sản ngắn hạn khác###Other Current Assets	86	256	515	515	474	86	0	217	93	1	424	0	0	0	44	1	0	89	89	4	13	0	60	218	125	45	638	23	656	637	680	692	574	574	612	644	585	623	623	397	336	196	190	190	394	196	190	96	96	606	1213	2024	2874	2912	2515	2507	2584	2771	2771	2128	1130	950	721	713	429	572	463	527	527	863
Tài sản dài hạn###Non-current Assets	29353	28346	28252	28252	27871	20591	20785	20631	20742	19538	18612	18673	18948	18948	19156	19487	19464	19381	19381	16564	16631	14436	15085	14937	13217	12728	13503	13672	13672	13976	14632	14826	15496	15496	13889	14369	14693	15337	15337	15669	16159	17442	17447	17447	17994	18070	18773	19489	19489	18595	13220	13656	14501	14412	15345	16393	16177	16710	16690	17177	17538	17786	18584	18584	18917	18260	19113	19312	19312	22287
Các khoản phải thu dài hạn###Long term Account Receivable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	13170	13178	13352	13352	13633	6490	6667	6530	6530	4865	5186	5515	5856	5856	6302	6599	6895	6832	6832	4310	4703	5096	5686	5695	5135	4775	5291	5635	5635	6003	6641	14753	15390	15390	13854	14284	14570	8196	15133	15432	15800	17104	10187	17063	17694	17672	18376	12366	19010	18198	12798	13499	14356	14388	15229	16270	16039	16690	16449	16936	17538	17786	18584	18584	18917	18260	19113	19312	19312	22287
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-45478	-44964	-44262	-44262	-43977	-43407	-43039	-42559	-42559	-43478	-43157	-42828	-42487	-42487	-42041	-41745	-41449	-40865	-40865	-40238	-40636	-40242	-39653	-39643	-39173	-38734	-38217	-37873	-37873	-37505	-36868	-36708	-36071	-36071	-36035	-35603	-35310	-34740	-34740	-34179	-33740	-33360	-33276	-33276	-32630	-31659	-30857	-30056	-30056	-29504	-28866	-28165	-27308	0	0	0	0	-23934	0	0	0	0	-20685	0	0	0	0	-17536	-17536	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	2065	1759	1491	1491	982	860	1030	1013	1124	1704	394	311	245	245	125	160	161	179	179	26	37	98	158	0	0	0	259	84	84	19	39	73	105	105	34	85	124	204	204	237	360	339	384	384	300	398	397	479	479	397	422	157	145	24	116	123	138	21	241	241	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	43986	44119	42118	42118	42968	44379	41815	40869	40855	43166	42188	40037	40485	40485	40572	41227	39755	40851	40852	39622	40488	38118	39268	39278	39468	37709	38816	38687	38687	39523	41007	40506	39318	39318	39471	39826	43341	42869	42869	45331	43887	47337	47445	47445	58149	63383	69070	60811	60710	51280	53919	57301	58969	59000	49981	46360	56349	50611	50173	41836	34908	30822	28882	28875	30391	31812	33658	31432	31432	28826
Nợ phải trả ###Liabilities	21368	20757	18755	18755	19909	21483	18483	17536	17531	20037	19307	17083	17365	17365	17854	18510	16759	17855	17857	17053	18097	14931	16082	16084	16844	15619	15312	15183	15183	16555	18289	17243	16054	16054	15594	16099	18837	18443	18403	21156	20062	23167	23353	23350	34083	39356	45024	36755	36655	27643	30548	33019	34984	35383	26933	23449	33692	26041	25858	17261	11284	7723	6008	5237	6276	8780	11928	11753	10245	9254
Nợ ngắn hạn###Short term Liabilities	21318	20757	18755	18755	19909	21483	18433	17536	2788	5329	4674	2631	2913	2913	3402	4058	2548	3905	3906	3124	4169	3231	4382	4384	5679	4654	4346	4218	4218	6215	7949	8423	7284	7284	7246	8529	11367	10973	10933	13422	12504	14809	14962	14959	25879	31252	36920	28651	36407	27436	30342	32812	34778	35176	26765	23281	33524	25873	25727	17130	11153	7592	4617	3877	3776	4680	7828	6653	5165	2229
Nợ dài hạn###Long term Liabilities	50	0	0	0	0	0	50	0	14743	14708	14633	14452	14452	14452	14452	14452	14211	13951	13951	13928	13928	11699	11699	11699	11165	10965	10965	10965	10965	10340	10340	8820	8770	8770	8348	7570	7470	7470	7470	7733	7558	8358	8391	8391	8204	8104	8104	8104	248	207	207	207	207	207	168	168	168	168	131	131	131	131	1391	1359	2499	4099	4099	5099	5080	7026
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
