CAN DOI KE TOAN	 2019	 2018	 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	 2015	Q4 2015	Q2 2015	 2014	Q4 2014	 2013	Q4 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản ngắn hạn###Current Assets	219163	177504	156336	136004	123603	103425	103425	117592	118884	79624	79624	89810	76080	76080	119893	119893	145506	145506	159854	181876	168195	173059	173059	178575	177198	146048	146787	146787	145610	150866	126394	145730	145673	150324	156425	158362	165949	194704	200225	200676	195530	216318	222658	210121	191500	150947	191702	191706	179574
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	25035	22556	14338	768	1947	4388	4388	7957	2104	739	739	4117	768	768	6215	6215	877	877	691	648	1084	3791	3791	2029	5112	2076	14892	14892	2384	12478	2283	20528	20528	13245	12432	4366	3147	3147	322	4955	1587	29823	29823	4120	4840	2153	4562	4585	22658
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	2055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2500	4570	5000	5000	5000	5000	5000	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	25589	8917	16378	47073	23795	11707	11707	21116	26694	12163	12163	14811	13992	13992	30988	30988	24915	24915	38034	55460	54168	52636	52636	59934	69898	56704	50835	50835	71115	65730	54493	53815	53758	64012	55039	51440	54800	57195	54555	56079	68372	63995	64073	79760	79541	59494	103652	103652	75958
Hàng tồn kho###Inventory	165179	146031	121698	85074	96916	87331	87331	84448	80181	66538	66538	68998	59558	59558	81720	81720	118680	118680	116072	119759	107790	112470	112470	110445	98137	84017	78440	78440	68268	69361	66287	67704	67704	69517	85387	98550	106637	121770	129693	121145	111113	115820	117483	109222	90378	79880	79311	79311	76007
Tài sản ngắn hạn khác###Other Current Assets	1306	0	3922	3090	945	0	0	4071	9905	184	184	1884	1762	1762	971	971	1034	1034	5056	6009	5152	4162	4162	6167	4051	3251	2619	2619	3843	3297	3332	3683	3683	3550	3567	4006	1365	12591	13155	13926	9458	1679	6279	12018	11740	9418	4176	4158	4950
Tài sản dài hạn###Non-current Assets	148429	157960	164212	175515	154931	130876	130876	134951	127766	137831	137831	152193	156750	156750	154601	154601	161749	161749	166731	164237	162866	163864	163864	154959	146162	150226	154579	154579	160009	164008	168669	172505	172505	174476	180945	183613	189456	187469	182563	190115	195297	193314	187658	195281	200796	206787	210091	209986	212168
Các khoản phải thu dài hạn###Long term Account Receivable	498	460	504	408	852	852	852	852	852	852	852	514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	104	0	0
Tài sản cố định ###Fixed assets	137931	133183	143251	121142	104464	108416	108416	103038	106932	114492	114492	119661	136408	126425	133464	133464	131840	131840	134507	137132	156361	141666	155952	145741	135150	142717	138516	145589	152846	155354	157918	164573	164573	165674	170430	173068	178019	181688	177127	184680	189862	188878	187472	195176	200691	206683	209986	209986	212168
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-268348	-251511	-231678	-224192	-217442	-214423	-214423	-211642	-208710	-203067	-203067	-198795	-191740	-191740	-184522	-184522	-175091	-175091	-173080	-170658	-168900	-166503	-156917	-156917	-158413	-158781	-153670	-153670	-149277	-144474	-140883	-135222	0	0	0	0	-118836	-115884	-116946	-110068	-104559	-100657	-101537	-93143	-87325	-81678	-78333	-78367	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	-11998	-10156	-7776	-5981	-8461	-7528	-7528	-6594	-5661	-3806	-3806	-2163	-2039	-2039	-1336	-1336	-656	-656	-486	-317	-156	0	-9836	-9836	-9836	-9463	-9115	-9115	-8779	-8394	-7824	-7673	0	0	0	0	-6231	-5849	-6428	-5748	-5176	-4696	-4571	-4021	-3443	-2858	-2454	-2416	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	-151	-151	-151	-151	-151	-151	-129	-101	-38	-38	-17	-5000	-5000	-5000	-5000	-4504	-4504	-4379	-4254	-4192	-4004	-3754	-3754	-3754	-3629	-3504	-3504	-3379	-3254	-3129	-3004	0	0	0	0	-2504	-2504	-2382	-2256	-2130	-2004	-2004	-1882	-1756	-1630	-1504	-1508	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	8697	8697	8660	8660	10000	3000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0	0	0	105	104	0	0	0
Tài sản dài hạn khác###Other long term assets	0	4333	0	9484	9983	0	0	0	0	2504	2504	12036	10341	10341	12439	12439	11021	11021	12241	8499	5506	6912	6912	8218	10013	6510	7990	7990	6164	7654	9751	6932	6932	7803	9469	9545	10437	4781	4436	4436	4436	4436	186	105	0	0	0	0	0
