CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-1221	-1121	-1020	-1020	-919	-819	-794	-791	-791	-788	-785	-782	-779	-779	-776	-773	-770	-767	-767	-764	-761	-758	-755	-755	-745	-733	-721	-709	-709	-702	-690	-681	-672	-672	-664	-655	-722	-713	-712	-692	-653	-614	-575	-575	-536	-497	-458	-419	-419	-373	-325	-277	-229	-229	-199	-190	-181	-172	-99	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	300	300	5300	5300	5300	1000	0
Tài sản dài hạn khác###Other long term assets	300984	303323	374057	482102	291941	335337	375206	355056	346712	267822	294540	308550	271759	267947	208543	219467	231137	178486	178524	176375	178332	105325	133232	107426	101276	109773	118311	121112	131461	109905	111796	111794	111939	111939	20175	7038	5303	12053	14213	3685	3685	3685	3790	3790	2976	4079	5182	4473	4473	3109	3109	3483	2774	2774	2983	4711	5241	4953	6912	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	3688634	3437054	3248658	3319818	3580666	3435987	3829304	3934849	3927931	3799689	4005091	4408808	4047703	4046965	4116332	4307207	4243040	4181777	4181028	3412111	3379990	3362835	3200405	3240963	3168837	3135252	3150885	2648164	2647113	2370099	2353062	2212888	2180261	2180261	1962356	1780860	1696755	1551367	1619993	1500499	1460373	1461801	1347272	1304160	1238076	1244363	1053958	1148743	1148743	1095358	1029440	909230	813061	813061	659166	638968	623383	608698	370121	0
Nợ phải trả ###Liabilities	3366706	3132981	2955446	2996170	3281898	3094392	3492363	3608582	3600403	3495134	3708533	4084861	3730287	3726099	3832241	4018131	3937424	3881250	3881208	3142023	3102908	3099795	2942081	2946194	2894715	2864849	2892628	2393779	2369916	2101503	2090131	1955489	1931274	1931274	1797899	1616890	1537417	1398983	1369513	1334656	1299349	1297964	1193606	1121609	1079778	1094656	918201	1020675	1020675	968584	910270	796433	691614	680357	540401	529092	507311	494119	270437	169865
Nợ ngắn hạn###Short term Liabilities	1140078	981322	829835	870559	919327	496589	930320	897652	889473	654525	804415	1117382	543600	546148	705982	962998	750566	597614	513751	594373	627032	680882	423297	528485	700717	816096	839116	493042	469180	628206	965616	900994	791618	791618	1066800	845243	761883	600528	571037	521345	472259	464475	364597	292600	259444	364118	173471	300658	300658	334341	259583	265913	232035	220778	170750	216619	253147	277316	191461	120831
Nợ dài hạn###Long term Liabilities	2226629	2151659	2125611	2125611	2362572	2597803	2562043	2710930	2710930	2840609	2904118	2967479	3186687	3179951	3126260	3055133	3186858	3283635	3367457	2547651	2475877	2418913	2518784	2417710	2193997	2048753	2053512	1900737	1900737	1473297	1124515	1054495	1139656	1139656	731098	771647	775534	798455	798477	813310	827090	833488	829009	829009	820334	730538	744730	720017	720017	634242	650687	530519	459579	459579	369651	312474	254164	216804	78976	49034
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
Vốn chủ sở hữu ###Owners equity	321928	304073	293212	323648	298767	341595	336941	326267	327528	304554	296557	323947	317416	320866	284091	289075	305616	300527	299820	270088	277082	263040	258324	294769	274122	270403	258257	254385	277197	268596	262931	257399	248987	248987	164457	163970	159338	152383	250480	165843	161024	163837	153666	182551	158298	149706	135756	128068	128068	126774	119170	112798	121447	132704	118765	109875	116072	114579	99684	0
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11258	3951	4342	4308	4948	0	0
Vốn chủ sở hữu ###Owners equity	321928	304073	293212	323648	298767	341595	336941	326267	327528	304554	296557	323947	317416	320866	284091	289075	305616	300527	299820	270088	277082	263040	258324	294769	274122	270403	258257	254385	277197	268596	262931	257399	248987	248987	164457	163970	159338	152383	250480	165843	161024	163837	153666	182551	158298	149706	135756	128068	128068	126774	119170	112798	121447	121447	114814	105533	111765	109631	99684	0
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2353062	2212888	2180261	2225369	1962356	1780860	1696755	1551367	1619993	1500499	1460373	1461801	1347272	1304160	1238076	0	1053958	1148743	1136518	1095358	1029440	909230	813061	813061	659166	638968	623383	608698	370121	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	660987	770824	3155002	860316	700131	803067	783748	3150769	871813	832846	804601	747692	2723202	583697	701456	792617	645431	2404647	603514	539466	572785	702418	2245210	510713	690301	566788	576027	2132277	445968	526351	609411	540820	1858182	520061	441128	453935	443058	1517054	460096	403144	357492	409184	1695826	492326	377387	452702	373412	1396695	481365	308430	310189	296711	1065626	319476	283953	263593	198605	810183	605575	0
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	660987	770824	3155002	860316	700131	803067	783748	3150769	871813	832846	804601	747692	2723202	583697	701456	792617	645431	2404647	603514	539466	572785	702418	2245210	510713	690301	566788	576027	2132277	445968	526351	609411	540820	1858182	520061	441128	453935	443058	1517054	460096	403144	357492	409184	1695826	492326	377387	452702	373412	1396695	481365	308430	310189	296711	1065626	319476	283953	263593	198605	810183	605575	540701
Giá vốn hàng bán###Cost of goods sold	508862	637491	2675052	779146	554205	603246	673032	2626276	719521	712139	683504	611155	2164017	422169	616661	639772	522014	1933908	442584	444039	446080	606512	1858985	402385	582494	449503	505762	1777367	345930	449629	528416	457426	1516240	402008	380878	358100	375254	1268147	360236	290980	316370	306385	1373278	429348	284582	373366	286576	1107027	375725	232547	261023	240186	872947	266660	224218	217460	164609	628652	484274	432024
Lợi nhuận gộp###Gross profit	152125	133333	479950	81170	145927	199821	110716	524493	152292	120708	121097	136537	559185	161529	84795	152845	123417	470739	160929	95427	126705	95906	386225	108329	107806	117285	70265	354910	100038	76722	80995	83395	341943	118053	60250	95835	67804	248907	99860	112164	41122	102799	322548	62978	92804	79336	86836	289668	105640	75884	49166	56525	192680	52817	59734	46133	33996	181531	121301	108676
Doanh thu hoạt động tài chính###Financial activities Revenues	11	16	953	477	9	452	15	1005	570	48	376	12	1156	768	223	24	-31	473	19	82	30	19	11004	10693	9	16	19	194	29	14	32	64	763	517	64	42	140	387	47	46	85	148	333	59	60	87	126	274	61	48	69	96	404	130	105	92	78	422	1253	307
Chi phí tài chính###Financial Expenses	56140	56198	251430	58794	62898	67285	62452	289229	73223	76467	76467	71615	289446	74378	72411	75029	67628	203036	58079	54843	52207	37907	155500	39823	46009	40675	27567	136444	42855	32116	24973	36550	132022	35227	29519	47740	19535	67624	-47683	70207	1769	38737	56306	-10412	39369	-166	27515	40513	-1513	24798	4980	12392	20826	2440	6799	4702	6885	26053	10361	9832
Chi phí bán hàng###Selling Expenses	1326	1873	30227	5746	5807	8677	10069	52280	17982	18531	18531	6847	48639	2289	-20904	14224	12260	40384	11955	8045	11189	9195	35344	9021	12319	9365	7665	42620	11419	9799	11261	9997	48916	13171	10640	11631	13475	58065	11734	15312	16670	14319	70422	17135	14803	25394	13090	47068	14688	10319	12669	9392	40674	11775	10835	11322	6741	30827	35697	42305
Chi phí quản lý doanh nghiệp###Managing Expenses	36862	37024	107761	-34361	45628	78708	24969	117427	32911	5254	5263	50033	160042	41424	38881	42007	37416	172552	47567	35766	45727	43492	169905	45668	44486	51528	32532	135065	34269	32040	37779	27956	126413	47718	20539	31935	26221	97121	24096	21282	23884	30848	133240	36543	27172	38333	31413	142669	65803	29055	25784	23317	91942	25639	26087	22622	17595	91714	62748	39931
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	57808	38254	91485	51468	31601	45603	13241	66562	28747	20504	21212	8053	62214	44205	-5371	21608	6083	55240	43349	-3144	17611	5331	36479	24511	5001	15733	2519	40976	11523	2782	7014	8956	35355	22455	-384	4572	8713	26483	111760	5410	-1116	19043	62913	19772	11520	15863	14944	59691	26722	11760	5802	11520	39642	13093	16118	7579	2853	33358	13748	16916
Thu nhập khác###Other incomes	284	795	513	145	173	75	122	689	218	155	155	146	2198	713	620	538	361	3314	411	399	124	781	8733	5879	1671	1661	2683	13851	2797	7724	1125	2205	9283	2611	1415	4254	1003	8590	4356	1144	2199	890	9308	2411	2255	3770	872	52339	9629	654	3905	3715	18247	15847	595	278	1527	7840	6381	0
Chi phí khác###Other Expenses	74883	47	12650	2552	804	2902	20	598	247	151	151	36	654	194	236	175	83	4161	-80	4249	334	64	5564	4789	1437	1658	238	7798	3293	3204	925	376	5075	1601	381	2650	442	6381	3267	637	1855	103	3455	-1234	-699	2945	2443	52097	7483	2275	1211	6693	17524	10366	4338	1286	1534	7958	5531	0
Lợi nhuận khác###Other profits	-74599	748	-12137	-2407	-631	-2827	102	91	-29	4	4	111	1544	518	385	363	278	-847	492	-3849	-210	716	3169	1089	234	2	2445	6054	-496	4521	201	1828	4208	1010	1034	1604	561	2209	1089	507	344	787	5853	3645	2954	825	-1571	241	2146	-1621	2694	-2978	722	5481	-3743	-1007	-8	-117	850	1632
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-16792	39002	79348	49061	30970	42775	13343	66652	28717	20508	21217	8164	63757	44723	-4986	21971	6361	54393	43840	-6994	17401	6047	39648	25600	5235	15735	4964	47030	11027	7302	7214	10785	39563	23464	650	6175	9273	28692	112849	5917	-772	19830	68766	67951	44534	16688	13372	59932	28868	10139	8496	8542	40364	18573	12375	6572	2845	33241	14598	18548
Chi phí thuế TNDN###Corporate Income Tax Expenses	-34647	28141	59189	24180	20584	38121	2669	13439	5743	4102	4243	1633	12751	7948	0	4394	1272	11093	6227	0	3359	1330	8728	5504	1152	3589	1092	10473	2426	1637	1683	2373	10977	6953	163	0	0	7921	0	0	0	4957	17192	5854	3618	4172	3343	14986	8189	2535	2124	2135	10212	4764	3094	1643	711	10914	4415	5193
Chi phí thuế TNDN###Corporate Income Tax Expenses	-34647	28141	59189	24180	20584	38121	2669	13439	5743	4102	4243	1633	12751	7948	0	4394	1272	11093	6227	0	3359	1330	8728	5504	1152	3589	1092	10473	2426	1637	1683	2373	10977	6953	163	1544	2318	7921	28212	1479	-193	4957	17192	5854	3618	4172	3343	14986	7217	2535	2124	2135	10212	4643	3094	1643	711	10074	4415	5193
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	17856	10861	20159	24880	10386	4655	10674	53214	22974	16406	16973	0	51006	0	0	0	0	43300	37614	-6994	14042	4717	30920	20096	4083	12146	3872	36557	8601	5665	5531	8412	28586	16512	488	4631	6955	20771	84636	4438	-579	14872	51575	17563	10855	12516	10029	44946	21651	7604	6372	6406	30153	13930	9281	4929	2134	23167	10184	13354
---Cac Chi So Tai Chinh---																																																												
EBITDA	0.31	0.46	0.81	0.81	0.19	-0.22	-0.22	-0.31	-0.31	-0.14	-0.12	0.00	-0.45	-0.45	-0.80	0.23	0.91	1.40	1.40	1.13	0.64	0.44	0.45	0.45	0.63	0.41	0.37	0.52	0.52	0.49	0.44	0.53	0.61	0.61	0.21	0.61	0.67	0.73	0.73	0.90	0.81	0.56	0.36	0.36	0.46	0.39	0.56	0.49	0.49	0.74	0.76	0.48	0.48	0.48	0.32	0.28	-1.20	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	7.02	6.46	6.18	6.18	6.55	7.20	5.97	5.89	5.89	5.23	5.48	5.11	5.48	5.48	5.41	11.04	6.78	6.14	6.14	4.93	4.93	4.73	5.05	5.05	4.73	5.70	5.23	4.90	4.90	5.17	4.95	6.06	4.09	4.09	4.14	4.33	6.32	4.11	4.11	4.11	4.74	4.22	2.76	2.76	3.18	3.04	3.00	3.12	3.12	4.03	4.32	4.25	4.25	4.25	4.21	4.39	6.09	0.00	0.00	0.00
