CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	 2008	 2007
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-431	-380	-335	-335	-307	-281	-256	-230	-230	-205	-179	-154	-134	-134	-134	-134	-134	-134	-134	-134	-134	-134	-134	-134	-134	-134	-134	-134	-134	-134	-134	-134	-134	-134	-133	-132	-151	-149	-149	-145	-141	-137	-133	-133	-129	-125	-116	-107	-107	-100	-92	0	-77	0	0	0	-43	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	19703	24639	22525	22581	28945	26250	26288	25520	25507	25933	24959	19403	18774	18793	18935	18802	17862	17726	17851	16302	14629	4167	4167	4167	4171	4171	4171	4451	4171	4174	4174	4174	4174	40966	41176	41176	41176	41176	41176	95676	141676	110888	117225	72225	44263	44323	4449	4423	4590	4535	4642	4872	4872	4993	5040	0	0	0
Tài sản dài hạn khác###Other long term assets	2521	3431	3762	3762	3093	2359	3428	3427	3235	2898	3565	2967	2616	2611	1608	1950	2161	1843	1821	1103	1192	900	852	853	856	744	13780	569	591	622	680	215	153	153	138	82	100	139	132	262	312	312	424	41722	2693	410	434	493	274	488	477	444	346	347	540	839	1363	1779
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	673640	675871	639312	645563	668438	639187	614664	613801	614151	651252	622928	465876	360803	392562	377915	383809	380295	341710	338203	345712	363626	288177	283646	291724	324171	324535	258181	274705	275925	275509	264318	251560	270569	270637	296224	347587	334201	349968	349955	385078	441315	446239	457675	453796	465227	371485	336008	276619	281555	265988	281672	236463	211578	211273	235220	229116	186559	169071
Nợ phải trả ###Liabilities	461924	459970	426520	432692	455574	428131	411412	413050	413261	453479	422931	271320	171745	203054	187126	193976	195868	160511	156427	172206	192225	120250	117959	125604	160609	162534	100887	119587	120916	127619	119105	107638	130681	130932	155400	206539	195930	211389	216151	234748	290714	297350	309585	309335	302984	205338	170459	137594	142559	128366	146305	107180	86016	84629	111342	107497	73166	47474
Nợ ngắn hạn###Short term Liabilities	460604	459516	426066	432238	455066	427511	410624	412094	412306	452355	421031	269153	169330	200640	186333	193091	195309	159886	155802	171516	191364	119289	116929	124574	159479	161292	100569	116138	117485	124045	116518	104769	127648	127899	154390	205382	194068	209099	152182	172618	203054	209179	221101	220851	211718	198071	163012	129858	136939	120121	138039	98199	76679	72858	110550	106340	71151	42728
Nợ dài hạn###Long term Liabilities	1320	454	454	454	508	620	788	956	956	1124	1901	2167	2414	2414	793	884	559	625	625	690	861	960	1030	1030	1130	1241	319	3449	3431	3574	2587	2869	3033	3033	1010	1157	1863	2290	63970	62130	87659	88171	88484	88484	91266	7267	7447	7736	5621	8245	8266	8981	9336	11772	792	1157	2015	4746
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	211716	215901	212793	212872	212865	211056	203252	200751	200889	197773	199996	194556	189059	189508	190789	189833	184427	181199	181776	173506	171401	167928	165687	166120	163563	162001	157293	152246	155009	147889	145213	143922	137044	136861	138132	138258	135554	138579	131069	147679	147960	146242	148090	141841	159662	163764	163210	139025	136416	135141	133051	126908	125563	126644	123878	121619	113393	121597
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	79	80	167	0
Vốn chủ sở hữu ###Owners equity	211716	215901	212793	212872	212865	211056	203252	200751	200889	197773	199996	194556	189059	189508	190789	189833	184427	181199	181776	173506	171401	167928	165687	166120	163563	162001	157293	152246	155009	147889	145213	143922	137044	136861	138132	138258	135554	138579	131069	147679	147960	146242	148090	141841	159662	163764	163210	139025	136416	135141	133051	126908	125563	126565	123799	121539	113226	121597
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2895	2872	2873	2885	2874	2874	2844	2844	2692	2790	2716	2736	2734	2651	2642	2646	2616	2620	2580	2384	2340	2581	2581	2481	2315	2376	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264318	251560	270569	270637	281128	347587	334201	349968	349955	385078	441315	446239	457675	453796	465227	0	336008	276619	281555	265988	281672	236463	211578	211273	235220	229116	186559	169071



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	 2008	 2007
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	355407	245647	1041210	233211	238947	357613	211312	767830	242078	199916	199207	125858	509108	136650	93028	156258	123176	390538	87777	89452	143126	70184	327247	82381	80204	99658	65003	280178	84475	72694	60174	62835	215905	56302	44166	83790	31647	259393	43236	52297	122540	41321	299608	49530	75747	94476	82801	335957	74140	92449	110912	52050	248407	89532	59439	69775	250490	138949
Các khoản giảm trừ doanh thu###Deduction revenues	1068	4597	20163	10150	1631	2441	5958	12089	5432	3545	2329	783	6425	1067	3695	571	1092	4389	-589	2299	2357	321	950	283	110	156	400	1210	229	181	631	169	4560	392	2600	695	873	5480	842	539	3168	931	8516	435	2427	4486	1169	15246	2862	3576	6687	2121	12166	5109	3380	3255	12758	10229
Doanh thu thuần###Net Sales	354339	241050	1021047	223061	237315	355172	205355	755741	236646	196371	196878	125075	502683	135583	89333	155688	122084	386150	88365	87153	140768	69862	326297	82098	80094	99502	64603	278968	84246	72513	59543	62667	211345	55910	41566	83095	30774	253913	42394	51758	119372	40390	291092	49095	73320	89990	81633	320711	71278	88873	104225	49929	236242	84423	56059	66520	237732	128720
Giá vốn hàng bán###Cost of goods sold	308818	216025	884165	186825	206879	312176	174394	621588	208518	167136	143862	101960	402449	116309	72805	111724	100550	319553	70383	75594	114074	60106	286113	72483	71157	83533	58601	241741	70538	64887	52962	53499	185025	50826	39282	70813	24037	204027	34791	40357	96377	32511	241129	40492	62744	72289	68392	264301	57717	77050	84630	40628	192655	71351	45558	50513	203928	101064
Lợi nhuận gộp###Gross profit	45521	25025	136882	36236	30436	42996	30961	134153	28127	29235	53017	23115	100235	19274	16528	43963	21534	66597	17982	11560	26694	9756	40184	9615	8938	15969	6002	37227	13708	7625	6580	9168	26320	5084	2284	12282	6738	49886	7603	11401	22994	7878	49964	8603	10576	17701	13241	56410	13562	11823	19595	9302	43587	13071	10501	16007	33804	27657
Doanh thu hoạt động tài chính###Financial activities Revenues	1863	770	5685	1695	1139	1941	907	3702	1472	873	870	484	1208	342	245	392	134	2029	554	429	585	439	1623	728	345	236	456	540	443	29	25	46	250	105	13	15	123	318	111	141	-186	252	2827	266	289	153	123	613	186	56	91	184	306	132	89	36	477	459
Chi phí tài chính###Financial Expenses	6813	5970	26794	7308	5609	8323	5463	23879	8450	5751	6617	3051	11264	3311	2468	3029	2161	7678	2813	1757	1638	1467	8380	2397	3020	1674	1224	8375	1970	2199	2086	2112	11225	2059	-4247	5654	4695	41680	17486	8515	15852	4732	38225	13040	11013	7163	5672	15594	4645	3351	4568	2901	13314	3194	4186	4001	11902	2464
Chi phí bán hàng###Selling Expenses	19256	14507	80908	20129	20848	19314	21509	86848	16737	19627	35382	14593	56107	12836	9224	18246	12366	25476	6533	4611	9982	4040	14048	4017	1619	3854	927	3865	1737	600	1050	478	5906	2964	1291	1075	577	5569	2378	788	1392	1081	9895	3559	1658	2803	1875	13821	3555	2557	4287	1717	7917	3428	1691	1827	10348	8995
Chi phí quản lý doanh nghiệp###Managing Expenses	8763	4526	21535	6298	5480	4928	4943	22644	5716	5856	6387	5346	20201	6825	4056	9431	4161	22721	5624	4570	8450	3285	13046	4832	3685	5091	3068	12912	3437	2995	3456	3030	11080	3013	2643	3218	2207	11958	2855	2089	5060	1970	20425	9625	3612	7236	3606	14470	3593	3423	3562	3380	10435	3796	2458	2244	11473	7029
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	7386	3135	14483	1980	2335	12334	720	6230	-1730	-152	6057	1238	14920	-3497	1157	14590	3115	14309	5134	1185	7208	1403	6329	-907	959	5586	1240	12614	7004	1860	12	3594	-1641	-2846	2611	2350	-618	-9051	-15004	150	505	347	-15952	-17356	-5418	652	2211	12689	1956	2548	7269	1488	12226	2785	2257	7971	556	9628
Thu nhập khác###Other incomes	9	298	4315	45	216	-1607	1999	9090	4045	1860	1575	1584	6600	1807	1559	1533	1706	6386	1624	1510	1522	1530	8210	4097	1050	1485	1578	7065	2134	1576	1915	1440	7638	1952	1495	697	364	3463	708	978	1165	638	155	31	30	2	37	180	1	75	96	7	211	28	3	182	477	60
Chi phí khác###Other Expenses	6	0	2936	470	204	442	21	1415	291	434	38	-14	1141	310	145	68	624	5201	4604	79	393	1	361	-88	7	435	8	288	8	4	270	7	4385	221	4308	19	37	3018	2053	1401	10	40	591	6	4	0	288	614	0	230	360	23	49	0	0	13	1	1
Lợi nhuận khác###Other profits	3	298	1379	-425	11	-2049	1979	7675	3754	1426	1538	1598	5458	1497	1414	1465	1082	1185	-2980	1431	1130	1530	7849	4185	1044	1050	1570	6777	2126	1572	1645	1433	3253	1731	-2813	678	327	445	-1345	-423	1154	598	-436	25	27	2	-251	-435	1	-155	-265	-16	162	28	3	169	476	59
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	7389	3433	15862	1555	2346	10284	2699	13905	2024	1274	7595	2836	20378	-2000	2571	16055	4197	15493	2154	2617	8338	2932	14178	3277	2002	6636	2810	19387	9130	3432	1657	5027	1611	-1117	-202	3028	-291	-8607	-16349	-273	1647	909	-16388	-17529	-5450	654	1369	12254	1507	2286	6606	1473	12388	2813	2260	8140	1032	9688
Chi phí thuế TNDN###Corporate Income Tax Expenses	3389	325	3821	1548	538	2481	198	3783	408	572	1850	638	4342	-438	565	3224	969	3930	1038	511	1661	691	3610	720	441	1943	620	4157	2010	756	366	993	301	3	21	250	0	904	0	0	0	110	-45	-76	-32	234	85	1130	279	116	461	152	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	1782	301	3910	1802	830	1688	534	4849	1139	262	2404	711	4408	-215	398	3118	1078	4231	1359	533	1680	632	3672	623	524	2026	613	4081	2022	752	372	937	291	18	8	255	0	834	97	0	-10	63	74	42	0	95	115	1151	301	301	550	152	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	1607	23	-90	-254	-292	793	-337	-1065	-731	310	-553	-73	-65	-224	167	106	-109	-301	-320	-22	-18	60	-62	97	-84	-83	7	77	-11	4	-5	56	10	-16	13	-5	18	71	80	-1	-56	47	-118	-118	-32	-69	-30	-21	-22	-185	-89	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	4676	3125	9642	-1603	375	7213	3374	9495	1558	-24	5744	1969	16425	-1784	2073	13305	3178	11804	1116	2105	6677	2241	10610	2557	1561	4693	2190	15259	7120	2676	1291	4034	1309	-1120	-223	2778	-308	-9511	-16527	-272	1713	799	-16343	-17452	-5418	628	1285	11125	1228	2170	6145	1321	12388	2813	2260	8140	1032	9688
---Cac Chi So Tai Chinh---																																																										
EBITDA	0.37	0.26	0.71	0.71	0.37	0.17	0.06	0.11	0.11	0.19	0.31	0.68	0.70	0.70	0.30	-0.04	-0.02	0.81	0.81	1.15	1.14	1.45	1.48	1.48	1.28	1.12	0.86	0.68	0.68	0.70	0.92	1.00	1.06	1.06	0.33	0.00	-0.05	0.43	0.43	0.66	0.79	0.70	0.45	0.45	0.66	1.14	1.35	1.19	1.19	0.99	0.71	0.64	0.69	0.69	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	4.60	3.52	3.97	3.97	4.33	4.21	4.55	4.47	4.47	4.55	5.11	4.72	5.18	5.18	6.89	4.39	3.88	3.52	3.52	3.45	3.95	3.47	3.13	3.13	4.22	5.24	4.77	4.15	4.15	3.34	3.81	5.45	1.84	1.84	1.29	1.29	1.77	1.91	1.91	2.25	2.66	2.18	2.18	2.18	3.68	4.77	6.25	6.37	6.37	8.23	8.66	7.60	7.31	7.31	13.90	0.00	0.00	0.00
