CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008	 2007	 2006
Tài sản ngắn hạn###Current Assets	294403	312999	303119	303119	296181	274370	273791	287953	287953	280653	272289	292963	286183	286183	278536	276623	287125	271799	271799	273832	259196	264276	216900	216900	208677	199309	199492	193206	194045	176548	138912	155260	146635	146635	134299	160224	165787	154329	154329	148908	109668	112169	104664	104664	100830	110841	114710	88937	88937	81028	51415	52126	48379	63691	51768	64113
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	25584	29593	22558	22558	19557	18100	68715	93036	93036	74802	64958	73939	93708	93708	98485	99316	90540	88135	88135	114952	139690	182323	186468	186468	180372	162629	70909	79103	79103	158892	93702	130385	101859	101859	101870	124521	131249	124492	124492	121235	96118	80830	82437	82437	73464	81077	72800	61943	61943	57897	31232	26172	23643	50370	36515	53843
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	243309	244204	243610	243610	234800	235380	187780	166780	166780	160850	181020	180730	161480	161480	151480	162950	182030	153300	153300	134000	107600	61400	10700	10700	7100	15850	106000	98000	98000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8300	0	0	0	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	19052	37406	27188	27188	32559	12703	11698	23512	23512	23415	11908	25523	20536	20536	18734	7419	6825	15504	15504	15824	6842	14052	15062	15062	14230	7053	11373	10418	11156	10795	7771	8310	16519	16519	15835	7394	14906	9084	9084	9747	7545	19255	14463	14463	14020	13995	21967	17873	17873	18568	13596	10879	8610	6147	5995	4232
Hàng tồn kho###Inventory	6347	1796	9763	9763	9129	8186	5598	4625	4625	21587	14403	12586	10460	10460	9618	6188	7730	13776	13776	9010	5064	6401	4497	4497	6713	12945	11166	5667	5667	5701	34113	16109	26726	26726	16020	26217	19103	19737	19737	16584	5635	11888	7638	7638	11777	6969	18148	6647	6647	2816	3222	12162	12401	1175	8920	5361
Tài sản ngắn hạn khác###Other Current Assets	111	0	0	0	135	0	0	0	0	0	0	185	0	0	219	749	0	1083	1083	46	0	101	173	173	262	831	44	19	120	1160	3326	457	1532	1532	574	2092	528	1017	1017	1342	371	195	127	127	1569	500	1795	2474	2474	1748	3364	2912	3724	6000	338	677
Tài sản dài hạn###Non-current Assets	382282	384928	387931	387931	389555	394643	397234	400301	400301	399158	400656	402836	398861	398861	400549	397550	388061	391386	391386	383791	387100	384886	386720	386720	389582	392552	396055	399406	398567	414258	428283	423579	420645	420645	421540	391372	394452	397225	397225	399174	400828	402460	402994	402994	402870	405107	405712	402212	402212	393049	410877	412278	400017	384869	329055	226510
Các khoản phải thu dài hạn###Long term Account Receivable	1679	1432	1432	1432	1432	1507	1734	1734	1734	1734	1734	1593	1443	1443	1476	1532	1344	1340	1340	1374	1369	1369	1369	1369	1403	1399	1512	1512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	20755	21310	21874	21874	22164	22737	23308	23901	23901	24470	24963	25277	25939	25939	26451	27131	27830	26612	26612	27532	28453	29242	30115	30115	30530	31214	32151	33049	33049	30969	31378	29795	80098	80098	78665	46083	46910	30150	53128	53737	59058	58424	33444	56789	69759	70012	68663	37153	63727	91327	80271	88205	79274	78547	42053	129955
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-35796	-35279	-34753	-34753	-34213	-33669	-34653	-34090	-34090	-33503	-32885	-32257	-31624	-31624	-30977	-30325	-29656	-28971	-28971	-28080	-27189	-26674	-25774	-25774	-24867	-23990	-23083	-22176	-22176	-21303	-20454	-19648	-18863	-18863	-18113	-17371	-17144	-16386	-16386	-15907	-15136	-14366	-13585	-13585	-14803	-14124	-13290	-12456	-12456	-12072	-11787	-11319	-10541	-7726	-6059	-7520
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-1265	-1227	-1189	-1189	-1160	-1130	-1101	-1072	-1072	-1043	-1014	-984	-955	-955	-926	-897	-868	-838	-838	-809	-780	-751	-721	-721	-692	-663	-633	-603	-603	-573	-542	-512	-482	-482	-452	-429	-406	-383	-383	-360	-337	-314	-291	-291	-268	-245	-222	-199	-199	-176	-153	-130	-107	-44	-41	-4547
