CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	 2009	Q4 2009	 2008
Tài sản ngắn hạn###Current Assets	93002	107076	98887	105371	116220	120315	135974	144022	142188	138197	139235	129725	130801	130922	137060	136640	133131	143799	144416	129346	129040	122936	133132	145073	136885	132116	125421	133979	145922	131383	141885	128141	124606	124049	125984	147514	147580	130422	130097	129706	127380	137932	133600	129584	152264	162057	151479	137873	137873	146398	130818	88012	88012	47915
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	189	658	2619	2619	428	898	2722	5233	5233	1793	4472	2194	8610	8610	974	942	1512	8661	8661	3516	3068	2153	7466	7466	865	7084	1686	10043	10043	998	1986	2438	2477	2477	1238	1361	10229	9444	9444	8541	3475	6648	11017	11017	2001	3460	1840	6469	6469	3573	5976	39117	39117	6631
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	0	2000	0	0	0	0	3900	0	0	0	0	0	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	58760	52791	49691	56578	62229	73849	96862	109320	107930	97340	92622	95113	97905	98026	114535	104489	99928	118537	118907	100591	92337	91004	108075	108073	89255	85245	76134	102073	101556	85674	67791	66538	64514	63957	37318	41301	26874	42399	42074	27003	28450	30181	44471	45200	43530	49645	41998	49203	49203	65068	55214	35361	35361	25056
Hàng tồn kho###Inventory	32488	52714	45960	45753	51595	44122	36162	29470	29025	38652	41484	32418	24286	24286	21551	31210	30829	16601	16848	25239	33635	29450	17591	29534	46766	39786	46062	21863	33806	44350	71399	58855	57419	57419	87181	104641	109777	78348	78348	91904	95191	98203	77871	73126	105307	106893	102228	82060	82060	76559	69134	13260	13260	15932
Tài sản ngắn hạn khác###Other Current Assets	1565	913	617	421	1969	1446	229	0	0	412	656	0	0	0	0	0	862	0	0	0	0	330	0	0	0	0	1539	0	517	361	709	311	196	196	247	210	699	231	231	258	264	900	240	240	1426	2059	1513	140	140	1198	494	274	274	296
Tài sản dài hạn###Non-current Assets	63186	64029	63947	64303	65270	64844	65964	62028	63264	65927	64794	62761	56537	56643	54017	52044	51267	50037	49384	48919	48218	44875	43177	31233	28607	29041	29082	40664	28720	28889	28696	28224	25801	25801	23219	23232	23591	23735	23735	24127	22952	22903	21651	21651	20435	20794	19711	18080	18080	7943	8395	8088	8088	5310
Các khoản phải thu dài hạn###Long term Account Receivable	1713	1713	1713	1713	1713	2707	2707	2707	2707	2707	2707	2707	2707	2707	2707	2707	1713	1603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	12025	12588	13044	13048	13505	14315	15158	15258	15277	13561	14073	15197	15787	15791	16443	17031	16422	15961	15964	16543	17081	17244	15733	15733	12858	13360	13761	13855	13855	13497	12995	12288	10823	10823	8189	8154	8593	9136	9209	18565	17195	17300	9335	17600	16458	16737	15571	7912	14051	7618	7999	7780	7780	5257
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-14401	-14130	-13925	-13921	-13464	-16818	-16725	-16624	-16625	-16150	-15637	-16056	-15466	-15463	-14810	-14158	-14925	-14271	-14268	-15301	-14661	-14092	-14154	-14154	-13513	-14282	-13619	-12966	-12966	-12377	-12039	-11875	-11463	-11463	-11262	-10839	-10895	-10552	-10552	-10122	-9728	-9475	-9008	-9008	-8749	-8282	-8607	-9333	-9333	-9129	-8826	-8122	-8122	-7420
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
