CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	 2006	Q4 2006	 2005
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-25	0	-63	-56	-56	0	0	0	-28	0	0	0	0	0	0	0	0	0	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	49	53	53	53	54	54	49	49	49	49	49	55	55	55	78	78	74	74	74	150	4102	4032	4108	4108	3876	3819	3647	3833	4060	372	359	320	320	320	411	411	378	384	384	399	375	371	431	431	380	318	357	366	8061	186	7440	7605	7605	7605	8701	8701	8681	8671	8646	8644	6218	4055	2255	2255	402	402	402	0
Tài sản dài hạn khác###Other long term assets	1249	1323	1355	1355	1407	1460	1246	1278	1278	1222	1244	1265	1287	1287	1308	1151	1162	1181	1181	1199	1218	1236	1255	1255	1276	1306	1532	1373	1373	1406	1440	1330	1349	1275	1284	1261	1268	1276	1298	1309	1321	1334	1340	1340	1346	1360	1376	1393	1393	1491	1482	159	194	194	161	175	206	193	327	181	45	61	68	68	54	0	0	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	29834	20205	21419	21419	27678	25879	21089	21680	21641	25326	22840	23793	22672	22672	27391	24054	21552	22005	21996	25318	23337	20720	21996	21996	28427	28422	22255	22770	22763	24759	25046	20100	22331	22338	26738	23653	20315	21732	21752	28252	20823	20657	24472	24472	25679	27168	22245	35545	23727	32622	33296	25686	19878	19878	25638	25542	20888	21427	21442	31485	22506	19366	27423	27423	23806	17073	17073	0
Nợ phải trả ###Liabilities	10973	171	1342	1342	7841	6679	949	1487	1458	5317	3707	5308	2164	2164	7315	4881	1209	1764	1758	5465	4352	893	2012	2012	8833	9897	2698	3037	3044	5281	6398	762	2797	2785	7375	5033	745	2004	2010	9415	2828	3534	5289	5951	7399	8332	2160	8850	7234	8791	16206	9664	3874	3792	7953	8975	4734	5257	4628	14008	6307	3288	11543	11222	7249	11266	11132	0
Nợ ngắn hạn###Short term Liabilities	10955	153	1324	1324	7823	6641	795	1332	1069	5299	3689	5290	2146	2146	7297	4863	1191	1746	1740	5447	4334	875	1994	1994	8823	9886	2687	3026	3034	5271	6387	752	2787	2775	7365	5022	734	1993	1971	9397	2810	3523	5278	5939	7360	8279	2106	8797	7205	8791	16206	9664	3874	3792	7953	8975	4734	5257	4628	13996	6295	3276	11531	11210	7243	11259	11126	0
Nợ dài hạn###Long term Liabilities	18	18	18	18	18	38	155	155	389	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	10	10	10	11	10	10	10	10	11	10	10	11	11	10	39	18	18	11	11	11	39	53	53	53	29	0	0	0	0	0	0	0	0	0	0	12	12	12	12	12	7	7	7	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	8	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	18861	20034	20076	20076	19837	19200	20140	20193	20183	20009	19133	18485	20508	20508	20076	19173	20342	20240	20237	19853	18985	19827	19984	19984	19594	18526	19558	19733	19719	19478	18649	19338	19534	19552	19363	18621	19571	19728	19742	18836	17995	17123	19183	18521	18303	17349	18664	26695	16494	17080	17090	16022	16004	16085	17685	16567	16154	16170	16814	17477	16200	16077	15880	16200	16557	5807	5941	0
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	11	53	91	155	155	47	92	97	0	321	0	0	134	0
Vốn chủ sở hữu ###Owners equity	18861	20034	20076	20076	19837	19200	20140	20193	20183	20009	19133	18485	20508	20508	20076	19173	20342	20240	20237	19853	18985	19827	19984	19984	19594	18526	19558	19733	19719	19478	18649	19338	19534	19552	19363	18621	19571	19728	19742	18836	17995	17123	19183	18521	18303	17349	18664	26695	16494	17080	17090	16022	16004	16004	17674	16514	16063	16015	16659	17430	16107	15980	15880	0	16556	5807	0	0
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-23	1487	1422	7961	0	6751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25046	20100	22331	22338	26738	23653	20315	21732	21752	28252	20823	20657	24472	24472	25679	0	22245	35545	36254	32622	41188	25686	19878	0	25638	25542	20888	21427	21442	31485	22506	19366	27423	27423	0	17073	17073	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q3 2007	Q2 2007	Q1 2007	 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	11998	2131	66251	6817	27653	29380	2401	68695	8481	27983	29023	3208	72064	9916	31579	25708	4862	63872	7458	24655	28959	2834	63799	8442	28658	23519	3180	64960	8475	25171	28544	2771	63212	14162	18948	27768	2335	69246	20994	20289	25659	2305	66874	20540	23134	21422	1796	79958	18450	25710	41122	3134	61087	17395	23359	15412	4922	59682	14460	27297	16359	1566	50314	19900	8330	1484	41894	0
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	14	0	3	3	0	0	0	1	1	0	0	0	322	6	5	255	56	556	336	32	187	1	66	22	27	-53	69	1568	32	1517	11	9	309	240	51	12	6	1102	973	11	113	5	987	961	21	3	2	514	374	9	26	468	0
Doanh thu thuần###Net Sales	11998	2131	66251	6817	27653	29380	2401	68695	8481	27983	29023	3207	72050	9916	31579	25694	4862	63869	7455	24655	28959	2834	63797	8441	28658	23519	3180	64638	8468	25166	28289	2715	62656	13826	18916	27581	2334	69181	20972	20261	25712	2235	65306	20509	21617	21411	1787	79650	18210	25659	41110	3128	59985	16421	23348	15299	4917	58695	13499	27276	16356	1564	49801	19526	8321	1458	41426	44920
Giá vốn hàng bán###Cost of goods sold	10538	1735	58334	5349	24558	26362	2046	60137	7170	24302	26044	2661	63085	8540	27687	22840	4019	56224	6392	21568	25896	2404	56289	7091	24975	21287	2673	56208	7298	21975	24773	2264	53608	11377	16223	24317	1692	59143	17544	17148	22577	1874	56305	17580	18598	18615	1499	68924	16011	21790	37126	2682	53251	14613	20570	13639	4429	52149	12160	24017	14620	1353	43223	17142	6714	1250	36506	0
Lợi nhuận gộp###Gross profit	1460	396	7916	1468	3095	3019	355	8557	1311	3681	2979	547	8965	1376	3892	2854	843	7645	1064	3088	3063	431	7508	1350	3683	2231	506	8430	1171	3191	3516	450	9048	2448	2693	3264	642	10038	3428	3113	3135	361	9001	2928	3019	2797	289	10726	2200	3869	3984	446	6734	1808	2778	1660	488	6546	1340	3259	1736	211	6577	2385	1607	209	4920	0
Doanh thu hoạt động tài chính###Financial activities Revenues	57	65	586	174	34	234	144	560	182	21	220	138	792	379	3	231	179	1108	181	592	238	98	831	456	32	262	80	987	601	60	162	162	967	229	146	499	100	1301	462	236	256	345	1347	438	481	424	197	464	90	223	73	39	418	62	310	13	9	964	300	220	177	281	1244	136	229	539	556	0
Chi phí tài chính###Financial Expenses	5	3	35	8	13	7	8	35	18	4	13	0	6	7	0	0	0	58	1	14	-35	78	-211	-222	0	-105	116	514	283	20	214	0	1	-7	0	4	4	38	8	39	-10	0	163	70	55	44	9	530	-731	21	195	0	1268	969	20	24	0	124	85	0	49	4	107	47	0	18	131	0
Chi phí bán hàng###Selling Expenses	875	280	4379	782	1570	1730	297	4578	753	1831	1595	382	4612	743	1885	1554	430	4387	321	1945	1691	230	3958	670	1711	1322	255	4274	654	1562	1689	381	4639	1094	1311	1904	355	4864	1559	1419	1551	335	4403	1737	1763	1541	203	0	1049	1922	2060	198	3426	940	1505	787	177	3297	681	1606	833	133	3951	353	272	159	2634	0
Chi phí quản lý doanh nghiệp###Managing Expenses	316	219	2215	539	722	707	247	2251	488	762	778	216	2365	462	876	691	336	1718	447	632	580	263	2164	721	632	551	259	2147	566	629	723	230	2704	1032	834	549	285	3084	1370	765	668	261	2454	576	494	433	398	0	567	1441	374	275	1185	347	270	297	271	1477	481	281	440	309	910	1190	868	343	726	0
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	321	-42	1873	312	824	810	-53	2253	235	1104	813	86	2774	544	1133	841	256	2591	475	1088	1065	-42	2428	637	1372	726	-45	2483	268	1040	1054	1	2671	558	694	1306	99	3353	953	1126	1181	111	3328	984	1189	1203	-123	1122	1405	709	1428	12	1273	-385	1293	565	49	2611	392	1592	591	45	2853	931	695	228	1985	1990
Thu nhập khác###Other incomes	0	0	95	2	1	92	0	4	0	0	2	2	13	0	0	5	8	12	13	0	2	0	36	31	2	3	0	37	2	29	0	6	33	21	4	-36	44	4	2	0	0	0	2	1	7	19	26	20374	20070	73	9	18	63	24	6	0	12	51	31	0	0	0	4	0	2	0	37	0
Chi phí khác###Other Expenses	0	0	3	2	0	1	0	8	6	2	0	0	1	0	1	0	0	1	4	0	0	0	50	263	0	49	0	102	0	0	0	0	12	2	1	9	1	1	0	0	0	1	12	1	1	10	1	15070	15562	0	12	2	101	66	0	5	12	88	74	0	0	0	0	0	0	0	23	0
Lợi nhuận khác###Other profits	0	0	92	0	1	92	0	-4	-6	-2	2	2	13	0	0	5	8	11	9	0	2	0	-14	-232	2	-46	0	-65	2	29	0	6	21	19	4	-45	43	2	2	0	0	-1	-10	0	6	10	25	5304	4507	73	-3	17	-38	-42	6	-5	0	-38	-43	0	0	0	4	0	2	0	14	-25
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	321	-42	1965	311	825	901	-53	2249	228	1102	816	88	2786	544	1133	846	264	2602	484	1089	1067	-42	2414	405	1374	681	-45	2418	270	1069	1054	7	2692	577	697	1261	142	3355	955	1126	1181	110	3318	984	1194	1213	-98	6426	5912	782	1425	29	1235	-427	1299	560	49	2574	349	1592	591	45	2857	931	697	228	2000	1965
Chi phí thuế TNDN###Corporate Income Tax Expenses	71	0	423	72	168	183	0	476	54	227	167	23	572	112	230	171	59	537	100	221	215	0	493	14	306	174	0	514	-11	240	278	3	695	289	138	0	0	672	0	0	0	31	677	248	325	271	0	2359	1627	305	360	7	115	-36	114	48	5	337	418	222	82	6	400	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	71	0	423	72	168	183	0	476	54	227	167	23	572	112	230	171	59	537	100	221	215	0	493	14	306	174	0	514	-11	240	278	3	695	289	138	219	45	672	50	284	309	31	677	248	325	271	0	2359	1627	305	360	7	115	-36	114	48	5	337	418	223	83	6	400	131	73	56	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	250	-42	1542	239	657	719	-53	1773	174	876	648	65	2214	432	903	675	205	2065	384	868	852	-42	1921	391	1068	507	-45	1904	281	829	776	4	1997	288	559	1042	96	2683	905	842	872	78	2641	736	869	942	-98	4067	4286	477	1065	22	1119	-391	1185	511	44	2236	-69	1369	508	39	2456	801	623	172	2000	1965
---Cac Chi So Tai Chinh---																																																																				
EBITDA	-0.12	-0.28	-1.23	-1.23	-0.27	-0.27	-0.19	-0.14	-0.14	-0.13	-0.19	0.09	0.15	0.15	0.20	0.31	-0.17	-0.61	-0.61	-0.56	-0.71	-0.57	-0.18	-0.18	-0.18	-0.11	0.13	0.00	0.00	0.06	0.35	0.57	0.21	0.21	0.07	0.12	-0.20	0.10	0.10	0.27	0.24	0.62	0.87	0.87	0.70	0.47	0.41	0.39	0.39	0.42	0.69	0.58	0.47	0.47	0.41	0.33	0.16	0.52	0.52	0.55	1.01	1.61	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	37.70	31.20	34.67	34.67	26.38	15.21	9.24	11.09	11.09	15.30	15.30	12.61	13.52	13.52	14.53	15.30	12.36	11.28	11.28	10.58	9.31	11.28	9.01	9.01	10.37	11.01	8.81	9.93	9.93	7.57	7.57	6.49	6.00	6.00	5.12	5.27	5.37	3.59	3.59	3.72	3.80	4.40	2.63	2.63	2.81	2.63	3.36	3.30	3.30	3.79	3.36	3.43	3.15	3.15	3.72	3.35	2.60	3.16	3.16	4.23	4.85	5.35	0.00	0.00	0.00	0.00	0.00	0.00
