CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	 2011
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	89995	318155	318155	318155	318155	318155	283200	24800	283200	108856	111439	109452	111439	111440	114738	114738	114738	114738	115200	60000	0	0	0	0	0	0	120200	20200	120200	120200	20200	200	200	200	200	200	200	200	0
Tài sản dài hạn khác###Other long term assets	4	13	13	0	0	0	25	29	29	0	0	0	0	0	0	18	36	54	54	109	90	107	125	125	11	0	0	56	0	389	666	1332	1332	1332	1597	2167	1822	1822	2724
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	351036	321851	319617	319488	318407	318545	329924	329929	329929	309816	313520	313799	314238	316226	319609	319309	338232	332981	334950	337458	358981	389697	258316	260595	199731	197976	203604	192978	193056	166134	117742	42089	42049	42049	44120	51850	41027	42493	31672
Nợ phải trả ###Liabilities	39978	11200	7849	6970	5881	5925	17005	17151	16985	4910	4933	4942	5140	5140	5078	4835	23818	18642	18558	21920	44728	76386	95022	97124	34833	36382	44045	35081	36361	12153	83577	10670	10670	11218	12918	18828	8328	10604	1388
Nợ ngắn hạn###Short term Liabilities	39978	11200	7849	6970	5881	5925	17005	17151	16985	4910	4933	4942	5140	5140	5078	4835	23818	18642	18558	21920	44728	76386	95022	97124	34833	36382	44045	35081	36361	12153	83577	10670	10670	11218	12918	18828	8328	10604	1388
Nợ dài hạn###Long term Liabilities	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	311059	310651	311767	312517	312527	312620	312919	312778	312944	304907	308587	308857	309098	311086	314532	314475	314414	314340	316392	315538	314253	313312	163294	163471	164898	161594	159559	157897	156695	153981	34165	31419	31379	30832	31201	33022	32699	31889	30284
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	311059	310651	311767	312517	312527	312620	312919	312778	312944	304907	308587	308857	309098	311086	314532	314475	314414	314340	316392	315538	314253	313312	163294	163471	164898	161594	159559	157897	156695	153981	34165	31419	31379	30832	31201	33022	32699	31889	30284
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117742	42089	42049	42049	0	51850	41027	42493	31672



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	 2011
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	0	0	1093	1093	0	0	0	136	0	136	0	0	5739	0	2941	125	2672	81192	25506	28742	20472	6771	190550	65133	60616	53706	11095	100491	39399	4101	54239	2752	10701	73	36	10592	3500	16538	5634
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	496	101	0	395	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	0	0	1093	1093	0	0	0	136	0	136	0	0	5739	0	2941	125	2672	81192	25506	28742	20472	6771	190054	65032	60616	53311	11095	100491	39399	4101	54239	2752	10701	73	36	10592	3500	16538	5634
Giá vốn hàng bán###Cost of goods sold	0	0	1021	1021	0	0	0	136	0	136	0	0	6070	0	2937	145	2988	77850	24921	28173	18542	6329	172236	55997	54349	49779	8338	88606	33668	3905	50608	2510	9240	106	1558	7576	2138	12871	4691
Lợi nhuận gộp###Gross profit	0	0	71	71	0	0	0	0	0	0	0	0	-331	0	4	-20	-315	3341	586	569	1930	442	17818	9035	6267	3532	2757	11885	5731	195	3630	242	1461	-34	-1521	3016	1362	3667	943
Doanh thu hoạt động tài chính###Financial activities Revenues	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5005	1500	1501	0	1	1201	1	0	1200	0	1	0	1	0	0	2	0	0	1	0	6	0
Chi phí tài chính###Financial Expenses	390	0	208	0	0	18	0	-3520	0	2583	0	0	3617	3424	0	85	106	569	0	56	51	-289	670	135	270	265	0	590	0	0	14	61	513	151	115	248	115	697	0
Chi phí bán hàng###Selling Expenses	-82	82	0	79	0	0	0	0	0	0	0	0	0	-23	8	8	8	524	327	61	85	108	1435	0	0	515	488	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	232	0	473	0	94	263	25	-1258	-9109	152	268	234	1289	88	-75	-189	-522	5316	382	406	625	498	2349	779	908	300	667	2901	2338	179	184	132	721	186	185	351	167	1024	702
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-540	-82	-609	-7	-94	-281	-25	4778	9109	-2735	-268	-234	-5237	-3489	71	76	93	1938	1377	1546	1169	126	14566	8122	5090	3652	1602	8394	3393	16	3432	50	229	-369	-1821	2419	1080	1952	241
Thu nhập khác###Other incomes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	17	105	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí khác###Other Expenses	86	1	402	2	0	18	0	994	1059	1	1	7	5	5	0	0	0	636	0	0	1	0	7038	7906	885	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận khác###Other profits	-86	-1	-401	-2	0	-18	0	-994	-1059	-1	-1	-7	-5	-5	0	0	0	-347	0	0	-1	0	-7022	-7801	-868	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-626	-83	-1010	-9	-94	-299	-25	3784	8050	-2736	-269	-242	-5242	-3494	71	76	93	1591	1377	1546	1167	126	7544	321	4222	3652	1602	8394	3393	16	3432	50	229	-369	-1821	2419	1080	1952	241
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	105	105	0	0	0	0	-48	14	15	19	462	275	309	233	25	1746	71	929	803	352	1679	679	3	686	10	57	0	0	0	0	342	42
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	105	105	0	0	0	0	-48	14	15	19	462	275	309	233	25	1746	71	929	803	352	1679	679	3	686	10	57	0	0	605	270	342	42
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-626	-83	-1010	-9	-94	-299	-25	3680	7945	-2736	-269	-242	-5242	-3446	57	61	74	1129	1102	1237	934	101	5798	250	3293	2849	1249	6715	2714	13	2746	40	171	-369	-1821	1814	810	1610	199
---Cac Chi So Tai Chinh---																																							
EBITDA	1.00	-0.28	1.07	1.07	0.50	0.36	0.37	0.15	0.15	0.30	0.72	1.34	1.95	1.95	2.48	1.20	1.27	1.52	1.52	1.50	1.47	1.98	2.47	2.47	1.88	1.80	1.66	1.32	1.32	1.60	1.64	1.57	-0.71	-0.71	-2.84	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	1.40	1.00	1.40	1.40	1.80	1.90	2.40	1.20	1.20	1.40	1.50	1.70	1.90	1.90	2.60	1.70	1.80	1.70	1.70	2.70	4.20	3.80	2.90	2.90	4.30	5.60	6.80	7.70	7.70	8.00	3.80	5.20	4.00	4.00	4.40	0.00	0.00	0.00	0.00
