CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	237830	221304	285016	284865	246714	284652	280642	324705	324892	341347	408556	378831	433638	433686	341829	342737	269696	266331	266239	289319	351939	338965	374746	372494	372920	394569	328539	291696	291785	378671	216183	151534	174082	173830	139371	115703	100218	84705	84821	74532	68471	79398	77543	80153	77727	74201	85900	85900	95086	101633	142849	106995	124765	123145	69133
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	35167	15456	23084	23083	7191	10738	40950	14345	14345	17390	25283	7987	12583	12583	14909	53941	13966	19159	19159	25750	75510	54254	22998	22998	79959	58711	45047	71439	71439	60118	10656	21174	42270	32270	15656	11581	15332	14141	20256	11346	5112	8450	23925	23887	17387	5360	29131	29131	30509	20940	34862	6119	17290	38280	27110
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	440	1990	2050	1900	1033	2023	2018	1931	2118	2051	2043	2193	1956	1671	1665	1649	1559	1559	1559	1844	1756	1756	510	510	0	0	0	0	0	0	4108	4108	4108	14108	10359	6209	0	6155	0	0	0	0	0	0	0	0	1112	1112	0	0	0	960	1071	0	0
Các khoản phải thu ngắn hạn###Short term Account Receivables	30187	35426	72241	72241	50866	51514	44593	50237	50237	38936	40162	36021	80733	80729	63627	42749	36563	59698	59606	32625	44028	57679	35539	35677	54557	70712	66269	64491	64494	18054	19498	24428	26817	26817	21233	32057	11492	15628	14263	6201	5127	7176	12386	12116	15952	11251	11484	11484	12441	18686	26133	26543	34096	27920	8629
Hàng tồn kho###Inventory	168907	165239	184542	184542	184070	217229	189633	255260	255260	278425	331459	321084	329002	329339	253613	238701	214358	183225	183225	223670	224440	221861	309977	307588	233462	261339	214006	150745	150754	280301	171172	97996	98922	98581	86804	62610	70707	47828	49307	55611	56055	61052	40281	43035	43150	55106	42925	42925	51156	59661	78949	71513	70081	54903	31152
Tài sản ngắn hạn khác###Other Current Assets	3129	3192	3099	3100	3554	3148	3448	2932	2932	4544	9610	11546	9365	9365	8014	5697	3250	2689	2689	5430	6205	3414	5721	5721	4942	3807	3216	5021	5098	20198	10750	3829	1965	2054	5318	3246	2688	954	994	1374	2178	2720	952	1115	1238	2485	1248	1248	980	2346	2905	1861	2227	2042	2243
Tài sản dài hạn###Non-current Assets	93405	92978	94599	94749	97429	100099	102205	104828	104641	105744	107234	104417	105618	105903	84433	83418	99538	79765	79858	75401	72630	67040	68042	68042	59044	60088	50189	51377	51306	51634	52331	53268	54371	54413	54654	55700	56758	57652	57674	58716	59749	60175	60629	61038	56166	54812	50960	50960	50893	32038	31428	27883	27379	25671	25473
Các khoản phải thu dài hạn###Long term Account Receivable	42	42	42	42	42	42	42	42	42	0	42	42	42	0	0	0	0	0	0	0	93	0	93	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	40432	41628	43133	43133	44626	47879	49616	51849	51849	52672	54175	51065	51884	51884	48237	35856	34814	34637	34637	33966	34809	24855	25662	25662	21329	22075	48668	49749	49717	49984	50818	51717	52646	52646	52970	53971	55052	55821	55821	56750	57681	58723	59316	59932	55084	53317	49355	42996	49355	30512	30422	27069	26462	24640	24374
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-44310	-42844	-41339	-41339	-39690	-38581	-36843	-35110	-35110	-33861	-32151	-30560	-29026	-29026	-27606	-26286	-25007	-23767	-23767	-22551	-21371	-20336	-19336	-19336	-18852	-17978	-17154	-16334	-16334	-15886	-15086	-14277	-13462	-13462	-12671	-11878	-11510	-10705	-10705	-9905	-9108	-8274	-7479	-7479	-7060	-6643	-5932	-5932	-5932	-5509	-5055	-4597	-4158	-2453	-976
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-424	-424	-424	-424	-424	-424	-424	-424	-424	-424	-424	-424	-424	-424	-424	-421	-413	-406	-406	-399	-391	-377	-360	-360	-343	-325	-5039	-4818	-4820	-4598	-4380	-4169	-3961	-3961	-3752	-3544	-3336	-3127	-3127	-2919	-2711	-2502	-2294	-1899	-1789	-1680	-1476	-1476	-1476	-1371	-1267	-1161	-1055	-692	-345
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	337	337	337	487	1329	337	337	337	150	150	150	0	150	435	435	435	20433	435	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	52468	50823	50962	50962	51307	51552	51921	52310	52474	52667	52550	52770	53082	53124	35368	35702	35833	36111	36203	36358	36597	36959	37189	37282	29922	30220	1479	1628	1549	1623	1514	1551	1726	1768	1685	1730	1706	1831	1853	1965	2068	1452	1184	1106	1082	1495	1605	1605	1539	1527	1007	814	917	1030	1100
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	331235	314282	379615	379615	344143	384751	382848	429533	429533	447091	515790	483248	539257	539590	426262	426155	369235	346096	346096	364720	424569	406005	442788	440536	431964	454658	378727	343073	343091	430305	268514	204803	228453	228243	194025	171403	156976	142357	142495	133248	128220	139574	138173	141191	133893	129013	136860	136860	145979	133671	174278	134878	152143	148815	94606
