CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	 2013	 2012	 2011	 2010
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-33	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-74	-67	-60	-60	-58	-56	-55	-53	-53	-51	-49	-48	-46	-46	-44	-42	-40	-39	-39	-37	-35	-33	-33	-33	0	-33	-33	-33	-33	-33	-33	-53	-53	-43
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản dài hạn khác###Other long term assets	5601	6200	7104	7104	6855	3385	3424	3614	3614	3881	4945	2637	430	430	381	292	265	286	286	334	263	355	405	234	260	255	252	210	209	108	133	373	1097	1152
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	538812	543704	560798	560905	542396	548335	572814	573582	573573	565483	591070	582845	571084	571333	548081	566897	542476	526106	526106	493201	482091	458401	414620	414567	376583	373150	360251	351967	348422	337375	332495	317886	308574	316971
Nợ phải trả ###Liabilities	187775	187910	207394	207682	202413	203617	220504	231915	231905	224938	250529	220636	224930	225179	210062	220853	204418	206019	206014	184992	176355	134187	97532	97481	66506	64865	61255	63934	59926	57180	80770	100984	124809	156026
Nợ ngắn hạn###Short term Liabilities	21358	17308	32438	32726	23478	20392	41658	58463	58453	49611	73198	39701	44915	45164	39454	52652	44573	62436	62431	42958	50898	29238	37070	37018	23361	35273	24307	27148	23140	14239	29241	32278	38887	52858
Nợ dài hạn###Long term Liabilities	166417	170602	174956	174956	178936	183225	178846	173452	173452	175327	177330	180935	180015	180015	170608	168201	159845	143583	143583	142034	125457	104949	60462	60462	43145	29592	36949	36786	36786	42941	51530	68706	85922	103168
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	351037	355794	353404	353223	339983	344718	352310	341667	341668	340545	340541	362209	346153	346153	338019	346044	338058	320088	320092	308209	305736	324214	317088	317086	310077	308285	298995	288034	288496	280195	251724	216902	183765	160946
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	351037	355794	353404	353223	339983	344718	352310	341667	341668	340545	340541	362209	346153	346153	338019	346044	338058	320088	320092	308209	305736	324214	317088	317086	310077	308285	298995	288034	288496	280195	251724	216902	183765	160946
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	 2013	 2012	 2011	 2010
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	12547	19178	98372	39634	12558	18587	27593	105993	28330	17036	27964	32664	82498	26823	11337	17638	26699	58475	26919	9200	9628	12728	61450	21137	9580	11120	18457	49615	19253	8585	45734	35709	44849	19808
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	12547	19178	98372	39634	12558	18587	27593	105993	28330	17036	27964	32664	82498	26823	11337	17638	26699	58475	26919	9200	9628	12728	61450	21137	9580	11120	18457	49615	19253	8585	45734	35709	44849	19808
Giá vốn hàng bán###Cost of goods sold	9617	10403	51075	18161	10542	12322	10029	46876	15457	10842	9800	10777	30920	12306	6576	5092	6946	23284	10213	5446	3668	3971	26994	10896	5594	4400	4950	21836	7422	5319	18024	19826	28422	9074
Lợi nhuận gộp###Gross profit	2930	8774	47297	21472	2015	6265	17565	59118	12873	6194	18164	21887	51578	14517	4761	12547	19753	35192	16705	3755	5959	8758	34456	10241	3986	6720	13507	27779	11831	3266	27710	15883	16426	10734
Doanh thu hoạt động tài chính###Financial activities Revenues	303	224	466	88	90	149	139	673	89	264	184	136	1045	79	250	403	313	641	114	200	137	190	1049	117	159	508	265	1904	639	410	1815	2757	2413	1257
Chi phí tài chính###Financial Expenses	4182	4289	17859	4564	4308	4504	4483	17242	4544	4370	4342	3986	1715	173	198	831	513	2932	618	700	804	790	3836	818	969	954	1094	7364	1483	1705	10814	15046	19952	10636
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	2281	2175	10834	4227	2429	2449	1940	11813	6945	1874	1862	1130	7956	5839	970	519	628	6076	3727	642	1056	651	5522	2154	1276	957	1135	5757	2379	1060	4610	2828	3498	395
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-3230	2535	19069	12769	-4632	-538	11281	30736	1472	214	12144	16907	42953	8584	3844	11600	18925	26825	12475	2613	4236	7506	26148	7387	1899	5317	11543	16561	8608	911	14101	767	-4610	960
Thu nhập khác###Other incomes	167	0	4427	137	211	4078	0	89	0	97	1	4	22	22	0	0	0	207	61	1	145	0	263	3	1	1401	5	89	40	15	263	1692	256	884
Chi phí khác###Other Expenses	167	0	4376	86	211	4078	0	7	0	19	0	0	22	22	0	0	0	0	0	0	0	0	13	3	1	1151	5	184	133	17	618	1993	1195	1456
Lợi nhuận khác###Other profits	0	0	51	51	0	0	0	83	0	78	1	4	0	0	0	0	0	207	61	1	145	0	250	0	0	250	0	-95	-93	-3	-354	-301	-939	-572
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-3230	2535	19120	12820	-4632	-538	11281	30819	1472	292	12144	16911	42953	8584	3844	11600	18925	27032	12536	2613	4381	7506	26398	7387	1899	5567	11543	16466	8515	908	13747	465	-5549	388
Chi phí thuế TNDN###Corporate Income Tax Expenses	-144	144	590	-420	102	261	638	1934	349	288	442	855	2228	450	210	614	955	1459	654	140	286	380	1396	378	107	329	582	855	432	55	7	164	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	-144	144	590	-420	102	261	638	1934	349	288	442	855	2228	450	210	614	955	1459	654	140	286	380	1396	378	107	329	582	855	432	55	7	164	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-3087	2391	18530	13240	-4734	-799	10643	28884	1124	4	11702	16056	40724	8134	3634	10986	17970	25573	11882	2473	4095	7126	25003	7009	1792	5238	10961	15611	8083	853	13740	301	-5549	388
---Cac Chi So Tai Chinh---																																		
EBITDA	-0.07	0.01	-0.32	-0.32	-0.22	-0.14	-0.06	0.06	0.06	0.15	0.25	0.69	0.36	0.36	0.27	0.48	0.38	0.39	0.39	0.16	-0.13	-0.18	-0.16	-0.16	-0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	8.22	7.65	9.92	9.92	10.29	11.08	10.82	11.25	11.25	11.94	11.94	12.83	12.03	12.03	11.87	11.53	9.42	8.44	8.44	8.44	8.82	8.02	7.45	7.45	7.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
