CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-30	-30	-30	-30	-30	-30	-30	-30	-3309	-1722	-805	-768	-30	0	-1643	-1582	-1520	-1459	-1459	-1398	-1337	-1275	-1214	-1214	-1148	-1057	-965	-874	-1734	0
Lợi thế thương mại	1048	1278	1509	1509	1740	1970	2201	2432	2432	2662	2893	3124	3355	3355	3585	3816	4047	4277	4277	4508	4739	4970	5200	5200	0	5662	5892	0	6123	1593	1708	1822	0	1937	2052	2052	2166	2395	2281	2395	2510	2625	2854	2739	2854	3083	3100	1142	2168	2431	2431	0	2431	2431	0	0	0	2431	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	95201	94479	91998	91998	91883	83806	82859	90844	90844	90176	86911	83733	57208	62016	54771	76295	73332	64632	64789	49277	44136	44470	44470	44115	42701	38404	40564	80045	80045	90012	91095	92634	90247	73312	98006	118613	120111	120111	85207	88235	87811	96568	96361	112962	108135	106633	104741	99073	101998	97846	120532	86808	74341	95728	81492	69718	57180	57180	56799	67949	72782	65863	55863	55863	16936	16103	8703	5233	5233	3598
Tài sản dài hạn khác###Other long term assets	58233	64876	66788	63975	63152	68196	44485	45269	45491	46608	47966	46956	45634	48827	48388	46914	48064	49444	49449	50479	52941	42982	47201	42000	46167	40002	39255	203378	203378	100690	99540	100590	100827	100931	72437	37429	36479	36609	37455	38870	36802	1964	38414	36899	37538	37569	42535	43435	43435	36228	36263	28039	29739	28039	4	6	6	6	6	4	4	4	4	4	670	673	1348	1348	4	3
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	3030719	2992602	3016290	3013477	3059129	3154066	3130297	3067852	3072012	3244623	3251376	3288968	3171020	3168895	3397757	3312022	3208771	3090551	3090708	2956253	2925099	2963798	3170088	3169170	2883924	2939014	3004548	3024592	3024592	2970626	2578075	2435708	2366333	2367549	2410863	2246080	1838912	1857611	1854986	1931968	1935592	1840002	1818852	1819343	1763142	1686747	1538764	1532959	1541896	1468375	1109696	945748	1129208	1148355	1030202	898615	828652	766435	769292	769302	745334	683182	635114	633054	537724	501431	514976	504520	507483	364471
Nợ phải trả ###Liabilities	2153793	2109354	2120100	2120100	2176398	2261490	2236391	2144523	2149244	2306802	2329715	2334099	2194106	2193821	2434667	2351064	2254851	2128304	2128513	1990474	1973260	2028504	2222452	2216509	1964702	1971009	2068713	2086435	2086435	2043021	1660444	1573155	1644794	1641583	1681274	1502738	1170763	1204740	1204030	1277032	1306353	1233687	1218545	1219137	1211827	1163968	1020703	1008057	1024098	976461	722499	554960	689236	692469	613114	511768	449872	402541	406015	416039	414652	332961	294923	294267	405538	377734	393363	393397	377883	289692
Nợ ngắn hạn###Short term Liabilities	1815443	1782165	1791494	1786944	1836447	1921538	1883685	1791817	1805038	1926575	1960789	1931908	1802512	1802227	2016789	1944203	1841870	1674071	1673626	1525978	1527484	1569897	1777839	1769580	1514857	1526194	1606802	1623023	1623023	1624988	1303146	1215006	1286646	1286850	1299834	1127843	1125756	1159733	1159022	1185587	1214852	1139919	1124714	1125305	1066683	1023236	833647	839257	855816	809121	623088	498681	592549	594896	549561	479282	425355	369274	367105	358095	359363	269935	254105	253819	335559	286515	299999	297071	319201	217589
Nợ dài hạn###Long term Liabilities	338350	327189	328606	333156	339951	339951	352706	352706	344206	380227	368925	402191	391594	391594	417878	406860	412981	454232	454886	464496	445776	458607	444613	446929	449845	444815	461912	463412	463412	418033	357298	358149	358149	354733	381440	374895	45007	45007	45007	91444	91502	93768	93832	93832	145144	140732	187056	168800	168282	167340	99411	56279	96686	97573	63553	32486	24517	33267	38910	57944	55289	63026	40818	40448	69980	91219	93364	96326	58683	72103
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	0	0	0	0	0	0	0	0	0	0	9	0	0
Vốn chủ sở hữu ###Owners equity	876926	883248	896191	893377	882731	892576	893906	923329	922769	937822	921662	954870	976914	975074	963091	960959	953919	962248	962196	965780	951840	935294	947636	952661	919222	968005	935835	891585	938157	927605	917631	862553	573586	571817	588963	604547	596935	652871	578027	579258	556550	542505	600306	532084	489377	470020	467818	524903	463201	435936	387197	390788	413442	429264	392465	365017	359063	343256	342621	337717	316568	331747	322144	321176	117623	109591	106867	96785	114855	64480
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3049	0	0	4348	0	2228	0	0	0	0	0	0	0	0	0	0	0	-1315	0	0	-1248	0	4209	5473	7081	4187	3218	0	759	0	0	0	2310	0	0	0	0	16171	3492
Vốn chủ sở hữu ###Owners equity	876926	883248	896191	893377	882731	892576	893906	923329	922769	937822	921662	954870	976914	975074	963091	960959	953919	962248	962196	965780	951840	935294	947636	952661	919222	968005	935835	891585	938157	927605	917631	859504	573586	571817	584615	604547	594707	652871	578027	579258	556550	542505	600306	532084	489377	470020	467818	524903	464515	435936	387197	392037	413442	425055	386992	357936	354876	340038	342621	336958	316568	331747	322144	318866	117623	109591	106867	96785	98684	0
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48347	46572	46572	125458	131451	146095	147953	154149	140626	138794	71214	73564	72929	75678	72688	63811	68222	68122	61938	52758	50243	59537	54597	55977	0	0	26530	26622	24622	21830	19718	20638	20656	15545	14114	18474	18046	17611	14562	14106	14747	14338	14745	10300
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2578075	2435708	2366333	2367549	2410863	2246080	1838912	1855142	1854986	1931968	1935592	1840002	1818852	1819343	1763142	0	1538764	1532959	1541896	1468375	1358496	945748	1124654	1129208	1030202	898615	828652	766435	769292	769302	745334	683182	635114	633054	537724	501431	514976	504520	504520	364471



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	220881	129882	995976	251963	257078	219303	267632	1532093	354180	367224	386575	423143	1502525	496949	299070	480081	226425	1448577	523834	311287	371097	242359	1621779	530602	377833	420287	293057	1269355	424041	297260	305818	242235	1360572	402505	356845	373499	249625	1487927	495222	369744	386353	231839	553274	555318	390790	456398	150768	972255	321162	305058	130899	123704	848371	236751	212179	218404	178024	629982	261255	199809	139712	77993	521220	189088	93261	179908	63892	449878	163906	0
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	5059	5059	0	0	0	25887	11836	0	14051	0	6512	2794	909	154	2655	11790	10858	0	0	932	24436	49	304	136	23947	6841	4154	1189	1485	12	3707	818	178	701	2011	14276	139	10123	4015	0	86	86	0	0	0	123	123	0	0	0	147	0	0	0	147	606	606	0	0	0	6097	6	1951	638	3502	3812	65	0
Doanh thu thuần###Net Sales	220881	129882	990917	246904	257078	219303	267632	1506206	342344	367224	372524	423143	1496013	494155	298161	479926	223771	1436787	512976	311287	371097	241427	1597344	530554	377529	420151	269110	1262514	419887	296071	304332	242223	1356865	401688	356668	372798	247614	1473651	495083	359621	382338	231839	553188	555232	390790	456398	150768	972132	321039	305058	130899	123704	848223	236751	212179	218404	177877	629376	260649	199809	139712	77993	515123	189082	91311	179270	60390	446066	163841	401565
Giá vốn hàng bán###Cost of goods sold	167062	104306	819062	187226	232135	173697	226005	1300245	305179	306496	319319	368143	1307509	433237	279046	416593	185131	1171123	420299	246597	299187	202346	1284171	418711	310289	342954	210594	986180	348987	227286	237640	172266	1055153	326505	265912	307065	177400	1134435	387838	289412	284039	173062	230878	437543	318851	366266	108219	759131	251294	237210	114980	96326	695652	197816	175204	177110	144338	498959	222188	157241	107689	61778	417964	156606	73171	148962	45275	366042	140512	0
Lợi nhuận gộp###Gross profit	53819	25576	171855	59679	24943	45607	41627	205961	37165	60728	53205	54999	188504	60918	19115	63334	38639	265665	92677	64690	71911	39081	313172	111843	67240	77197	58516	276334	70900	68785	66693	69957	301712	75183	90756	65733	70215	339216	107245	70209	98299	58777	322310	117689	71939	90132	42549	213001	69745	67848	15919	27377	152571	38935	36974	41294	33538	130417	38461	42569	32023	16215	97159	32476	18140	30308	15115	80024	23329	0
Doanh thu hoạt động tài chính###Financial activities Revenues	1599	1593	6614	3265	-53	3380	21	15580	13607	1265	624	83	6032	1170	1158	2152	1552	5045	1045	1415	1197	1266	8760	636	2736	3165	1140	8128	3264	1657	2543	665	2090	1753	433	383	606	2956	650	399	809	1123	2846	778	1281	211	570	20124	983	417	18305	256	9248	5387	3973	1326	233	2640	1188	648	342	462	11668	6257	296	397	5588	1235	-1137	0
Chi phí tài chính###Financial Expenses	28277	24333	107468	24482	22606	29776	30604	120964	32980	30180	29609	28196	93775	25310	12931	25920	24557	87436	11119	25383	27578	23163	97201	43773	23794	27231	23050	82796	24055	25070	17198	16472	85641	22680	33523	22141	25319	113843	32456	23229	32103	23888	109970	33241	26558	30591	19580	58038	20176	19672	1770	6320	15752	5104	4197	3704	3949	37694	13949	7843	13550	2040	19026	2642	4263	6238	5718	17105	3664	0
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	12928	15599	66059	22690	14229	15114	14026	84759	21286	20248	20979	22382	65129	16534	12344	25320	10927	90232	27101	21171	26707	15282	111465	51333	24135	15940	19650	101972	40882	22833	16645	21613	93112	18742	30925	20414	20459	101392	31060	20461	33194	16771	87409	34623	17988	21345	13504	59903	21178	14505	7807	8945	46189	11653	10887	11913	9502	34686	10232	9080	9083	6200	30341	8874	6401	8143	6199	24026	6306	0
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	14501	-12763	3805	15062	-11944	3670	-2982	15782	-3465	11565	3177	4505	35173	20372	-5002	13411	4707	93326	55538	19552	19072	1902	114061	18529	22048	37913	16956	99695	10736	22539	35548	32537	125049	35513	26741	23561	25042	129336	44379	26918	33811	19241	130261	50603	28674	38407	10036	116411	29374	34088	24647	12368	99878	27565	25863	27003	20321	60677	15468	26293	9732	8436	59461	27217	7773	16325	8785	40128	12222	11789
Thu nhập khác###Other incomes	1828	18	3611	676	2479	434	22	7650	-8341	9739	4630	1622	11418	558	9440	1370	51	3376	2093	233	2335	603	869	44	250	341	234	715	165	103	271	176	9652	2336	5606	1636	74	3694	2984	740	69	0	2478	987	794	677	20	5694	1845	5	303	102	17749	13881	209	4662	29	585	501	72	3	8	1616	214	1396	3	7	1953	284	0
Chi phí khác###Other Expenses	1395	81	3689	1796	1229	280	383	5099	575	237	3922	365	6446	2831	859	2274	517	2580	5350	1011	603	49	4769	2159	681	1276	622	4522	213	2240	1819	251	25135	2429	6327	519	325	5357	1428	805	2689	61	2289	950	756	537	44	4335	556	19	24	0	734	266	49	419	0	76	58	5	3	10	4	0	4	0	0	282	30	0
Lợi nhuận khác###Other profits	433	-63	-78	-1120	1250	153	-362	2551	-8916	9502	708	1257	4972	-2273	8581	-904	-466	796	-3256	-777	1732	554	-3900	-2115	-431	-935	-388	-3808	-48	-2137	-1549	-75	-15483	-93	-721	1117	-251	-1662	1557	-65	-2620	-61	189	37	38	139	-25	1359	1289	-14	279	102	17014	13615	160	4243	29	509	444	67	0	-2	1612	214	1392	3	7	1671	254	1745
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	14934	-12826	3727	13942	-10694	3823	-3344	18333	-12381	21067	3885	5762	40145	18099	3579	12508	4241	94122	52282	18774	20804	2455	110161	16414	21617	36978	16569	97553	10689	20403	33999	32462	111489	36727	26020	25295	24792	127673	46718	27276	32175	19386	130450	52566	28712	39213	10011	117770	31102	34244	29885	12470	119780	41180	26023	31246	20350	61566	15912	26360	9731	8435	61073	27431	9165	16327	8792	41799	12476	13535
Chi phí thuế TNDN###Corporate Income Tax Expenses	1163	14	2026	3296	-850	1953	440	10316	2040	4877	1703	2169	13499	6048	1435	3819	2319	24659	13073	4786	5560	1449	29041	4082	6164	9861	5617	25560	4897	4497	10188	5978	27848	6165	6206	0	0	19743	0	0	0	3753	18822	3467	5337	8384	1624	15535	4143	3839	7184	1755	14574	4633	1737	3610	2346	7694	1162	3413	1194	1098	1173	1845	101	382	0	0	0	777
Chi phí thuế TNDN###Corporate Income Tax Expenses	1163	14	4839	3296	-850	1953	440	8159	934	4877	653	2169	11283	5091	1435	2559	2319	21448	11394	4786	4029	1449	24827	4082	6164	9861	5617	25539	4877	4497	10188	5978	24432	6165	6206	6100	6295	19743	8157	1483	6148	3753	18822	3467	5337	8384	1624	15535	4143	3839	6059	1591	14574	4633	1737	3610	2346	7694	1162	3413	1195	1098	1173	1846	102	383	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	-2813	0	0	0	0	2156	1106	0	1050	0	2216	957	0	1260	0	3211	1679	0	1531	0	4214	0	0	0	0	21	21	0	0	0	3416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	14633	-15346	-4334	8445	-12776	1100	-5884	1222	-17170	14841	2182	1490	17968	9406	1045	6927	-1247	56894	39208	13988	15244	1007	70042	12333	15453	27117	10952	66710	5792	15906	23811	26485	83641	30562	19814	19195	18496	107930	38561	25793	26027	15634	111628	49099	23375	30829	8388	102235	26958	30405	23826	10879	105206	36547	24286	28126	18004	53872	14750	22947	8537	7337	59900	25586	9063	15945	8792	41799	12476	12758
---Cac Chi So Tai Chinh---																																																																						
EBITDA	0.20	0.11	-0.71	-0.71	-0.02	-0.33	0.09	0.15	0.15	0.14	0.31	0.15	0.16	0.16	0.11	0.63	0.97	1.35	1.35	1.47	0.93	0.83	0.58	0.58	0.65	0.66	1.14	1.09	1.09	1.21	1.26	0.83	0.86	0.86	0.74	0.94	1.18	1.32	1.32	1.37	1.42	1.35	1.13	1.13	1.01	0.99	0.91	1.01	1.01	1.22	1.22	1.18	1.19	1.19	1.23	1.40	1.56	1.51	1.51	1.54	1.26	1.15	-0.01	-0.01	-0.06	-0.07	-0.08	2.65	2.65	0.00
Giá giao dịch cuối quý###Last Price of Quarter	3.50	2.61	3.36	3.36	3.83	3.92	3.92	4.57	4.57	5.54	5.63	6.77	6.92	6.92	7.50	7.33	7.50	8.16	8.16	6.58	7.76	8.50	9.24	9.24	9.53	9.38	9.84	10.37	10.37	10.96	9.78	11.29	9.18	9.18	6.62	6.09	6.18	4.98	4.98	4.23	5.21	5.21	3.83	3.83	4.93	5.04	6.31	9.91	9.91	11.01	12.60	11.69	10.70	10.70	12.74	6.72	3.87	3.87	3.87	5.86	3.85	7.44	20.04	20.04	14.62	15.33	15.11	7.27	7.27	0.00
