CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	 2014	 2013	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008	 2007	 2006
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	24069	24069	24069	874622	32553	29083	32208	30220	30220	33691	31522	48307	48307	48307	51929	48603	57490	57490	42021	25060	25060	25060	25060	51298	33338	24182	24182	24182	26810	26810	26810	26810	26810	16690	16690	16690	16690	16690	15090	15090	18590	8490
Tài sản dài hạn khác###Other long term assets	6798	8015	6141	325	6413	7210	6702	7571	7571	5510	4664	3688	3995	3995	1631	1613	0	0	0	1108	0	456	91	1661	2780	318	318	318	324	324	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1435072	1486287	1464866	1445875	1469545	1456827	1284278	1275693	1275693	1279155	1273943	1292582	1300618	1300618	1228225	1200201	1177354	1149654	1134184	953014	916808	909937	891403	764282	651652	580956	561275	561275	576877	534367	514994	505919	512307	505647	487433	477368	447383	447383	443353	401476	385753	323009
Nợ phải trả ###Liabilities	189648	203206	201196	183605	213719	219388	204905	205779	205779	232107	242342	232689	259146	259146	204529	202169	173872	170721	170721	170010	159517	184580	194889	181417	180388	154160	151832	152268	140884	118845	123093	132884	98441	105009	106518	116443	77939	77939	50213	66330	95223	73939
Nợ ngắn hạn###Short term Liabilities	68579	86850	87293	91538	121741	110204	123095	103875	103875	116640	131700	127530	153770	153770	126276	128983	104333	102348	102348	106838	99084	127894	141360	138045	142306	135057	132862	133298	122411	100556	105528	115332	76889	92699	94438	104406	66430	66062	37000	52835	74795	68683
Nợ dài hạn###Long term Liabilities	121069	116356	113903	92067	91977	109184	81810	101904	101904	115466	110643	105159	105376	105376	78253	73185	69539	68373	68373	63173	60433	56686	53529	43372	38081	19103	18970	18970	18473	18290	17566	17552	21552	12309	12080	12036	11509	11877	13213	13495	20427	5257
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	1245424	1283081	1263670	1262270	1255826	1237439	1079374	1069914	1069914	1047048	1031601	1059893	1041472	1041472	1023696	998032	1003483	978933	963463	783003	757291	725357	696515	582865	471264	426796	409443	409007	435993	415521	391901	373036	413866	400638	380916	360925	369443	369443	393140	335147	290530	249070
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	128	128	128	128	128	128	128	0	432	300	1218	1218	1218	1218	1213	1218	1218	918	973	973	26546	26546	14691	27549	0	0
Vốn chủ sở hữu ###Owners equity	1245424	1283081	1263670	1262270	1255826	1237439	1079374	1069914	1069914	1047048	1031601	1059893	1041472	1041472	1023696	997925	1003355	978805	963336	782876	757163	725229	696387	582865	470832	426496	408226	407789	434775	414304	390688	371818	412649	399721	379942	359952	342897	342897	378449	307597	290530	249070
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	580956	561275	561275	576877	534367	514994	505919	512307	505647	490262	477368	447383	0	0	401476	385753	323009



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	 2015	 2014	 2013	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	239674	404475	1218668	332568	306830	307771	271499	1160499	302669	261318	301834	294678	1367106	378337	327312	355826	305632	1261965	340233	302100	1077482	1146219	1243006	249059	1045361	283522	259419	259740	242680	895359	264984	233635	222643	174097	647711	201813	233635	158682	130954	597855	546527	469374
Các khoản giảm trừ doanh thu###Deduction revenues	647	48	1469	100	869	403	95	3259	2960	98	178	23	425	165	84	169	7	225	7	43	1110	675	1289	137	606	118	126	301	61	618	45	267	259	47	866	42	267	435	340	1827	1039	2195
Doanh thu thuần###Net Sales	239027	404427	1217200	332468	305961	307368	271403	1157239	299709	261219	301656	294655	1366681	378172	327228	355656	305624	1261740	340226	302057	1076372	1145544	1241718	248922	1044755	283404	259293	259439	242619	894741	264940	233367	222383	174050	646845	201771	233367	158247	130614	596028	545487	467179
Giá vốn hàng bán###Cost of goods sold	181166	327922	930688	255996	227944	239509	207240	893040	229978	202723	235877	224462	1054688	272146	258870	277230	246442	994702	262574	242720	836912	899997	987141	202100	848525	229462	212831	209115	197117	709645	213740	188132	175832	131942	485032	152781	188132	117311	98821	437185	376687	348306
Lợi nhuận gộp###Gross profit	57861	76505	286512	76473	78017	67858	64163	264200	69731	58496	65779	70194	311993	106026	68357	78427	59183	267038	77652	59337	239460	245547	254577	46823	196230	53942	46462	50323	45502	185096	51200	45235	46552	42108	161813	48990	45235	40936	31793	158843	168800	118873
Doanh thu hoạt động tài chính###Financial activities Revenues	4424	538	15029	6249	440	6722	160	11628	838	134	10589	67	26236	1827	9299	8150	6959	29438	11828	1404	18062	11014	8856	147	7538	112	2145	2712	284	8568	5732	2826	-792	1417	4966	2446	2826	148	320	3279	1305	269
Chi phí tài chính###Financial Expenses	730	361	2661	12942	382	1657	237	873	-1078	672	741	537	1202	408	189	455	150	1107	2	212	-1244	12146	1797	453	6164	3151	320	138	270	7559	1530	2048	2266	2330	10593	3422	2048	2540	1708	3758	338	4168
Chi phí bán hàng###Selling Expenses	19081	21695	84060	25467	21532	19065	17996	79492	22915	18407	16966	21203	73414	21372	19353	17490	15199	63771	18804	15965	59800	67270	64787	11403	44795	13969	10256	10786	9784	36489	11333	8431	8925	7801	36071	12958	8431	8931	7018	38711	33524	21069
Chi phí quản lý doanh nghiệp###Managing Expenses	35198	30768	130808	34208	31384	31046	27378	94663	22943	16345	29884	25491	117623	54261	23890	18725	20746	95811	30076	25709	73246	69757	85116	10587	55058	16037	13231	12597	13193	59790	24630	11995	11345	12032	40173	12094	11995	8724	9646	41425	52836	34065
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	7276	24219	84012	10104	28104	26206	20341	106961	23086	25376	35469	23029	152277	28190	44133	56490	30047	151257	40598	18855	125720	107388	111732	24528	97750	20897	24800	29514	22539	89825	19438	25588	23224	21362	79942	22962	25588	20889	13740	78228	83407	59839
Thu nhập khác###Other incomes	243	265	2889	1278	70	399	1143	6919	5415	276	81	1147	1328	479	290	82	477	1266	1049	76	9662	110141	1913	878	3389	1695	790	7	898	2809	1731	-864	1772	169	1093	-2429	-864	660	182	2111	2072	5396
Chi phí khác###Other Expenses	2958	220	375	199	0	162	14	404	223	2	122	56	380	228	151	0	1	120	120	0	394	581	362	0	215	214	0	2	0	77	69	1	7	0	117	25	1	27	36	155	140	1971
Lợi nhuận khác###Other profits	-2714	45	2514	1079	70	237	1129	6515	5191	274	-41	1092	948	251	139	81	477	1145	929	76	9269	109559	1551	878	3174	1481	790	5	897	2732	1663	-865	1765	169	976	-2454	-865	633	146	1956	1932	3425
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	4562	24264	86526	11184	28174	26443	21470	113476	28278	25650	35427	24121	153224	28441	44272	56571	30523	152402	41527	18931	134989	216948	113282	25406	100924	100924	25589	29519	23437	92558	21101	24723	24988	21532	80918	20508	24723	21522	13886	80183	85339	63264
Chi phí thuế TNDN###Corporate Income Tax Expenses	912	4853	21055	3505	10312	3620	5018	27662	4642	10202	7117	5700	38665	10665	11897	10129	5974	32744	8579	7976	34284	54864	39546	6352	23953	8790	5118	5904	4687	21544	8052	4945	5150	4306	19727	0	0	0	0	18520	22555	6971
Chi phí thuế TNDN###Corporate Income Tax Expenses	912	4853	21055	3505	10312	3620	5018	27662	4642	10202	7117	5700	38665	10665	11897	10129	5974	32744	8579	7976	34284	54864	39546	6352	23953	8790	5118	5904	4687	21544	8052	4945	4998	4306	19727	7645	4945	4304	2777	18520	22555	6971
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	3649	19411	65470	7679	17862	22823	16452	85814	23635	15447	28310	18421	114559	17776	32374	46443	24550	119659	32948	10955	100705	162084	73737	19055	76971	13589	20472	23615	18749	71014	13049	19778	19991	17225	61191	12863	19778	17217	11109	61663	62784	56293
---Cac Chi So Tai Chinh---																																										
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	49.80	39.49	54.20	54.20	47.90	60.49	58.07	58.20	58.20	55.04	70.49	68.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	41.34	43.01	43.01	50.47	35.99	40.02	43.89	43.89	45.64	57.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
