CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008	 2007
Tài sản ngắn hạn###Current Assets	4344554	4556886	4971364	4974037	5114262	5566536	5617908	3989369	3979369	4217518	3249517	2378122	2142717	2142717	1526954	1332236	1341363	1361646	1361646	1018330	963667	959795	1071561	1071561	807544	803204	691351	694379	694379	441060	406776	403306	495025	495025	352900	440895	402140	433003	433003	277753	298434	301858	294682	294682	315854	290142	282385	284630	285054	341193	295332	241557	182826	143554	100277
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	267895	288450	291675	349696	232025	271392	482425	645475	645475	655416	610737	427748	509578	509578	239828	215305	480029	406677	406677	215528	211653	252814	470062	470062	227201	252137	216883	336808	336808	104024	57789	50406	130267	130267	38081	45884	96503	103421	103421	11299	24421	15684	32921	32921	42731	19514	7851	20196	20199	59835	40865	22041	37822	3681	8974
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	727671	840336	1251822	1193801	1111500	1096424	733640	720906	710906	436540	406540	30000	50000	50000	150000	150000	0	0	0	0	31165	0	0	0	10000	10000	30000	30000	30000	0	0	0	0	0	0	0	0	0	0	1648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8171
Các khoản phải thu ngắn hạn###Short term Account Receivables	2316600	2157057	2079279	2076687	2631685	2903328	2723205	1612785	1612785	1374378	1216552	1101806	961381	961381	541089	478263	417176	455568	455568	491816	450226	494856	363510	363510	372124	316598	209995	179293	154089	145198	129994	147411	146942	146942	137282	200967	111203	93813	93813	80536	72323	132398	110426	110426	129594	149489	185288	161950	161993	192596	147367	134730	84576	90093	42686
Hàng tồn kho###Inventory	897445	1117690	1221503	1226217	992708	1126772	1524050	862749	862749	1632012	900976	728012	536682	536682	528820	442176	403169	450591	450591	270402	237151	192656	214187	214187	178726	203972	154213	137522	137522	141327	179748	178936	200026	200026	143977	177069	154881	195578	195578	154821	169406	132932	125599	125599	122971	101703	64193	80619	80939	72135	91484	70042	48690	39978	35276
Tài sản ngắn hạn khác###Other Current Assets	134944	153352	127085	127636	146343	168619	154588	147454	147454	119171	114713	90556	85076	85076	67218	46491	40988	48811	48811	40583	33472	19469	23803	23803	19494	20497	80260	10757	35961	50511	39245	26554	17790	17790	33559	16974	39553	40192	40192	29450	32284	20843	25736	25736	20558	19435	25053	21865	21924	16626	15617	14743	11738	9802	5171
Tài sản dài hạn###Non-current Assets	3442031	3211346	3016091	3016093	2823801	2784772	2364165	3539797	3549797	2467927	3240182	2408692	2433441	2433441	2250654	2040472	1870294	1715970	1715970	1437365	1178459	945039	883204	883204	746289	733606	722531	727272	727272	701541	696793	664481	655544	655544	596465	511470	473817	467491	467491	445691	455432	514342	521936	521936	483128	447415	372785	360349	360239	259896	245629	232333	253025	127778	53233
Các khoản phải thu dài hạn###Long term Account Receivable	335245	324517	96367	96367	20667	20937	20586	21384	21384	87	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định ###Fixed assets	1986864	2041134	2081104	2081107	2126713	2144952	2149528	2198807	2198807	2242516	2257111	2296622	2299487	2299487	1557080	1572922	1406817	1434278	1434278	709612	690856	591620	636532	636532	623100	636892	644225	651396	651396	650384	647681	557173	605160	605160	551032	439511	435828	405350	430583	411527	422245	430934	438268	438773	405337	364849	356436	311253	344041	254425	242122	228518	210279	125999	53088
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-1100504	-1043803	-983460	-983460	-920139	-857506	-801276	-744551	-744551	-682888	-621973	-562090	-504462	-504462	-456784	-414127	-401336	-364892	-364892	-348258	-329403	-308769	-305924	-305924	-284864	-271909	-251673	-232761	-232761	-215044	-197086	-187569	-175116	-175116	-162337	-150087	-138838	-126996	-126996	-115629	-103984	-92509	-81017	-81017	-72320	-64020	-55656	-47316	-47316	-40690	-33814	-27665	-21955	-9523	0
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-14400	-13633	-12875	-12921	-12120	-11364	-10610	-9909	-9909	-9156	-8417	-7677	-6933	-6933	-6377	-5931	-5585	-5039	-5039	-4802	-4551	-4300	-4049	-4049	-3799	-3548	-3303	-3061	-3061	-2819	-2577	-2416	-2255	-2255	-2094	-1932	-1793	-1629	-1629	-1465	-1301	-1138	-975	-975	-885	-794	-703	-612	-612	-524	-444	-530	-278	-106	0
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	239089	234318	222816	222816	110475	95658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	182497	87418	123559	123559	46180	43180	38380	48380	58380	40000	40000	0	0	0	0	0	0	44339	44339	43010	40716	45011	42587	42587	40680	38906	41203	39205	39205	39173	37536	40990	39256	39256	36336	63945	30600	30600	30600	29600	29100	79100	79100	79100	73300	77880	11055	10611	10611	0	0	0	39000	0	0
Tài sản dài hạn khác###Other long term assets	188794	193252	198464	198464	164898	163219	53266	63217	63217	62626	52007	44296	35833	35833	27221	25241	24715	22353	22353	19999	16169	14727	12925	12925	12725	10491	9982	8097	8097	9500	10577	10600	11129	11129	9098	8013	7389	6307	6307	4564	4087	4308	4063	4063	4491	4686	5295	5697	5587	5471	3508	3815	3746	1779	146
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	7786585	7768232	7987454	7990130	7938063	8351308	7982073	7529167	7529167	6685445	6489699	4786813	4576157	4576157	3777608	3372708	3211658	3077616	3077616	2455695	2142126	1904834	1954765	1954765	1553833	1536810	1413882	1421651	1421651	1142601	1103569	1067787	1150569	1150569	949365	952365	875958	900494	900494	723444	753866	816200	816618	816618	798982	737556	655171	644979	645293	601088	540961	473891	435851	271331	153510
Nợ phải trả ###Liabilities	4544987	4527287	4732216	4724199	4727606	5129086	4857800	4548917	4548917	3758331	3600336	3273871	2951187	2951187	2554984	2199719	2154804	2122864	2122864	1546666	1272185	1059664	1135279	1135279	746509	747629	632483	635325	635325	571668	529063	500925	598551	598551	410005	426365	332835	373901	373901	338256	381081	441937	464686	464686	467726	424620	351414	321443	321125	290100	273902	338176	314824	168937	77482
Nợ ngắn hạn###Short term Liabilities	3174569	3064318	3236646	3225629	3148309	3454979	3524154	3206103	3206103	3046738	2826963	2135393	1990804	1990804	1482509	1077193	1186170	1140285	1140285	908521	795894	598843	667079	667079	581001	578087	529156	507674	507674	440352	424332	410166	515468	515468	333218	379146	320273	357290	357290	264192	302692	334544	342394	342394	340529	327506	248665	213196	212878	186352	154264	212687	187535	148484	51029
Nợ dài hạn###Long term Liabilities	1370418	1462969	1495570	1498570	1579297	1674107	1333646	1342813	1342813	711593	773373	1138477	960383	960383	1072475	1122526	968634	982579	982579	638145	476291	460821	468200	468200	165508	169542	103326	127651	127651	131316	104731	90759	83083	83083	76787	47219	12562	16611	16611	74064	78389	107393	122292	122292	127196	97114	102749	108247	108247	103748	119639	125489	127289	20453	26453
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	3241598	3240945	3255238	3265931	3210457	3222221	3124273	2980250	2980250	2927114	2889363	1512943	1624970	1624970	1222624	1172989	1056853	954752	954752	909029	869941	845170	819485	819485	807324	789181	781399	786326	786326	570933	574506	566862	543447	543447	530809	517620	534882	526592	518557	377669	365465	367052	351932	350355	329784	311510	302752	323536	323167	309988	266061	134719	121027	102394	76029
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-687	-117
Vốn chủ sở hữu ###Owners equity	3241598	3240945	3255238	3265931	3210457	3222221	3124273	2980250	2980250	2927114	2889363	1512943	1624970	1624970	1222624	1172989	1056853	954752	954752	909029	869941	845170	819485	819485	807324	789181	781399	786326	786326	570933	574506	566862	543447	543447	530809	517620	534882	526592	518557	377669	365465	367052	351932	350355	329784	311510	302752	323536	323167	309988	266061	134719	121027	103082	76146
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9605	0	9389	9205	8985	8753	8572	8572	8551	8380	8240	8036	8036	7519	7320	7212	1577	1577	1473	1426	1005	997	1000	1000	998	995	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1103569	1067787	1150569	1150569	949365	952365	875958	900494	900494	723444	753866	816200	816618	816618	798982	0	655171	644979	645293	601088	540961	473891	436851	271331	153510



KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008	 2007
